# Messungs_ID Temperature[K] Phase[degree] T1[s] T1_error Beta Beta_error
1420 434.78 20.4942279002 3.95657853527e-05 1.39024789031e-06 1.69562367567 0.144349583336
1423 430.18 23.3144731877 3.4845545377e-05 1.67494655841e-06 1.70408867415 0.203078194551
1426 425.42 25.2900781637 2.81941366829e-05 2.52217396907e-06 1.58714905801 0.320054169308
1429 420.65 27.5435427676 2.41667314583e-05 4.05277797629e-06 1.55526909684 0.468477056297
1432 415.84 26.7553643444 2.46923141905e-05 8.09864020997e-06 1.34751438325 0.67033062584
1435 411.05 27.4047045315 2.08534970482e-05 9.6894604804e-06 1.43303608562 1.00791696008
1438 406.25 27.5658380806 1.75458096741e-05 1.75650635321e-05 1.03224108348 0.925638869941
1441 401.41 21.1155521302 8.59790445843e-06 1.75230036214e-05 0.740656838257 0.720926913063
1444 396.66 26.6617448625 2.02609691118e-05 7.51947951274e-06 1.16696907876 0.499499337435
1447 391.9 27.4900591741 2.53637493575e-05 4.55601041627e-06 1.40483520354 0.402502614805
1450 387.13 29.6483737472 3.06193905036e-05 1.91804214176e-06 1.59825780487 0.229592921657
1453 382.36 30.2304806477 3.70597242742e-05 1.40718170764e-06 1.58521468703 0.150280653611
1456 377.65 31.7252055941 4.02067774244e-05 1.39627118356e-06 1.40202742113 0.0914583129812
1459 377.52 52.6078044383 3.97478672178e-05 9.75365081895e-07 1.41330847734 0.0707151287559
1462 372.79 53.9488869321 4.16602351624e-05 9.98794152304e-07 1.34057935339 0.0594508037042
1465 368.0 52.1699590642 3.52041492008e-05 1.09908664979e-06 1.38995053931 0.0792996677082
1468 363.22 50.5336552771 2.85391911934e-05 1.13925177601e-06 1.59565241521 0.138885166223
1471 358.39 58.1351319341 2.96896566414e-05 1.23497513301e-06 1.79067825368 0.182278493952
