# Messungs_ID Temperature[K] Phase[degree] a a_error gamma gamma_error x0 x0_error 
1477 353.53 0.0 0.0 0.0 16297.9 0.0 -4394.53125 0.0
1480 348.75 0.0 0.0 0.0 17019.9 0.0 -3662.109375 0.0
1483 343.96 0.0 0.0 0.0 18139.95 0.0 -3173.828125 0.0
1486 339.19 0.0 0.0 0.0 18976.85 0.0 -3173.828125 0.0
1489 334.43 0.0 0.0 0.0 19693.15 0.0 -3173.828125 0.0
1492 329.6 0.0 0.0 0.0 20052.8 0.0 -3173.828125 0.0
1495 324.8 0.0 0.0 0.0 20370.85 0.0 -2929.6875 0.0
1498 319.99 0.0 0.0 0.0 20560.35 0.0 -2929.6875 0.0
1501 315.15 0.0 0.0 0.0 20638.8 0.0 -2929.6875 0.0
1504 310.39 0.0 0.0 0.0 20868.7 0.0 -2929.6875 0.0
