#i	t	cos	sin
0	0	1	0
1	2	0.997312	0.0298551
2	4	0.989354	0.0589176
3	6	0.976429	0.0864527
4	8	0.959008	0.111833
5	10	0.93769	0.134571
6	12	0.913145	0.154343
7	14	0.886073	0.17098
8	16	0.857153	0.184462
9	18	0.827012	0.194887
10	20	0.796207	0.202449
11	22	0.765208	0.207402
12	24	0.734401	0.210035
13	26	0.704091	0.210653
14	28	0.674509	0.209556
15	30	0.645825	0.207032
16	32	0.618154	0.203344
17	34	0.591571	0.198731
18	36	0.566115	0.193402
19	38	0.541799	0.187542
20	40	0.518619	0.181304
21	42	0.496553	0.174821
22	44	0.475569	0.168201
23	46	0.45563	0.161534
24	48	0.436695	0.15489
25	50	0.418718	0.148329
26	52	0.401654	0.141894
27	54	0.385457	0.135622
28	56	0.370082	0.129537
29	58	0.355484	0.123659
30	60	0.341619	0.118001
31	62	0.328445	0.112568
32	64	0.315924	0.107366
33	66	0.304018	0.102391
34	68	0.292693	0.0976418
35	70	0.281915	0.0931131
36	72	0.271654	0.0887986
37	74	0.261883	0.0846917
38	76	0.252575	0.0807853
39	78	0.243705	0.0770721
40	80	0.235249	0.0735447
41	82	0.227184	0.0701956
42	84	0.21949	0.0670172
43	86	0.212145	0.0640017
44	88	0.205131	0.0611414
45	90	0.198428	0.0584286
46	92	0.19202	0.0558553
47	94	0.185891	0.0534139
48	96	0.180027	0.0510969
49	98	0.174414	0.0488972
50	100	0.16904	0.0468083
51	102	0.163892	0.0448242
52	104	0.158961	0.0429394
53	106	0.154234	0.041149
54	108	0.149702	0.0394484
55	110	0.145355	0.0378331
56	112	0.141183	0.0362984
57	114	0.137178	0.0348397
58	116	0.133331	0.033453
59	118	0.129634	0.0321342
60	120	0.126081	0.0308796
61	122	0.122664	0.0296856
62	124	0.119377	0.0285488
63	126	0.116214	0.0274664
64	128	0.113169	0.0264355
65	130	0.110235	0.0254532
66	132	0.107409	0.0245169
67	134	0.104684	0.023624
68	136	0.102056	0.0227719
69	138	0.0995214	0.0219587
70	140	0.097075	0.0211824
71	142	0.0947129	0.020441
72	144	0.0924312	0.0197327
73	146	0.0902265	0.0190557
74	148	0.0880952	0.0184081
75	150	0.0860339	0.0177881
76	152	0.0840401	0.0171941
77	154	0.0821112	0.0166243
78	156	0.0802448	0.0160776
79	158	0.0784388	0.0155529
80	160	0.0766909	0.0150494
81	162	0.0749992	0.0145663
82	164	0.0733616	0.0141029
83	166	0.0717759	0.0136587
84	168	0.0702401	0.013233
85	170	0.0687521	0.012825
86	172	0.0673099	0.0124338
87	174	0.0659121	0.0120587
88	176	0.0645568	0.0116992
89	178	0.0632428	0.0113549
90	180	0.0619686	0.0110256
91	182	0.0607325	0.0107115
92	184	0.0595326	0.0104123
93	186	0.0583664	0.0101276
94	188	0.0572321	0.0098569
95	190	0.0561271	0.00959885
96	192	0.0550499	0.00935201
97	194	0.0539994	0.00911472
98	196	0.0529748	0.00888547
99	198	0.0519757	0.00866309
100	200	0.0510021	0.0084468
101	202	0.0500537	0.00823627
102	204	0.0491302	0.00803112
103	206	0.0482308	0.00783108
104	208	0.0473547	0.00763631
105	210	0.0465014	0.00744657
106	212	0.04567	0.00726164
107	214	0.0448601	0.00708123
108	216	0.0440711	0.00690523
109	218	0.0433026	0.00673366
110	220	0.042554	0.00656656
111	222	0.0418247	0.00640375
112	224	0.041114	0.00624519
113	226	0.0404213	0.00609108
114	228	0.0397461	0.00594152
115	230	0.0390874	0.00579647
116	232	0.0384447	0.00565579
117	234	0.0378172	0.00551934
118	236	0.0372043	0.00538697
119	238	0.036606	0.00525853
120	240	0.0360216	0.00513386
121	242	0.0354506	0.00501288
122	244	0.0348927	0.00489558
123	246	0.0343472	0.00478209
124	248	0.0338135	0.00467218
125	250	0.0332914	0.00456537
126	252	0.0327807	0.0044612
127	254	0.0322813	0.0043594
128	256	0.0317935	0.00426006
129	258	0.0313171	0.00416327
130	260	0.030852	0.00406917
131	262	0.0303978	0.00397798
132	264	0.0299541	0.00388999
133	266	0.0295204	0.00380513
134	268	0.0290959	0.00372324
135	270	0.0286802	0.00364423
136	272	0.0282728	0.00356789
137	274	0.0278736	0.00349389
138	276	0.0274819	0.00342185
139	278	0.0270977	0.00335179
140	280	0.0267207	0.00328346
141	282	0.0263508	0.00321653
142	284	0.025988	0.00315088
143	286	0.0256321	0.00308647
144	288	0.0252832	0.0030234
145	290	0.0249414	0.0029616
146	292	0.0246065	0.00290141
147	294	0.0242786	0.00284296
148	296	0.0239575	0.00278658
149	298	0.0236427	0.00273248
150	300	0.0233338	0.00268094
151	302	0.0230305	0.00263206
152	304	0.0227323	0.00258595
153	306	0.0224386	0.00254241
154	308	0.0221487	0.00250104
155	310	0.0218623	0.00246131
156	312	0.0215794	0.00242257
157	314	0.0213001	0.00238426
158	316	0.0210247	0.00234605
159	318	0.0207537	0.00230747
160	320	0.0204875	0.00226837
161	322	0.0202261	0.00222878
162	324	0.0199697	0.00218867
163	326	0.0197187	0.0021478
164	328	0.0194732	0.00210648
165	330	0.0192335	0.00206478
166	332	0.0189998	0.00202279
167	334	0.0187721	0.00198064
168	336	0.0185504	0.00193848
169	338	0.0183345	0.00189657
170	340	0.0181244	0.00185535
171	342	0.0179194	0.00181508
172	344	0.0177194	0.0017759
173	346	0.0175242	0.00173799
174	348	0.0173333	0.00170148
175	350	0.0171465	0.00166653
176	352	0.0169633	0.00163333
177	354	0.0167832	0.00160193
178	356	0.0166059	0.00157226
179	358	0.0164308	0.00154413
180	360	0.0162579	0.0015171
181	362	0.0160872	0.00149077
182	364	0.0159188	0.00146512
183	366	0.0157531	0.00143982
184	368	0.0155903	0.00141504
185	370	0.0154305	0.00139102
186	372	0.0152736	0.00136793
187	374	0.0151196	0.00134591
188	376	0.0149681	0.00132488
189	378	0.0148187	0.00130486
190	380	0.0146712	0.00128559
191	382	0.0145253	0.00126671
192	384	0.0143812	0.00124804
193	386	0.0142389	0.00122951
194	388	0.0140986	0.00121095
195	390	0.0139608	0.00119241
196	392	0.0138255	0.00117419
197	394	0.0136927	0.00115675
198	396	0.0135623	0.00114059
199	398	0.0134339	0.00112614
200	400	0.0133069	0.00111351
201	402	0.0131804	0.0011028
202	404	0.0130537	0.00109371
203	406	0.0129263	0.00108567
204	408	0.0127981	0.00107801
205	410	0.0126694	0.00106998
206	412	0.0125407	0.00106118
207	414	0.0124121	0.00105133
208	416	0.0122845	0.00104035
209	418	0.0121585	0.00102867
210	420	0.0120344	0.0010166
211	422	0.0119123	0.00100436
212	424	0.0117919	0.000992078
213	426	0.0116734	0.000979868
214	428	0.0115566	0.000967664
215	430	0.0114412	0.000955207
