#i	t	cos	sin
0	3e-05	0.999327	-0.0149787
1	9.4e-05	0.981821	-0.0766016
2	0.000158	0.943506	-0.129712
3	0.000222	0.890231	-0.170153
4	0.000286	0.828498	-0.196874
5	0.00035	0.763845	-0.211207
6	0.000414	0.700169	-0.215674
7	0.000478	0.639793	-0.213016
8	0.000542	0.583857	-0.205643
9	0.000606	0.532748	-0.195436
10	0.00067	0.486416	-0.183746
11	0.000734	0.444592	-0.171504
12	0.000798	0.406905	-0.159324
13	0.000862	0.372954	-0.147554
14	0.000926	0.34238	-0.136393
15	0.00099	0.314824	-0.12596
16	0.001054	0.28996	-0.116297
17	0.001118	0.267493	-0.107393
18	0.001182	0.247161	-0.0992168
19	0.001246	0.228735	-0.0917268
20	0.00131	0.212004	-0.084873
21	0.001374	0.196801	-0.0786076
22	0.001438	0.182954	-0.0728812
23	0.001502	0.170329	-0.0676439
24	0.001566	0.158795	-0.0628649
25	0.00163	0.148238	-0.0584954
26	0.001694	0.138559	-0.0545106
27	0.001758	0.129663	-0.0508542
28	0.001822	0.121492	-0.047488
29	0.001886	0.113985	-0.0444007
30	0.00195	0.107071	-0.041579
31	0.002014	0.100679	-0.0390064
32	0.002078	0.0947446	-0.036644
33	0.002142	0.0892259	-0.0344545
34	0.002206	0.0840872	-0.0324173
35	0.00227	0.0793077	-0.0305234
36	0.002334	0.0748551	-0.0287582
37	0.002398	0.0707018	-0.0271172
38	0.002462	0.0668163	-0.0255867
39	0.002526	0.0631698	-0.0241516
40	0.00259	0.0597487	-0.0227911
41	0.002654	0.0565457	-0.0215045
42	0.002718	0.0535481	-0.0202877
43	0.002782	0.0507442	-0.0191405
44	0.002846	0.0481184	-0.0180617
45	0.00291	0.0456629	-0.0170524
46	0.002974	0.0433701	-0.0161181
47	0.003038	0.0412176	-0.015247
48	0.003102	0.0392045	-0.0144338
49	0.003166	0.0373151	-0.0136805
50	0.00323	0.0355478	-0.0129729
51	0.003294	0.0338964	-0.0123098
52	0.003358	0.0323594	-0.0117029
53	0.003422	0.030914	-0.0111586
54	0.003486	0.029534	-0.010668
55	0.00355	0.0281958	-0.0102155
56	0.003614	0.0268883	-0.00978157
57	0.003678	0.0256265	-0.00934496
58	0.003742	0.0244313	-0.00890286
59	0.003806	0.0233039	-0.00846167
60	0.00387	0.0222434	-0.00803176
61	0.003934	0.0212396	-0.0076175
62	0.003998	0.0202977	-0.0072091
63	0.004062	0.019424	-0.00679422
64	0.004126	0.0186122	-0.00638232
65	0.00419	0.0178677	-0.00598674
66	0.004254	0.0171914	-0.00561402
67	0.004318	0.0165718	-0.0052807
68	0.004382	0.015988	-0.00499221
69	0.004446	0.0154268	-0.00474903
70	0.00451	0.0148769	-0.0045258
71	0.004574	0.0143384	-0.00432342
72	0.004638	0.0138169	-0.00413336
73	0.004702	0.0133219	-0.00395417
74	0.004766	0.012844	-0.0037968
75	0.00483	0.0123675	-0.00366605
76	0.004894	0.0118897	-0.00353788
77	0.004958	0.0114189	-0.00340957
78	0.005022	0.0109721	-0.00328476
79	0.005086	0.0105525	-0.0031695
80	0.00515	0.0101585	-0.00306822
81	0.005214	0.00977591	-0.00298773
82	0.005278	0.00940031	-0.00292783
83	0.005342	0.00903041	-0.00287743
84	0.005406	0.00866245	-0.002819
85	0.00547	0.00829543	-0.00275568
86	0.005534	0.00793533	-0.00267564
87	0.005598	0.00759562	-0.00257997
88	0.005662	0.00728813	-0.00247126
89	0.005726	0.00701281	-0.00236655
90	0.00579	0.00674812	-0.00227515
91	0.005854	0.00649524	-0.00218953
92	0.005918	0.00625543	-0.00210075
93	0.005982	0.00603513	-0.00201457
94	0.006046	0.00584423	-0.00194415
95	0.00611	0.00567115	-0.00189709
96	0.006174	0.00549842	-0.0018736
97	0.006238	0.00531096	-0.0018568
98	0.006302	0.00510866	-0.00182858
99	0.006366	0.00489498	-0.00179229
100	0.00643	0.00468266	-0.00174816
101	0.006494	0.00447489	-0.00170159
102	0.006558	0.00427252	-0.00165887
103	0.006622	0.00407482	-0.00159794
104	0.006686	0.00388932	-0.00152108
105	0.00675	0.0037275	-0.00143645
106	0.006814	0.0035957	-0.00135046
107	0.006878	0.00349421	-0.00127858
108	0.006942	0.0034197	-0.00122519
109	0.007006	0.0033516	-0.00118816
110	0.00707	0.00327677	-0.00115913
111	0.007134	0.00319903	-0.00112703
112	0.007198	0.0031275	-0.00109427
113	0.007262	0.0030548	-0.00105981
114	0.007326	0.00298108	-0.00102425
115	0.00739	0.00290309	-0.000977552
116	0.007454	0.00282647	-0.000925003
117	0.007518	0.00275242	-0.00086928
118	0.007582	0.00267933	-0.000805241
119	0.007646	0.00260972	-0.000744324
120	0.00771	0.0025512	-0.000684447
121	0.007774	0.00248754	-0.000644914
122	0.007838	0.00240652	-0.00061981
123	0.007902	0.0023086	-0.000585541
124	0.007966	0.00220066	-0.000539601
125	0.00803	0.00210202	-0.000484988
126	0.008094	0.0020257	-0.000425151
127	0.008158	0.00197101	-0.00038491
128	0.008222	0.00192199	-0.000364262
129	0.008286	0.00186921	-0.00035904
130	0.00835	0.00180724	-0.000365711
131	0.008414	0.00174169	-0.000370904
132	0.008478	0.00167529	-0.000374072
133	0.008542	0.0016291	-0.000377178
134	0.008606	0.00160715	-0.000397668
135	0.00867	0.00159262	-0.000447206
136	0.008734	0.00156662	-0.000525955
137	0.008798	0.00151028	-0.00061911
138	0.008862	0.00143357	-0.000711569
139	0.008926	0.00133567	-0.000792877
140	0.00899	0.00123591	-0.000849861
141	0.009054	0.00114362	-0.000884564
142	0.009118	0.00105198	-0.000906873
143	0.009182	0.000961825	-0.000908381
