#i	t	cos	sin
0	3e-05	1	0
1	9.4e-05	0.987917	-0.0626537
2	0.000158	0.9537	-0.118104
3	0.000222	0.902607	-0.161292
4	0.000286	0.841198	-0.190288
5	0.00035	0.775495	-0.205888
6	0.000414	0.709996	-0.210485
7	0.000478	0.647535	-0.206972
8	0.000542	0.589598	-0.198046
9	0.000606	0.536754	-0.185882
10	0.00067	0.489032	-0.172086
11	0.000734	0.446181	-0.157768
12	0.000798	0.407823	-0.143662
13	0.000862	0.373525	-0.130228
14	0.000926	0.342849	-0.117722
15	0.00099	0.315378	-0.10626
16	0.001054	0.290736	-0.0958636
17	0.001118	0.268587	-0.0864994
18	0.001182	0.248635	-0.0781027
19	0.001246	0.230624	-0.0705933
20	0.00131	0.214334	-0.0638901
21	0.001374	0.19957	-0.0579177
22	0.001438	0.186154	-0.0526037
23	0.001502	0.173929	-0.0478716
24	0.001566	0.162766	-0.0436444
25	0.00163	0.152563	-0.0398557
26	0.001694	0.143233	-0.0364572
27	0.001758	0.134691	-0.0334129
28	0.001822	0.126851	-0.0306874
29	0.001886	0.119633	-0.0282408
30	0.00195	0.112972	-0.0260316
31	0.002014	0.106817	-0.0240254
32	0.002078	0.101126	-0.0221999
33	0.002142	0.0958562	-0.0205385
34	0.002206	0.0909703	-0.0190258
35	0.00227	0.0864356	-0.0176504
36	0.002334	0.0822164	-0.0164036
37	0.002398	0.0782746	-0.0152675
38	0.002462	0.0745859	-0.0142138
39	0.002526	0.0711463	-0.0132228
40	0.00259	0.0679551	-0.0122955
41	0.002654	0.065	-0.0114432
42	0.002718	0.0622596	-0.0106747
43	0.002782	0.0597088	-0.00999552
44	0.002846	0.0573159	-0.00940648
45	0.00291	0.0550456	-0.0088943
46	0.002974	0.0528743	-0.00843154
47	0.003038	0.0507978	-0.00799101
48	0.003102	0.0488244	-0.0075597
49	0.003166	0.0469609	-0.00713898
50	0.00323	0.0452073	-0.00673578
51	0.003294	0.043559	-0.00635713
52	0.003358	0.0420074	-0.00600969
53	0.003422	0.0405383	-0.00569691
54	0.003486	0.0391354	-0.00541371
55	0.00355	0.0377894	-0.00514813
56	0.003614	0.0365005	-0.00489038
57	0.003678	0.0352722	-0.0046379
58	0.003742	0.0341054	-0.00439191
59	0.003806	0.0329993	-0.0041523
60	0.00387	0.0319567	-0.00391835
61	0.003934	0.0309833	-0.00369533
62	0.003998	0.0300795	-0.00349842
63	0.004062	0.0292313	-0.00334371
64	0.004126	0.0284156	-0.00323277
65	0.00419	0.0276181	-0.00315125
66	0.004254	0.0268403	-0.00308409
67	0.004318	0.0260885	-0.00302608
68	0.004382	0.0253626	-0.00297605
69	0.004446	0.0246579	-0.00292853
70	0.00451	0.023973	-0.00287517
71	0.004574	0.0233098	-0.00281076
72	0.004638	0.0226703	-0.00273471
73	0.004702	0.0220564	-0.00264869
74	0.004766	0.0214706	-0.00255668
75	0.00483	0.0209136	-0.00246661
76	0.004894	0.0203792	-0.00238621
77	0.004958	0.0198558	-0.0023142
78	0.005022	0.0193388	-0.00223967
79	0.005086	0.018835	-0.00215387
