#i	t	cos	sin
0	3e-05	0.299801	-0.00449807
1	9.4e-05	0.294926	-0.0230719
2	0.000158	0.284998	-0.0396114
3	0.000222	0.271955	-0.0535202
4	0.000286	0.257328	-0.0648745
5	0.00035	0.242121	-0.0740631
6	0.000414	0.226906	-0.0815049
7	0.000478	0.211985	-0.0875381
8	0.000542	0.1975	-0.0924138
9	0.000606	0.183525	-0.0962971
10	0.00067	0.170097	-0.0993244
11	0.000734	0.15723	-0.101599
12	0.000798	0.144923	-0.103195
13	0.000862	0.133178	-0.104175
14	0.000926	0.121989	-0.1046
15	0.00099	0.111341	-0.104527
16	0.001054	0.101236	-0.103996
17	0.001118	0.0916754	-0.103054
18	0.001182	0.082648	-0.101755
19	0.001246	0.0741373	-0.100141
20	0.00131	0.0661298	-0.0982464
21	0.001374	0.0586026	-0.0961098
22	0.001438	0.0515412	-0.0937604
23	0.001502	0.044936	-0.0912286
24	0.001566	0.0387742	-0.0885367
25	0.00163	0.033043	-0.0857167
26	0.001694	0.0277236	-0.0827955
27	0.001758	0.0227976	-0.0797918
28	0.001822	0.0182493	-0.0767301
29	0.001886	0.0140568	-0.0736278
30	0.00195	0.010207	-0.0705052
31	0.002014	0.00668395	-0.0673778
32	0.002078	0.00346851	-0.0642596
33	0.002142	0.000546226	-0.0611659
34	0.002206	-0.00209192	-0.058104
35	0.00227	-0.00446459	-0.0550851
36	0.002334	-0.00658553	-0.0521158
37	0.002398	-0.00847445	-0.0492004
38	0.002462	-0.0101422	-0.0463466
39	0.002526	-0.0115984	-0.0435675
40	0.00259	-0.0128634	-0.0408723
41	0.002654	-0.0139561	-0.0382624
42	0.002718	-0.0148854	-0.0357407
43	0.002782	-0.0156572	-0.0333081
44	0.002846	-0.0162835	-0.0309611
45	0.00291	-0.0167754	-0.0287071
46	0.002974	-0.0171445	-0.0265523
47	0.003038	-0.0174025	-0.0244914
48	0.003102	-0.0175636	-0.0225202
49	0.003166	-0.01763	-0.0206387
50	0.00323	-0.0176194	-0.0188524
51	0.003294	-0.0175378	-0.0171545
52	0.003358	-0.0173879	-0.0155401
53	0.003422	-0.0171761	-0.0140121
54	0.003486	-0.0169079	-0.0125677
55	0.00355	-0.0165879	-0.0112126
56	0.003614	-0.0162279	-0.009944
57	0.003678	-0.0158269	-0.00875283
58	0.003742	-0.0153948	-0.00763921
59	0.003806	-0.0149394	-0.00660179
60	0.00387	-0.0144683	-0.00563859
61	0.003934	-0.0139806	-0.00474366
62	0.003998	-0.0134745	-0.00391407
63	0.004062	-0.0129577	-0.00314368
64	0.004126	-0.0124334	-0.00243366
65	0.00419	-0.0119074	-0.00178082
66	0.004254	-0.0113794	-0.00118507
67	0.004318	-0.0108555	-0.000640663
68	0.004382	-0.0103403	-0.000145754
69	0.004446	-0.0098256	0.000302043
70	0.00451	-0.00931564	0.000703272
71	0.004574	-0.00881254	0.00106437
72	0.004638	-0.00832016	0.00138961
73	0.004702	-0.00783985	0.00167864
74	0.004766	-0.00737109	0.0019303
75	0.00483	-0.0069203	0.00214394
76	0.004894	-0.00648475	0.00233015
77	0.004958	-0.00606419	0.00248918
78	0.005022	-0.0056567	0.00262266
79	0.005086	-0.00526232	0.0027326
80	0.00515	-0.00488233	0.00282383
81	0.005214	-0.0045168	0.00289322
82	0.005278	-0.00416838	0.00294287
83	0.005342	-0.00383339	0.00297465
84	0.005406	-0.00351134	0.00299165
85	0.00547	-0.0032044	0.00299304
86	0.005534	-0.00291492	0.00297649
87	0.005598	-0.00263938	0.00294394
88	0.005662	-0.00238252	0.00289961
