SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/e3b/joachim/87Rb-CRN/2/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

726 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    1.963e+00     1.019e+00  
T     =      28.630m      482.106s  

RSS   =    2.221e-02
SD    =    5.530e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.017e+00    1.731e-02
    2       2.000s     9.981e-01     1.015e+00    1.711e-02
    3       3.000s     9.962e-01     1.013e+00    1.692e-02
    4       4.000s     9.943e-01     1.011e+00    1.674e-02
    5       5.000s     9.923e-01     1.009e+00    1.656e-02
    6       6.000s     9.904e-01     1.007e+00    1.638e-02
    7       7.000s     9.885e-01     1.005e+00    1.619e-02
    8       8.000s     9.867e-01     1.003e+00    1.599e-02
    9       9.000s     9.848e-01     1.001e+00    1.577e-02
   10      10.000s     9.830e-01     9.985e-01    1.553e-02
   11      11.000s     9.812e-01     9.964e-01    1.526e-02
   12      12.000s     9.794e-01     9.944e-01    1.497e-02
   13      13.000s     9.777e-01     9.923e-01    1.464e-02
   14      14.000s     9.759e-01     9.902e-01    1.430e-02
   15      15.000s     9.742e-01     9.882e-01    1.394e-02
   16      16.000s     9.726e-01     9.861e-01    1.358e-02
   17      17.000s     9.709e-01     9.841e-01    1.321e-02
   18      18.000s     9.692e-01     9.821e-01    1.284e-02
   19      19.000s     9.675e-01     9.800e-01    1.248e-02
   20      20.000s     9.659e-01     9.780e-01    1.214e-02
   21      21.000s     9.642e-01     9.760e-01    1.180e-02
   22      22.000s     9.625e-01     9.739e-01    1.147e-02
   23      23.000s     9.608e-01     9.719e-01    1.114e-02
   24      24.000s     9.591e-01     9.699e-01    1.080e-02
   25      25.000s     9.574e-01     9.679e-01    1.046e-02
   26      26.000s     9.558e-01     9.659e-01    1.012e-02
   27      27.000s     9.541e-01     9.639e-01    9.772e-03
   28      28.000s     9.525e-01     9.619e-01    9.441e-03
   29      29.000s     9.508e-01     9.599e-01    9.139e-03
   30      30.000s     9.490e-01     9.579e-01    8.877e-03
   31      31.000s     9.473e-01     9.559e-01    8.662e-03
   32      32.000s     9.455e-01     9.540e-01    8.493e-03
   33      33.000s     9.436e-01     9.520e-01    8.365e-03
   34      34.000s     9.417e-01     9.500e-01    8.267e-03
   35      35.000s     9.398e-01     9.480e-01    8.185e-03
   36      36.000s     9.380e-01     9.461e-01    8.112e-03
   37      37.000s     9.361e-01     9.441e-01    8.043e-03
   38      38.000s     9.342e-01     9.422e-01    7.979e-03
   39      39.000s     9.323e-01     9.402e-01    7.928e-03
   40      40.000s     9.304e-01     9.383e-01    7.895e-03
   41      41.000s     9.284e-01     9.363e-01    7.885e-03
   42      42.000s     9.265e-01     9.344e-01    7.896e-03
   43      43.000s     9.245e-01     9.324e-01    7.921e-03
