SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/e3b/joachim/87Rb-CRN/3/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

1362 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    4.668e-01     1.054e+00  
T     =      31.459m      810.331s  

RSS   =    4.129e-01
SD    =    1.741e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.053e+00    5.259e-02
    2       2.000s     9.992e-01     1.051e+00    5.210e-02
    3       3.000s     9.984e-01     1.050e+00    5.161e-02
    4       4.000s     9.976e-01     1.049e+00    5.112e-02
    5       5.000s     9.968e-01     1.047e+00    5.064e-02
    6       6.000s     9.960e-01     1.046e+00    5.016e-02
    7       7.000s     9.951e-01     1.045e+00    4.969e-02
    8       8.000s     9.943e-01     1.044e+00    4.921e-02
    9       9.000s     9.935e-01     1.042e+00    4.875e-02
   10      10.000s     9.927e-01     1.041e+00    4.828e-02
   11      11.000s     9.919e-01     1.040e+00    4.782e-02
   12      12.000s     9.910e-01     1.038e+00    4.736e-02
   13      13.000s     9.902e-01     1.037e+00    4.690e-02
   14      14.000s     9.894e-01     1.036e+00    4.644e-02
   15      15.000s     9.886e-01     1.035e+00    4.599e-02
   16      16.000s     9.877e-01     1.033e+00    4.554e-02
   17      17.000s     9.869e-01     1.032e+00    4.509e-02
   18      18.000s     9.861e-01     1.031e+00    4.465e-02
   19      19.000s     9.853e-01     1.029e+00    4.421e-02
   20      20.000s     9.844e-01     1.028e+00    4.376e-02
   21      21.000s     9.836e-01     1.027e+00    4.332e-02
   22      22.000s     9.828e-01     1.026e+00    4.289e-02
   23      23.000s     9.819e-01     1.024e+00    4.245e-02
   24      24.000s     9.811e-01     1.023e+00    4.202e-02
   25      25.000s     9.803e-01     1.022e+00    4.159e-02
   26      26.000s     9.795e-01     1.021e+00    4.116e-02
   27      27.000s     9.786e-01     1.019e+00    4.073e-02
   28      28.000s     9.778e-01     1.018e+00    4.030e-02
   29      29.000s     9.770e-01     1.017e+00    3.988e-02
   30      30.000s     9.761e-01     1.016e+00    3.946e-02
   31      31.000s     9.753e-01     1.014e+00    3.903e-02
   32      32.000s     9.745e-01     1.013e+00    3.862e-02
   33      33.000s     9.736e-01     1.012e+00    3.820e-02
   34      34.000s     9.728e-01     1.011e+00    3.779e-02
   35      35.000s     9.720e-01     1.009e+00    3.737e-02
   36      36.000s     9.711e-01     1.008e+00    3.696e-02
   37      37.000s     9.703e-01     1.007e+00    3.655e-02
   38      38.000s     9.695e-01     1.006e+00    3.615e-02
   39      39.000s     9.686e-01     1.004e+00    3.574e-02
   40      40.000s     9.678e-01     1.003e+00    3.534e-02
   41      41.000s     9.670e-01     1.002e+00    3.494e-02
   42      42.000s     9.661e-01     1.001e+00    3.454e-02
   43      43.000s     9.653e-01     9.994e-01    3.414e-02
   44      44.000s     9.645e-01     9.982e-01    3.374e-02
   45      45.000s     9.636e-01     9.970e-01    3.335e-02
   46      46.000s     9.628e-01     9.957e-01    3.295e-02
   47      47.000s     9.619e-01     9.945e-01    3.256e-02
   48      48.000s     9.611e-01     9.933e-01    3.216e-02
   49      49.000s     9.603e-01     9.921e-01    3.177e-02
   50      50.000s     9.594e-01     9.908e-01    3.138e-02
   51      51.000s     9.586e-01     9.896e-01    3.099e-02
   52      52.000s     9.578e-01     9.884e-01    3.060e-02
   53      53.000s     9.570e-01     9.872e-01    3.022e-02
   54      54.000s     9.561e-01     9.859e-01    2.983e-02
   55      55.000s     9.553e-01     9.847e-01    2.945e-02
   56      56.000s     9.545e-01     9.835e-01    2.906e-02
   57      57.000s     9.536e-01     9.823e-01    2.868e-02
   58      58.000s     9.528e-01     9.811e-01    2.830e-02
   59      59.000s     9.520e-01     9.799e-01    2.793e-02
   60      60.000s     9.511e-01     9.787e-01    2.755e-02
   61      61.000s     9.503e-01     9.775e-01    2.718e-02
   62      62.000s     9.494e-01     9.763e-01    2.681e-02
   63      63.000s     9.486e-01     9.751e-01    2.645e-02
   64      64.000s     9.478e-01     9.739e-01    2.609e-02
   65      65.000s     9.469e-01     9.727e-01    2.573e-02
   66      66.000s     9.461e-01     9.715e-01    2.538e-02
   67      67.000s     9.452e-01     9.703e-01    2.503e-02
   68      68.000s     9.444e-01     9.691e-01    2.469e-02
   69      69.000s     9.435e-01     9.679e-01    2.435e-02
   70      70.000s     9.427e-01     9.667e-01    2.402e-02
   71      71.000s     9.418e-01     9.655e-01    2.369e-02
   72      72.000s     9.409e-01     9.643e-01    2.336e-02
   73      73.000s     9.401e-01     9.631e-01    2.304e-02
   74      74.000s     9.392e-01     9.619e-01    2.273e-02
   75      75.000s     9.383e-01     9.607e-01    2.241e-02
   76      76.000s     9.374e-01     9.595e-01    2.211e-02
   77      77.000s     9.366e-01     9.584e-01    2.180e-02
   78      78.000s     9.357e-01     9.572e-01    2.151e-02
   79      79.000s     9.348e-01     9.560e-01    2.121e-02
   80      80.000s     9.339e-01     9.548e-01    2.092e-02
   81      81.000s     9.330e-01     9.536e-01    2.063e-02
   82      82.000s     9.321e-01     9.525e-01    2.034e-02
   83      83.000s     9.312e-01     9.513e-01    2.006e-02
   84      84.000s     9.303e-01     9.501e-01    1.978e-02
   85      85.000s     9.294e-01     9.489e-01    1.950e-02
   86      86.000s     9.286e-01     9.478e-01    1.922e-02
   87      87.000s     9.277e-01     9.466e-01    1.894e-02
   88      88.000s     9.268e-01     9.454e-01    1.866e-02
   89      89.000s     9.259e-01     9.443e-01    1.838e-02
   90      90.000s     9.250e-01     9.431e-01    1.810e-02
   91      91.000s     9.241e-01     9.419e-01    1.782e-02
   92      92.000s     9.232e-01     9.408e-01    1.755e-02
   93      93.000s     9.224e-01     9.396e-01    1.727e-02
   94      94.000s     9.215e-01     9.385e-01    1.699e-02
   95      95.000s     9.206e-01     9.373e-01    1.671e-02
   96      96.000s     9.197e-01     9.361e-01    1.643e-02
   97      97.000s     9.188e-01     9.350e-01    1.615e-02
   98      98.000s     9.180e-01     9.338e-01    1.587e-02
   99      99.000s     9.171e-01     9.327e-01    1.558e-02
  100     100.000s     9.162e-01     9.315e-01    1.530e-02
  101     101.000s     9.154e-01     9.304e-01    1.502e-02
  102     102.000s     9.145e-01     9.292e-01    1.474e-02
  103     103.000s     9.136e-01     9.281e-01    1.445e-02
  104     104.000s     9.128e-01     9.270e-01    1.417e-02
  105     105.000s     9.119e-01     9.258e-01    1.389e-02
  106     106.000s     9.111e-01     9.247e-01    1.361e-02
  107     107.000s     9.102e-01     9.235e-01    1.333e-02
  108     108.000s     9.093e-01     9.224e-01    1.305e-02
  109     109.000s     9.085e-01     9.213e-01    1.277e-02
  110     110.000s     9.076e-01     9.201e-01    1.250e-02
  111     111.000s     9.068e-01     9.190e-01    1.222e-02
  112     112.000s     9.059e-01     9.178e-01    1.195e-02
  113     113.000s     9.050e-01     9.167e-01    1.168e-02
  114     114.000s     9.042e-01     9.156e-01    1.141e-02
  115     115.000s     9.033e-01     9.145e-01    1.115e-02
  116     116.000s     9.024e-01     9.133e-01    1.088e-02
  117     117.000s     9.016e-01     9.122e-01    1.062e-02
  118     118.000s     9.007e-01     9.111e-01    1.036e-02
  119     119.000s     8.998e-01     9.100e-01    1.011e-02
  120     120.000s     8.990e-01     9.088e-01    9.852e-03
  121     121.000s     8.981e-01     9.077e-01    9.600e-03
  122     122.000s     8.972e-01     9.066e-01    9.349e-03
  123     123.000s     8.964e-01     9.055e-01    9.101e-03
  124     124.000s     8.955e-01     9.044e-01    8.853e-03
  125     125.000s     8.946e-01     9.032e-01    8.607e-03
  126     126.000s     8.938e-01     9.021e-01    8.362e-03
  127     127.000s     8.929e-01     9.010e-01    8.117e-03
  128     128.000s     8.920e-01     8.999e-01    7.873e-03
  129     129.000s     8.912e-01     8.988e-01    7.629e-03
