SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/e3b/joachim/87Rb-CRN/6/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

549 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -1.406e+02     1.416e+02  
T     =     194.259s      195.132s  

RSS   =    3.576e-02
SD    =    8.071e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.909e-01   -9.067e-03
    2       2.000s     9.977e-01     9.891e-01   -8.640e-03
    3       3.000s     9.953e-01     9.872e-01   -8.063e-03
    4       4.000s     9.927e-01     9.853e-01   -7.359e-03
    5       5.000s     9.900e-01     9.835e-01   -6.572e-03
    6       6.000s     9.873e-01     9.816e-01   -5.757e-03
    7       7.000s     9.846e-01     9.797e-01   -4.961e-03
    8       8.000s     9.820e-01     9.778e-01   -4.215e-03
    9       9.000s     9.794e-01     9.759e-01   -3.531e-03
   10      10.000s     9.769e-01     9.740e-01   -2.906e-03
   11      11.000s     9.744e-01     9.720e-01   -2.327e-03
   12      12.000s     9.719e-01     9.701e-01   -1.784e-03
   13      13.000s     9.695e-01     9.682e-01   -1.273e-03
   14      14.000s     9.671e-01     9.663e-01   -7.977e-04
   15      15.000s     9.647e-01     9.643e-01   -3.731e-04
   16      16.000s     9.624e-01     9.624e-01   -2.696e-05
   17      17.000s     9.602e-01     9.604e-01    2.052e-04
   18      18.000s     9.582e-01     9.585e-01    2.914e-04
   19      19.000s     9.563e-01     9.565e-01    2.186e-04
   20      20.000s     9.545e-01     9.545e-01    6.289e-06
   21      21.000s     9.529e-01     9.526e-01   -2.895e-04
   22      22.000s     9.512e-01     9.506e-01   -5.864e-04
   23      23.000s     9.494e-01     9.486e-01   -7.951e-04
   24      24.000s     9.475e-01     9.466e-01   -8.426e-04
   25      25.000s     9.453e-01     9.446e-01   -6.889e-04
   26      26.000s     9.430e-01     9.426e-01   -3.342e-04
   27      27.000s     9.405e-01     9.406e-01    1.823e-04
   28      28.000s     9.379e-01     9.386e-01    7.914e-04
   29      29.000s     9.352e-01     9.366e-01    1.406e-03
   30      30.000s     9.327e-01     9.346e-01    1.940e-03
   31      31.000s     9.303e-01     9.326e-01    2.321e-03
   32      32.000s     9.281e-01     9.306e-01    2.510e-03
   33      33.000s     9.261e-01     9.286e-01    2.500e-03
   34      34.000s     9.242e-01     9.265e-01    2.313e-03
   35      35.000s     9.225e-01     9.245e-01    1.990e-03
   36      36.000s     9.209e-01     9.225e-01    1.573e-03
   37      37.000s     9.193e-01     9.204e-01    1.103e-03
   38      38.000s     9.178e-01     9.184e-01    6.046e-04
   39      39.000s     9.163e-01     9.164e-01    9.161e-05
   40      40.000s     9.147e-01     9.143e-01   -4.367e-04
   41      41.000s     9.132e-01     9.123e-01   -9.933e-04
   42      42.000s     9.118e-01     9.102e-01   -1.599e-03
   43      43.000s     9.104e-01     9.081e-01   -2.273e-03
   44      44.000s     9.091e-01     9.061e-01   -3.029e-03
   45      45.000s     9.079e-01     9.040e-01   -3.861e-03
   46      46.000s     9.067e-01     9.020e-01   -4.742e-03
   47      47.000s     9.055e-01     8.999e-01   -5.624e-03
   48      48.000s     9.043e-01     8.978e-01   -6.442e-03
   49      49.000s     9.029e-01     8.958e-01   -7.127e-03
   50      50.000s     9.013e-01     8.937e-01   -7.626e-03
   51      51.000s     8.995e-01     8.916e-01   -7.908e-03
   52      52.000s     8.975e-01     8.895e-01   -7.973e-03
   53      53.000s     8.953e-01     8.874e-01   -7.845e-03
   54      54.000s     8.929e-01     8.854e-01   -7.561e-03
   55      55.000s     8.904e-01     8.833e-01   -7.166e-03
   56      56.000s     8.879e-01     8.812e-01   -6.698e-03
   57      57.000s     8.853e-01     8.791e-01   -6.187e-03
   58      58.000s     8.827e-01     8.770e-01   -5.650e-03
   59      59.000s     8.800e-01     8.749e-01   -5.090e-03
   60      60.000s     8.773e-01     8.728e-01   -4.501e-03
   61      61.000s     8.746e-01     8.707e-01   -3.879e-03
   62      62.000s     8.719e-01     8.686e-01   -3.222e-03
