SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/e3b/joachim/87Rb-CRN/16/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

321 points for Peak 1

Converged after 227 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -6.070e-02     1.058e+00  
T     =      25.993s      202.591s  

RSS   =    3.341e-03
SD    =    3.226e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.941e-01   -5.867e-03
    2       2.000s     9.959e-01     9.912e-01   -4.715e-03
    3       3.000s     9.907e-01     9.881e-01   -2.580e-03
    4       4.000s     9.856e-01     9.850e-01   -5.832e-04
    5       5.000s     9.821e-01     9.819e-01   -2.371e-04
    6       6.000s     9.801e-01     9.787e-01   -1.374e-03
    7       7.000s     9.776e-01     9.755e-01   -2.132e-03
    8       8.000s     9.733e-01     9.722e-01   -1.168e-03
    9       9.000s     9.680e-01     9.689e-01    9.004e-04
   10      10.000s     9.630e-01     9.655e-01    2.507e-03
   11      11.000s     9.593e-01     9.621e-01    2.827e-03
   12      12.000s     9.567e-01     9.587e-01    2.000e-03
   13      13.000s     9.547e-01     9.552e-01    4.780e-04
   14      14.000s     9.527e-01     9.517e-01   -1.021e-03
   15      15.000s     9.495e-01     9.482e-01   -1.318e-03
   16      16.000s     9.442e-01     9.446e-01    3.836e-04
   17      17.000s     9.377e-01     9.411e-01    3.303e-03
   18      18.000s     9.320e-01     9.375e-01    5.494e-03
   19      19.000s     9.280e-01     9.338e-01    5.818e-03
   20      20.000s     9.252e-01     9.302e-01    5.044e-03
   21      21.000s     9.219e-01     9.265e-01    4.658e-03
   22      22.000s     9.179e-01     9.229e-01    4.992e-03
   23      23.000s     9.142e-01     9.192e-01    4.966e-03
   24      24.000s     9.120e-01     9.155e-01    3.518e-03
   25      25.000s     9.108e-01     9.118e-01    9.232e-04
   26      26.000s     9.093e-01     9.080e-01   -1.284e-03
   27      27.000s     9.059e-01     9.043e-01   -1.604e-03
   28      28.000s     9.005e-01     9.005e-01    4.985e-05
   29      29.000s     8.947e-01     8.968e-01    2.096e-03
   30      30.000s     8.904e-01     8.930e-01    2.626e-03
   31      31.000s     8.880e-01     8.893e-01    1.277e-03
   32      32.000s     8.859e-01     8.855e-01   -4.040e-04
   33      33.000s     8.824e-01     8.817e-01   -6.842e-04
   34      34.000s     8.774e-01     8.779e-01    5.122e-04
   35      35.000s     8.723e-01     8.741e-01    1.826e-03
   36      36.000s     8.681e-01     8.703e-01    2.231e-03
   37      37.000s     8.646e-01     8.666e-01    1.937e-03
   38      38.000s     8.612e-01     8.628e-01    1.579e-03
   39      39.000s     8.577e-01     8.590e-01    1.271e-03
   40      40.000s     8.544e-01     8.552e-01    8.226e-04
   41      41.000s     8.511e-01     8.514e-01    3.349e-04
   42      42.000s     8.476e-01     8.476e-01    3.462e-06
   43      43.000s     8.442e-01     8.439e-01   -3.725e-04
   44      44.000s     8.412e-01     8.401e-01   -1.110e-03
   45      45.000s     8.383e-01     8.363e-01   -1.978e-03
   46      46.000s     8.349e-01     8.326e-01   -2.352e-03
   47      47.000s     8.309e-01     8.288e-01   -2.064e-03
   48      48.000s     8.267e-01     8.250e-01   -1.647e-03
   49      49.000s     8.229e-01     8.213e-01   -1.627e-03
   50      50.000s     8.195e-01     8.175e-01   -1.971e-03
   51      51.000s     8.162e-01     8.138e-01   -2.365e-03
   52      52.000s     8.128e-01     8.101e-01   -2.674e-03
   53      53.000s     8.092e-01     8.064e-01   -2.879e-03
   54      54.000s     8.056e-01     8.027e-01   -2.925e-03
   55      55.000s     8.019e-01     7.990e-01   -2.959e-03
   56      56.000s     7.987e-01     7.953e-01   -3.416e-03
   57      57.000s     7.960e-01     7.916e-01   -4.463e-03
   58      58.000s     7.934e-01     7.879e-01   -5.478e-03
   59      59.000s     7.898e-01     7.842e-01   -5.567e-03
   60      60.000s     7.852e-01     7.806e-01   -4.646e-03
   61      61.000s     7.806e-01     7.769e-01   -3.687e-03
   62      62.000s     7.770e-01     7.733e-01   -3.748e-03
   63      63.000s     7.746e-01     7.697e-01   -4.923e-03
   64      64.000s     7.723e-01     7.661e-01   -6.269e-03
   65      65.000s     7.690e-01     7.625e-01   -6.568e-03
   66      66.000s     7.641e-01     7.589e-01   -5.227e-03
   67      67.000s     7.581e-01     7.553e-01   -2.829e-03
   68      68.000s     7.526e-01     7.517e-01   -9.084e-04
   69      69.000s     7.489e-01     7.482e-01   -7.487e-04
   70      70.000s     7.467e-01     7.446e-01   -2.054e-03
   71      71.000s     7.442e-01     7.411e-01   -3.079e-03
   72      72.000s     7.400e-01     7.376e-01   -2.444e-03
   73      73.000s     7.347e-01     7.341e-01   -6.445e-04
   74      74.000s     7.299e-01     7.306e-01    6.446e-04
   75      75.000s     7.264e-01     7.271e-01    6.546e-04
   76      76.000s     7.232e-01     7.236e-01    3.689e-04
   77      77.000s     7.190e-01     7.202e-01    1.170e-03
   78      78.000s     7.136e-01     7.167e-01    3.138e-03
   79      79.000s     7.083e-01     7.133e-01    5.028e-03
   80      80.000s     7.042e-01     7.099e-01    5.629e-03
   81      81.000s     7.017e-01     7.065e-01    4.726e-03
   82      82.000s     7.002e-01     7.031e-01    2.881e-03
   83      83.000s     6.989e-01     6.997e-01    7.917e-04
   84      84.000s     6.973e-01     6.963e-01   -1.007e-03
   85      85.000s     6.952e-01     6.930e-01   -2.168e-03
   86      86.000s     6.923e-01     6.897e-01   -2.603e-03
   87      87.000s     6.888e-01     6.863e-01   -2.497e-03
   88      88.000s     6.851e-01     6.830e-01   -2.064e-03
   89      89.000s     6.810e-01     6.797e-01   -1.254e-03
   90      90.000s     6.762e-01     6.764e-01    2.099e-04
   91      91.000s     6.708e-01     6.732e-01    2.353e-03
   92      92.000s     6.654e-01     6.699e-01    4.501e-03
   93      93.000s     6.612e-01     6.667e-01    5.458e-03
   94      94.000s     6.590e-01     6.635e-01    4.461e-03
   95      95.000s     6.581e-01     6.602e-01    2.117e-03
   96      96.000s     6.569e-01     6.570e-01    1.460e-04
   97      97.000s     6.540e-01     6.539e-01   -1.734e-04
   98      98.000s     6.500e-01     6.507e-01    7.110e-04
   99      99.000s     6.463e-01     6.475e-01    1.196e-03
  100     100.000s     6.440e-01     6.444e-01    3.971e-04
  101     101.000s     6.422e-01     6.412e-01   -9.309e-04
  102     102.000s     6.396e-01     6.381e-01   -1.496e-03
  103     103.000s     6.360e-01     6.350e-01   -1.008e-03
  104     104.000s     6.321e-01     6.319e-01   -1.764e-04
  105     105.000s     6.284e-01     6.289e-01    4.585e-04
  106     106.000s     6.248e-01     6.258e-01    9.755e-04
  107     107.000s     6.214e-01     6.228e-01    1.311e-03
  108     108.000s     6.189e-01     6.197e-01    8.331e-04
  109     109.000s     6.175e-01     6.167e-01   -8.232e-04
  110     110.000s     6.166e-01     6.137e-01   -2.888e-03
  111     111.000s     6.147e-01     6.107e-01   -4.033e-03
  112     112.000s     6.115e-01     6.077e-01   -3.727e-03
  113     113.000s     6.073e-01     6.048e-01   -2.569e-03
  114     114.000s     6.032e-01     6.018e-01   -1.355e-03
  115     115.000s     5.992e-01     5.989e-01   -3.552e-04
  116     116.000s     5.956e-01     5.959e-01    3.480e-04
  117     117.000s     5.926e-01     5.930e-01    4.122e-04
  118     118.000s     5.905e-01     5.901e-01   -3.581e-04
  119     119.000s     5.887e-01     5.872e-01   -1.410e-03
  120     120.000s     5.862e-01     5.844e-01   -1.805e-03
  121     121.000s     5.828e-01     5.815e-01   -1.247e-03
  122     122.000s     5.790e-01     5.787e-01   -3.687e-04
  123     123.000s     5.757e-01     5.758e-01    1.372e-04
  124     124.000s     5.727e-01     5.730e-01    3.755e-04
  125     125.000s     5.692e-01     5.702e-01    9.992e-04
  126     126.000s     5.651e-01     5.674e-01    2.287e-03
  127     127.000s     5.609e-01     5.647e-01    3.740e-03
  128     128.000s     5.573e-01     5.619e-01    4.574e-03
  129     129.000s     5.547e-01     5.591e-01    4.399e-03
  130     130.000s     5.530e-01     5.564e-01    3.372e-03
  131     131.000s     5.518e-01     5.537e-01    1.869e-03
  132     132.000s     5.508e-01     5.510e-01    1.745e-04
  133     133.000s     5.498e-01     5.483e-01   -1.525e-03
  134     134.000s     5.486e-01     5.456e-01   -3.055e-03
  135     135.000s     5.472e-01     5.429e-01   -4.297e-03
  136     136.000s     5.455e-01     5.402e-01   -5.289e-03
  137     137.000s     5.437e-01     5.376e-01   -6.084e-03
  138     138.000s     5.414e-01     5.349e-01   -6.412e-03
  139     139.000s     5.380e-01     5.323e-01   -5.647e-03
  140     140.000s     5.331e-01     5.297e-01   -3.415e-03
  141     141.000s     5.274e-01     5.271e-01   -3.095e-04
  142     142.000s     5.223e-01     5.245e-01    2.240e-03
  143     143.000s     5.189e-01     5.219e-01    3.028e-03
  144     144.000s     5.174e-01     5.194e-01    2.012e-03
  145     145.000s     5.167e-01     5.168e-01    1.594e-04
  146     146.000s     5.157e-01     5.143e-01   -1.431e-03
  147     147.000s     5.139e-01     5.118e-01   -2.154e-03
  148     148.000s     5.112e-01     5.093e-01   -1.896e-03
  149     149.000s     5.076e-01     5.068e-01   -8.531e-04
  150     150.000s     5.037e-01     5.043e-01    5.736e-04
  151     151.000s     4.998e-01     5.018e-01    2.009e-03
  152     152.000s     4.960e-01     4.993e-01    3.345e-03
  153     153.000s     4.923e-01     4.969e-01    4.587e-03
  154     154.000s     4.890e-01     4.944e-01    5.462e-03
  155     155.000s     4.865e-01     4.920e-01    5.534e-03
  156     156.000s     4.847e-01     4.896e-01    4.892e-03
  157     157.000s     4.829e-01     4.872e-01    4.309e-03
  158     158.000s     4.804e-01     4.848e-01    4.375e-03
  159     159.000s     4.777e-01     4.824e-01    4.739e-03
  160     160.000s     4.753e-01     4.800e-01    4.699e-03
  161     161.000s     4.734e-01     4.777e-01    4.263e-03
  162     162.000s     4.714e-01     4.753e-01    3.972e-03
  163     163.000s     4.693e-01     4.730e-01    3.722e-03
  164     164.000s     4.680e-01     4.707e-01    2.679e-03
  165     165.000s     4.676e-01     4.684e-01    7.393e-04
  166     166.000s     4.668e-01     4.661e-01   -7.238e-04
  167     167.000s     4.641e-01     4.638e-01   -3.857e-04
  168     168.000s     4.603e-01     4.615e-01    1.211e-03
  169     169.000s     4.569e-01     4.592e-01    2.270e-03
  170     170.000s     4.550e-01     4.570e-01    1.997e-03
  171     171.000s     4.535e-01     4.547e-01    1.227e-03
  172     172.000s     4.518e-01     4.525e-01    6.797e-04
  173     173.000s     4.505e-01     4.502e-01   -2.268e-04
  174     174.000s     4.502e-01     4.480e-01   -2.134e-03
  175     175.000s     4.500e-01     4.458e-01   -4.178e-03
  176     176.000s     4.484e-01     4.436e-01   -4.811e-03
  177     177.000s     4.454e-01     4.415e-01   -3.902e-03
  178     178.000s     4.422e-01     4.393e-01   -2.899e-03
  179     179.000s     4.399e-01     4.371e-01   -2.815e-03
  180     180.000s     4.380e-01     4.350e-01   -3.040e-03
  181     181.000s     4.354e-01     4.328e-01   -2.579e-03
  182     182.000s     4.323e-01     4.307e-01   -1.578e-03
  183     183.000s     4.295e-01     4.286e-01   -9.045e-04
  184     184.000s     4.272e-01     4.265e-01   -7.425e-04
  185     185.000s     4.249e-01     4.244e-01   -4.889e-04
  186     186.000s     4.222e-01     4.223e-01    1.121e-04
  187     187.000s     4.196e-01     4.202e-01    5.722e-04
