SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/e3b/joachim/87Rb-CRN/4/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

1227 points for Peak 1

Converged after 9790 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -3.571e+01     3.671e+01  
T     =     468.473s      475.804s  

RSS   =    2.119e-03
SD    =    1.314e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.983e-01   -1.655e-03
    2       2.000s     9.990e-01     9.974e-01   -1.622e-03
    3       3.000s     9.981e-01     9.965e-01   -1.590e-03
    4       4.000s     9.971e-01     9.956e-01   -1.559e-03
    5       5.000s     9.962e-01     9.946e-01   -1.528e-03
    6       6.000s     9.952e-01     9.937e-01   -1.498e-03
    7       7.000s     9.942e-01     9.928e-01   -1.469e-03
    8       8.000s     9.933e-01     9.918e-01   -1.440e-03
    9       9.000s     9.923e-01     9.909e-01   -1.412e-03
   10      10.000s     9.914e-01     9.900e-01   -1.383e-03
   11      11.000s     9.904e-01     9.891e-01   -1.355e-03
   12      12.000s     9.895e-01     9.881e-01   -1.326e-03
   13      13.000s     9.885e-01     9.872e-01   -1.297e-03
   14      14.000s     9.875e-01     9.863e-01   -1.268e-03
   15      15.000s     9.866e-01     9.853e-01   -1.238e-03
   16      16.000s     9.856e-01     9.844e-01   -1.206e-03
   17      17.000s     9.846e-01     9.835e-01   -1.174e-03
   18      18.000s     9.837e-01     9.825e-01   -1.140e-03
   19      19.000s     9.827e-01     9.816e-01   -1.105e-03
   20      20.000s     9.817e-01     9.807e-01   -1.068e-03
   21      21.000s     9.807e-01     9.797e-01   -1.029e-03
   22      22.000s     9.798e-01     9.788e-01   -9.881e-04
   23      23.000s     9.788e-01     9.778e-01   -9.448e-04
   24      24.000s     9.778e-01     9.769e-01   -8.992e-04
   25      25.000s     9.768e-01     9.760e-01   -8.512e-04
   26      26.000s     9.758e-01     9.750e-01   -8.008e-04
   27      27.000s     9.748e-01     9.741e-01   -7.481e-04
   28      28.000s     9.738e-01     9.732e-01   -6.931e-04
   29      29.000s     9.729e-01     9.722e-01   -6.359e-04
   30      30.000s     9.719e-01     9.713e-01   -5.767e-04
   31      31.000s     9.709e-01     9.703e-01   -5.156e-04
   32      32.000s     9.699e-01     9.694e-01   -4.528e-04
   33      33.000s     9.688e-01     9.685e-01   -3.887e-04
   34      34.000s     9.678e-01     9.675e-01   -3.234e-04
   35      35.000s     9.668e-01     9.666e-01   -2.573e-04
   36      36.000s     9.658e-01     9.656e-01   -1.907e-04
   37      37.000s     9.648e-01     9.647e-01   -1.239e-04
   38      38.000s     9.638e-01     9.637e-01   -5.728e-05
   39      39.000s     9.628e-01     9.628e-01    8.870e-06
   40      40.000s     9.618e-01     9.619e-01    7.418e-05
   41      41.000s     9.608e-01     9.609e-01    1.383e-04
   42      42.000s     9.598e-01     9.600e-01    2.009e-04
   43      43.000s     9.588e-01     9.590e-01    2.617e-04
   44      44.000s     9.578e-01     9.581e-01    3.203e-04
   45      45.000s     9.568e-01     9.571e-01    3.764e-04
   46      46.000s     9.558e-01     9.562e-01    4.298e-04
   47      47.000s     9.548e-01     9.553e-01    4.802e-04
   48      48.000s     9.538e-01     9.543e-01    5.273e-04
   49      49.000s     9.528e-01     9.534e-01    5.709e-04
   50      50.000s     9.518e-01     9.524e-01    6.107e-04
   51      51.000s     9.508e-01     9.515e-01    6.467e-04
   52      52.000s     9.498e-01     9.505e-01    6.786e-04
   53      53.000s     9.489e-01     9.496e-01    7.062e-04
   54      54.000s     9.479e-01     9.486e-01    7.296e-04
   55      55.000s     9.469e-01     9.477e-01    7.485e-04
   56      56.000s     9.460e-01     9.467e-01    7.629e-04
   57      57.000s     9.450e-01     9.458e-01    7.729e-04
   58      58.000s     9.441e-01     9.448e-01    7.783e-04
   59      59.000s     9.431e-01     9.439e-01    7.793e-04
   60      60.000s     9.422e-01     9.429e-01    7.758e-04
   61      61.000s     9.412e-01     9.420e-01    7.681e-04
   62      62.000s     9.403e-01     9.410e-01    7.561e-04
   63      63.000s     9.394e-01     9.401e-01    7.401e-04
   64      64.000s     9.384e-01     9.391e-01    7.203e-04
   65      65.000s     9.375e-01     9.382e-01    6.968e-04
   66      66.000s     9.366e-01     9.372e-01    6.699e-04
   67      67.000s     9.357e-01     9.363e-01    6.399e-04
   68      68.000s     9.347e-01     9.353e-01    6.070e-04
   69      69.000s     9.338e-01     9.344e-01    5.716e-04
   70      70.000s     9.329e-01     9.334e-01    5.340e-04
   71      71.000s     9.320e-01     9.325e-01    4.945e-04
   72      72.000s     9.311e-01     9.315e-01    4.535e-04
   73      73.000s     9.302e-01     9.306e-01    4.112e-04
   74      74.000s     9.293e-01     9.296e-01    3.681e-04
   75      75.000s     9.284e-01     9.287e-01    3.244e-04
   76      76.000s     9.275e-01     9.277e-01    2.806e-04
   77      77.000s     9.266e-01     9.268e-01    2.369e-04
   78      78.000s     9.256e-01     9.258e-01    1.936e-04
   79      79.000s     9.247e-01     9.249e-01    1.510e-04
   80      80.000s     9.238e-01     9.239e-01    1.094e-04
   81      81.000s     9.229e-01     9.230e-01    6.909e-05
   82      82.000s     9.220e-01     9.220e-01    3.020e-05
   83      83.000s     9.211e-01     9.211e-01   -7.000e-06
   84      84.000s     9.202e-01     9.201e-01   -4.234e-05
   85      85.000s     9.193e-01     9.192e-01   -7.564e-05
   86      86.000s     9.183e-01     9.182e-01   -1.068e-04
   87      87.000s     9.174e-01     9.173e-01   -1.355e-04
   88      88.000s     9.165e-01     9.163e-01   -1.619e-04
   89      89.000s     9.156e-01     9.154e-01   -1.857e-04
   90      90.000s     9.146e-01     9.144e-01   -2.068e-04
   91      91.000s     9.137e-01     9.135e-01   -2.253e-04
   92      92.000s     9.128e-01     9.125e-01   -2.410e-04
   93      93.000s     9.118e-01     9.116e-01   -2.538e-04
   94      94.000s     9.109e-01     9.106e-01   -2.638e-04
   95      95.000s     9.099e-01     9.097e-01   -2.709e-04
   96      96.000s     9.090e-01     9.087e-01   -2.752e-04
   97      97.000s     9.080e-01     9.077e-01   -2.766e-04
   98      98.000s     9.071e-01     9.068e-01   -2.752e-04
   99      99.000s     9.061e-01     9.058e-01   -2.710e-04
  100     100.000s     9.052e-01     9.049e-01   -2.641e-04
  101     101.000s     9.042e-01     9.039e-01   -2.547e-04
  102     102.000s     9.032e-01     9.030e-01   -2.428e-04
  103     103.000s     9.023e-01     9.020e-01   -2.287e-04
  104     104.000s     9.013e-01     9.011e-01   -2.124e-04
  105     105.000s     9.003e-01     9.001e-01   -1.942e-04
  106     106.000s     8.993e-01     8.992e-01   -1.743e-04
  107     107.000s     8.984e-01     8.982e-01   -1.530e-04
  108     108.000s     8.974e-01     8.973e-01   -1.305e-04
  109     109.000s     8.964e-01     8.963e-01   -1.070e-04
  110     110.000s     8.954e-01     8.954e-01   -8.297e-05
  111     111.000s     8.945e-01     8.944e-01   -5.855e-05
  112     112.000s     8.935e-01     8.935e-01   -3.407e-05
  113     113.000s     8.925e-01     8.925e-01   -9.799e-06
  114     114.000s     8.915e-01     8.915e-01    1.398e-05
  115     115.000s     8.906e-01     8.906e-01    3.701e-05
  116     116.000s     8.896e-01     8.896e-01    5.906e-05
  117     117.000s     8.886e-01     8.887e-01    7.992e-05
  118     118.000s     8.876e-01     8.877e-01    9.941e-05
  119     119.000s     8.867e-01     8.868e-01    1.174e-04
  120     120.000s     8.857e-01     8.858e-01    1.337e-04
  121     121.000s     8.847e-01     8.849e-01    1.483e-04
  122     122.000s     8.838e-01     8.839e-01    1.612e-04
  123     123.000s     8.828e-01     8.830e-01    1.723e-04
  124     124.000s     8.818e-01     8.820e-01    1.817e-04
  125     125.000s     8.809e-01     8.811e-01    1.894e-04
  126     126.000s     8.799e-01     8.801e-01    1.955e-04
  127     127.000s     8.790e-01     8.792e-01    2.002e-04
  128     128.000s     8.780e-01     8.782e-01    2.035e-04
  129     129.000s     8.771e-01     8.773e-01    2.057e-04
  130     130.000s     8.761e-01     8.763e-01    2.068e-04
  131     131.000s     8.751e-01     8.754e-01    2.071e-04
  132     132.000s     8.742e-01     8.744e-01    2.067e-04
  133     133.000s     8.732e-01     8.735e-01    2.058e-04
  134     134.000s     8.723e-01     8.725e-01    2.045e-04
  135     135.000s     8.713e-01     8.715e-01    2.030e-04
  136     136.000s     8.704e-01     8.706e-01    2.014e-04
  137     137.000s     8.694e-01     8.696e-01    1.997e-04
  138     138.000s     8.685e-01     8.687e-01    1.982e-04
  139     139.000s     8.675e-01     8.677e-01    1.967e-04
  140     140.000s     8.666e-01     8.668e-01    1.954e-04
  141     141.000s     8.656e-01     8.658e-01    1.942e-04
  142     142.000s     8.647e-01     8.649e-01    1.932e-04
  143     143.000s     8.638e-01     8.639e-01    1.923e-04
  144     144.000s     8.628e-01     8.630e-01    1.916e-04
  145     145.000s     8.619e-01     8.620e-01    1.908e-04
  146     146.000s     8.609e-01     8.611e-01    1.900e-04
  147     147.000s     8.600e-01     8.601e-01    1.891e-04
  148     148.000s     8.590e-01     8.592e-01    1.879e-04
  149     149.000s     8.581e-01     8.582e-01    1.865e-04
  150     150.000s     8.571e-01     8.573e-01    1.847e-04
  151     151.000s     8.562e-01     8.563e-01    1.825e-04
  152     152.000s     8.552e-01     8.554e-01    1.797e-04
  153     153.000s     8.543e-01     8.544e-01    1.763e-04
  154     154.000s     8.533e-01     8.535e-01    1.723e-04
  155     155.000s     8.524e-01     8.526e-01    1.676e-04
  156     156.000s     8.514e-01     8.516e-01    1.622e-04
  157     157.000s     8.505e-01     8.507e-01    1.561e-04
  158     158.000s     8.496e-01     8.497e-01    1.493e-04
  159     159.000s     8.486e-01     8.488e-01    1.419e-04
  160     160.000s     8.477e-01     8.478e-01    1.338e-04
  161     161.000s     8.467e-01     8.469e-01    1.252e-04
  162     162.000s     8.458e-01     8.459e-01    1.162e-04
