SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/e3b/joachim/87Rb-CRN/11/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

216 points for Peak 1

Converged after 213 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -1.730e-02     1.019e+00  
T     =       5.626s      148.546s  

RSS   =    3.709e-03
SD    =    4.144e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     9.978e-01   -2.219e-03
    2       2.000s     9.946e-01     9.933e-01   -1.247e-03
    3       3.000s     9.893e-01     9.886e-01   -7.226e-04
    4       4.000s     9.835e-01     9.835e-01    5.859e-05
    5       5.000s     9.769e-01     9.783e-01    1.386e-03
    6       6.000s     9.700e-01     9.728e-01    2.810e-03
    7       7.000s     9.636e-01     9.672e-01    3.630e-03
    8       8.000s     9.579e-01     9.615e-01    3.559e-03
    9       9.000s     9.528e-01     9.557e-01    2.849e-03
   10      10.000s     9.479e-01     9.498e-01    1.911e-03
   11      11.000s     9.429e-01     9.439e-01    9.819e-04
   12      12.000s     9.378e-01     9.380e-01    1.446e-04
   13      13.000s     9.325e-01     9.320e-01   -5.112e-04
   14      14.000s     9.269e-01     9.260e-01   -9.057e-04
   15      15.000s     9.212e-01     9.200e-01   -1.147e-03
   16      16.000s     9.156e-01     9.140e-01   -1.563e-03
   17      17.000s     9.105e-01     9.081e-01   -2.401e-03
   18      18.000s     9.056e-01     9.021e-01   -3.489e-03
   19      19.000s     9.004e-01     8.962e-01   -4.295e-03
   20      20.000s     8.947e-01     8.902e-01   -4.426e-03
   21      21.000s     8.884e-01     8.843e-01   -4.016e-03
   22      22.000s     8.820e-01     8.785e-01   -3.531e-03
   23      23.000s     8.759e-01     8.726e-01   -3.268e-03
   24      24.000s     8.700e-01     8.668e-01   -3.202e-03
   25      25.000s     8.643e-01     8.610e-01   -3.308e-03
   26      26.000s     8.591e-01     8.553e-01   -3.759e-03
   27      27.000s     8.542e-01     8.496e-01   -4.591e-03
