SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/e3b/joachim/87Rb-CRN/48/pdata/991/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

507 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    3.062e-01     1.067e+00  
T     =      29.948m      289.292s  

RSS   =    3.918e-01
SD    =    2.780e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.063e+00    6.339e-02
    2       2.000s     9.985e-01     1.060e+00    6.127e-02
    3       3.000s     9.967e-01     1.056e+00    5.941e-02
    4       4.000s     9.942e-01     1.052e+00    5.826e-02
    5       5.000s     9.912e-01     1.049e+00    5.763e-02
    6       6.000s     9.882e-01     1.045e+00    5.699e-02
    7       7.000s     9.855e-01     1.042e+00    5.607e-02
    8       8.000s     9.830e-01     1.038e+00    5.499e-02
    9       9.000s     9.804e-01     1.034e+00    5.396e-02
   10      10.000s     9.779e-01     1.031e+00    5.294e-02
   11      11.000s     9.756e-01     1.027e+00    5.170e-02
   12      12.000s     9.736e-01     1.024e+00    5.010e-02
   13      13.000s     9.719e-01     1.020e+00    4.833e-02
   14      14.000s     9.699e-01     1.017e+00    4.676e-02
   15      15.000s     9.676e-01     1.013e+00    4.556e-02
   16      16.000s     9.651e-01     1.010e+00    4.454e-02
   17      17.000s     9.628e-01     1.006e+00    4.336e-02
   18      18.000s     9.607e-01     1.003e+00    4.198e-02
   19      19.000s     9.585e-01     9.992e-01    4.072e-02
   20      20.000s     9.560e-01     9.958e-01    3.978e-02
   21      21.000s     9.534e-01     9.924e-01    3.892e-02
   22      22.000s     9.512e-01     9.889e-01    3.777e-02
   23      23.000s     9.492e-01     9.855e-01    3.631e-02
   24      24.000s     9.471e-01     9.821e-01    3.500e-02
   25      25.000s     9.446e-01     9.787e-01    3.417e-02
   26      26.000s     9.417e-01     9.754e-01    3.362e-02
   27      27.000s     9.392e-01     9.720e-01    3.283e-02
   28      28.000s     9.371e-01     9.686e-01    3.153e-02
   29      29.000s     9.353e-01     9.653e-01    3.000e-02
   30      30.000s     9.332e-01     9.620e-01    2.877e-02
   31      31.000s     9.305e-01     9.586e-01    2.813e-02
   32      32.000s     9.274e-01     9.553e-01    2.792e-02
   33      33.000s     9.244e-01     9.520e-01    2.760e-02
   34      34.000s     9.220e-01     9.488e-01    2.671e-02
   35      35.000s     9.202e-01     9.455e-01    2.523e-02
   36      36.000s     9.187e-01     9.422e-01    2.353e-02
   37      37.000s     9.170e-01     9.390e-01    2.198e-02
   38      38.000s     9.150e-01     9.357e-01    2.072e-02
   39      39.000s     9.127e-01     9.325e-01    1.978e-02
   40      40.000s     9.101e-01     9.293e-01    1.920e-02
   41      41.000s     9.073e-01     9.261e-01    1.878e-02
   42      42.000s     9.047e-01     9.229e-01    1.814e-02
   43      43.000s     9.027e-01     9.197e-01    1.703e-02
   44      44.000s     9.007e-01     9.165e-01    1.578e-02
   45      45.000s     8.985e-01     9.134e-01    1.489e-02
   46      46.000s     8.959e-01     9.102e-01    1.434e-02
   47      47.000s     8.935e-01     9.071e-01    1.360e-02
   48      48.000s     8.914e-01     9.039e-01    1.252e-02
   49      49.000s     8.891e-01     9.008e-01    1.168e-02
   50      50.000s     8.860e-01     8.977e-01    1.167e-02
   51      51.000s     8.825e-01     8.946e-01    1.208e-02
   52      52.000s     8.797e-01     8.915e-01    1.187e-02
   53      53.000s     8.779e-01     8.884e-01    1.056e-02
   54      54.000s     8.766e-01     8.854e-01    8.775e-03
   55      55.000s     8.750e-01     8.823e-01    7.311e-03
   56      56.000s     8.730e-01     8.793e-01    6.308e-03
