SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/e3b/joachim/87Rb-CRN/48/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

933 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    3.189e+00     1.110e+00  
T     =      32.476m      465.277s  

RSS   =    2.360e+00
SD    =    5.029e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.108e+00    1.078e-01
    2       2.000s     9.986e-01     1.105e+00    1.069e-01
    3       3.000s     9.975e-01     1.103e+00    1.056e-01
    4       4.000s     9.963e-01     1.101e+00    1.044e-01
    5       5.000s     9.951e-01     1.098e+00    1.033e-01
    6       6.000s     9.939e-01     1.096e+00    1.021e-01
    7       7.000s     9.931e-01     1.094e+00    1.006e-01
    8       8.000s     9.925e-01     1.091e+00    9.877e-02
    9       9.000s     9.919e-01     1.089e+00    9.709e-02
   10      10.000s     9.908e-01     1.087e+00    9.586e-02
   11      11.000s     9.892e-01     1.084e+00    9.504e-02
   12      12.000s     9.876e-01     1.082e+00    9.436e-02
   13      13.000s     9.860e-01     1.080e+00    9.358e-02
   14      14.000s     9.847e-01     1.077e+00    9.264e-02
   15      15.000s     9.835e-01     1.075e+00    9.145e-02
   16      16.000s     9.827e-01     1.073e+00    8.998e-02
   17      17.000s     9.820e-01     1.070e+00    8.842e-02
   18      18.000s     9.809e-01     1.068e+00    8.714e-02
   19      19.000s     9.795e-01     1.066e+00    8.627e-02
   20      20.000s     9.781e-01     1.064e+00    8.539e-02
   21      21.000s     9.772e-01     1.061e+00    8.398e-02
   22      22.000s     9.768e-01     1.059e+00    8.215e-02
   23      23.000s     9.762e-01     1.057e+00    8.050e-02
   24      24.000s     9.749e-01     1.054e+00    7.947e-02
   25      25.000s     9.733e-01     1.052e+00    7.886e-02
   26      26.000s     9.717e-01     1.050e+00    7.822e-02
   27      27.000s     9.702e-01     1.048e+00    7.743e-02
   28      28.000s     9.687e-01     1.045e+00    7.665e-02
   29      29.000s     9.673e-01     1.043e+00    7.580e-02
   30      30.000s     9.662e-01     1.041e+00    7.465e-02
   31      31.000s     9.654e-01     1.039e+00    7.326e-02
   32      32.000s     9.644e-01     1.036e+00    7.205e-02
   33      33.000s     9.629e-01     1.034e+00    7.133e-02
   34      34.000s     9.611e-01     1.032e+00    7.086e-02
   35      35.000s     9.596e-01     1.030e+00    7.019e-02
   36      36.000s     9.584e-01     1.028e+00    6.915e-02
   37      37.000s     9.575e-01     1.025e+00    6.781e-02
   38      38.000s     9.569e-01     1.023e+00    6.623e-02
   39      39.000s     9.564e-01     1.021e+00    6.451e-02
   40      40.000s     9.558e-01     1.019e+00    6.294e-02
   41      41.000s     9.547e-01     1.017e+00    6.183e-02
   42      42.000s     9.533e-01     1.014e+00    6.112e-02
   43      43.000s     9.519e-01     1.012e+00    6.036e-02
   44      44.000s     9.508e-01     1.010e+00    5.923e-02
   45      45.000s     9.500e-01     1.008e+00    5.787e-02
   46      46.000s     9.492e-01     1.006e+00    5.648e-02
   47      47.000s     9.485e-01     1.004e+00    5.501e-02
   48      48.000s     9.480e-01     1.001e+00    5.339e-02
   49      49.000s     9.474e-01     9.992e-01    5.183e-02
   50      50.000s     9.463e-01     9.971e-01    5.077e-02
   51      51.000s     9.445e-01     9.950e-01    5.041e-02
   52      52.000s     9.423e-01     9.928e-01    5.048e-02
   53      53.000s     9.402e-01     9.907e-01    5.049e-02
   54      54.000s     9.384e-01     9.886e-01    5.012e-02
   55      55.000s     9.371e-01     9.864e-01    4.934e-02
   56      56.000s     9.359e-01     9.843e-01    4.842e-02
   57      57.000s     9.346e-01     9.822e-01    4.762e-02
   58      58.000s     9.332e-01     9.801e-01    4.691e-02
   59      59.000s     9.321e-01     9.780e-01    4.594e-02
   60      60.000s     9.314e-01     9.759e-01    4.449e-02
   61      61.000s     9.309e-01     9.738e-01    4.286e-02
   62      62.000s     9.301e-01     9.717e-01    4.157e-02
   63      63.000s     9.289e-01     9.696e-01    4.071e-02
   64      64.000s     9.277e-01     9.675e-01    3.981e-02
   65      65.000s     9.268e-01     9.655e-01    3.863e-02
   66      66.000s     9.258e-01     9.634e-01    3.759e-02
   67      67.000s     9.241e-01     9.613e-01    3.724e-02
   68      68.000s     9.219e-01     9.593e-01    3.735e-02
   69      69.000s     9.200e-01     9.572e-01    3.721e-02
   70      70.000s     9.186e-01     9.551e-01    3.659e-02
   71      71.000s     9.171e-01     9.531e-01    3.600e-02
   72      72.000s     9.153e-01     9.510e-01    3.574e-02
   73      73.000s     9.137e-01     9.490e-01    3.530e-02
   74      74.000s     9.129e-01     9.470e-01    3.406e-02
   75      75.000s     9.127e-01     9.449e-01    3.227e-02
   76      76.000s     9.120e-01     9.429e-01    3.088e-02
   77      77.000s     9.106e-01     9.409e-01    3.030e-02
   78      78.000s     9.089e-01     9.389e-01    2.996e-02
   79      79.000s     9.077e-01     9.368e-01    2.919e-02
   80      80.000s     9.068e-01     9.348e-01    2.806e-02
   81      81.000s     9.057e-01     9.328e-01    2.708e-02
   82      82.000s     9.044e-01     9.308e-01    2.638e-02
   83      83.000s     9.033e-01     9.288e-01    2.556e-02
   84      84.000s     9.025e-01     9.268e-01    2.435e-02
   85      85.000s     9.018e-01     9.248e-01    2.300e-02
   86      86.000s     9.009e-01     9.229e-01    2.192e-02
