SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/e3b/joachim/87Rb-CRN/10/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

204 points for Peak 1

Converged after 119 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -6.694e-02     1.071e+00  
T     =       9.585s      119.930s  

RSS   =    1.071e-02
SD    =    7.245e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.002e+00    1.637e-03
    2       2.000s     9.942e-01     9.988e-01    4.583e-03
    3       3.000s     9.913e-01     9.954e-01    4.138e-03
    4       4.000s     9.900e-01     9.916e-01    1.620e-03
    5       5.000s     9.879e-01     9.874e-01   -5.486e-04
    6       6.000s     9.852e-01     9.828e-01   -2.414e-03
    7       7.000s     9.829e-01     9.779e-01   -5.071e-03
    8       8.000s     9.803e-01     9.727e-01   -7.649e-03
    9       9.000s     9.755e-01     9.672e-01   -8.219e-03
   10      10.000s     9.682e-01     9.616e-01   -6.623e-03
   11      11.000s     9.597e-01     9.557e-01   -3.944e-03
   12      12.000s     9.497e-01     9.497e-01    4.137e-05
   13      13.000s     9.377e-01     9.436e-01    5.917e-03
   14      14.000s     9.263e-01     9.373e-01    1.105e-02
   15      15.000s     9.206e-01     9.309e-01    1.036e-02
   16      16.000s     9.219e-01     9.245e-01    2.561e-03
   17      17.000s     9.245e-01     9.180e-01   -6.499e-03
   18      18.000s     9.206e-01     9.114e-01   -9.279e-03
   19      19.000s     9.094e-01     9.047e-01   -4.652e-03
   20      20.000s     8.966e-01     8.980e-01    1.486e-03
   21      21.000s     8.880e-01     8.913e-01    3.364e-03
   22      22.000s     8.837e-01     8.846e-01    9.310e-04
   23      23.000s     8.798e-01     8.779e-01   -1.952e-03
   24      24.000s     8.739e-01     8.712e-01   -2.738e-03
   25      25.000s     8.665e-01     8.644e-01   -2.098e-03
   26      26.000s     8.594e-01     8.577e-01   -1.701e-03
   27      27.000s     8.529e-01     8.510e-01   -1.896e-03
   28      28.000s     8.461e-01     8.443e-01   -1.816e-03
   29      29.000s     8.383e-01     8.376e-01   -7.520e-04
   30      30.000s     8.298e-01     8.309e-01    1.160e-03
   31      31.000s     8.210e-01     8.243e-01    3.291e-03
   32      32.000s     8.126e-01     8.177e-01    5.110e-03
   33      33.000s     8.048e-01     8.111e-01    6.356e-03
   34      34.000s     7.978e-01     8.046e-01    6.775e-03
   35      35.000s     7.921e-01     7.981e-01    5.914e-03
   36      36.000s     7.881e-01     7.916e-01    3.467e-03
   37      37.000s     7.852e-01     7.852e-01   -8.637e-05
   38      38.000s     7.821e-01     7.788e-01   -3.346e-03
   39      39.000s     7.771e-01     7.724e-01   -4.709e-03
   40      40.000s     7.694e-01     7.661e-01   -3.329e-03
   41      41.000s     7.594e-01     7.598e-01    3.972e-04
   42      42.000s     7.486e-01     7.536e-01    5.000e-03
   43      43.000s     7.387e-01     7.474e-01    8.699e-03
   44      44.000s     7.308e-01     7.413e-01    1.049e-02
   45      45.000s     7.245e-01     7.352e-01    1.069e-02
   46      46.000s     7.189e-01     7.292e-01    1.028e-02
   47      47.000s     7.136e-01     7.231e-01    9.524e-03
   48      48.000s     7.092e-01     7.172e-01    7.988e-03
   49      49.000s     7.053e-01     7.113e-01    5.948e-03
   50      50.000s     7.004e-01     7.054e-01    4.975e-03
   51      51.000s     6.933e-01     6.996e-01    6.249e-03
   52      52.000s     6.851e-01     6.938e-01    8.683e-03
   53      53.000s     6.783e-01     6.881e-01    9.800e-03
   54      54.000s     6.739e-01     6.824e-01    8.511e-03
   55      55.000s     6.707e-01     6.767e-01    6.056e-03
   56      56.000s     6.671e-01     6.711e-01    3.992e-03
   57      57.000s     6.632e-01     6.656e-01    2.341e-03
   58      58.000s     6.597e-01     6.601e-01    3.169e-04
   59      59.000s     6.567e-01     6.546e-01   -2.083e-03
   60      60.000s     6.535e-01     6.492e-01   -4.316e-03
   61      61.000s     6.503e-01     6.438e-01   -6.544e-03
   62      62.000s     6.478e-01     6.385e-01   -9.359e-03
   63      63.000s     6.455e-01     6.332e-01   -1.234e-02
   64      64.000s     6.420e-01     6.279e-01   -1.409e-02
   65      65.000s     6.367e-01     6.227e-01   -1.398e-02
   66      66.000s     6.303e-01     6.176e-01   -1.280e-02
   67      67.000s     6.236e-01     6.124e-01   -1.120e-02
   68      68.000s     6.159e-01     6.074e-01   -8.569e-03
   69      69.000s     6.069e-01     6.023e-01   -4.551e-03
   70      70.000s     5.983e-01     5.973e-01   -9.962e-04
   71      71.000s     5.932e-01     5.924e-01   -8.678e-04
   72      72.000s     5.924e-01     5.874e-01   -4.920e-03
   73      73.000s     5.928e-01     5.826e-01   -1.027e-02
   74      74.000s     5.904e-01     5.777e-01   -1.264e-02
   75      75.000s     5.827e-01     5.729e-01   -9.760e-03
   76      76.000s     5.710e-01     5.682e-01   -2.806e-03
   77      77.000s     5.590e-01     5.635e-01    4.488e-03
   78      78.000s     5.510e-01     5.588e-01    7.835e-03
   79      79.000s     5.492e-01     5.542e-01    4.929e-03
   80      80.000s     5.521e-01     5.496e-01   -2.579e-03
   81      81.000s     5.548e-01     5.450e-01   -9.767e-03
   82      82.000s     5.528e-01     5.405e-01   -1.228e-02
   83      83.000s     5.460e-01     5.360e-01   -1.002e-02
   84      84.000s     5.382e-01     5.315e-01   -6.653e-03
   85      85.000s     5.326e-01     5.271e-01   -5.491e-03
   86      86.000s     5.292e-01     5.227e-01   -6.450e-03
   87      87.000s     5.255e-01     5.184e-01   -7.108e-03
   88      88.000s     5.200e-01     5.141e-01   -5.912e-03
   89      89.000s     5.135e-01     5.098e-01   -3.667e-03
   90      90.000s     5.080e-01     5.056e-01   -2.364e-03
   91      91.000s     5.047e-01     5.014e-01   -3.327e-03
   92      92.000s     5.036e-01     4.972e-01   -6.331e-03
   93      93.000s     5.029e-01     4.931e-01   -9.799e-03
   94      94.000s     5.007e-01     4.890e-01   -1.173e-02
   95      95.000s     4.960e-01     4.850e-01   -1.102e-02
   96      96.000s     4.890e-01     4.809e-01   -8.095e-03
   97      97.000s     4.810e-01     4.769e-01   -4.059e-03
   98      98.000s     4.725e-01     4.730e-01    4.935e-04
   99      99.000s     4.639e-01     4.691e-01    5.151e-03
  100     100.000s     4.567e-01     4.652e-01    8.411e-03
  101     101.000s     4.532e-01     4.613e-01    8.140e-03
  102     102.000s     4.534e-01     4.575e-01    4.062e-03
  103     103.000s     4.548e-01     4.537e-01   -1.165e-03
  104     104.000s     4.544e-01     4.499e-01   -4.515e-03
  105     105.000s     4.517e-01     4.462e-01   -5.567e-03
  106     106.000s     4.481e-01     4.425e-01   -5.661e-03
  107     107.000s     4.436e-01     4.388e-01   -4.774e-03
  108     108.000s     4.367e-01     4.351e-01   -1.513e-03
  109     109.000s     4.282e-01     4.315e-01    3.298e-03
  110     110.000s     4.224e-01     4.279e-01    5.531e-03
  111     111.000s     4.221e-01     4.244e-01    2.324e-03
  112     112.000s     4.243e-01     4.209e-01   -3.481e-03
  113     113.000s     4.233e-01     4.174e-01   -5.927e-03
  114     114.000s     4.167e-01     4.139e-01   -2.826e-03
  115     115.000s     4.083e-01     4.105e-01    2.197e-03
  116     116.000s     4.021e-01     4.071e-01    4.945e-03
  117     117.000s     3.981e-01     4.037e-01    5.569e-03
  118     118.000s     3.935e-01     4.003e-01    6.844e-03
  119     119.000s     3.876e-01     3.970e-01    9.372e-03
  120     120.000s     3.829e-01     3.937e-01    1.084e-02
  121     121.000s     3.809e-01     3.904e-01    9.496e-03
  122     122.000s     3.809e-01     3.872e-01    6.331e-03
  123     123.000s     3.804e-01     3.840e-01    3.560e-03
  124     124.000s     3.782e-01     3.808e-01    2.601e-03
  125     125.000s     3.739e-01     3.776e-01    3.774e-03
  126     126.000s     3.680e-01     3.745e-01    6.494e-03
  127     127.000s     3.622e-01     3.714e-01    9.218e-03
  128     128.000s     3.577e-01     3.683e-01    1.056e-02
  129     129.000s     3.542e-01     3.652e-01    1.109e-02
  130     130.000s     3.496e-01     3.622e-01    1.263e-02
  131     131.000s     3.442e-01     3.592e-01    1.496e-02
  132     132.000s     3.414e-01     3.562e-01    1.486e-02
  133     133.000s     3.431e-01     3.533e-01    1.016e-02
  134     134.000s     3.468e-01     3.503e-01    3.510e-03
  135     135.000s     3.476e-01     3.474e-01   -1.571e-04
  136     136.000s     3.440e-01     3.445e-01    5.428e-04
  137     137.000s     3.391e-01     3.417e-01    2.586e-03
  138     138.000s     3.354e-01     3.388e-01    3.477e-03
  139     139.000s     3.318e-01     3.360e-01    4.213e-03
  140     140.000s     3.271e-01     3.332e-01    6.138e-03
  141     141.000s     3.230e-01     3.305e-01    7.478e-03
  142     142.000s     3.222e-01     3.277e-01    5.499e-03
  143     143.000s     3.242e-01     3.250e-01    7.799e-04
  144     144.000s     3.257e-01     3.223e-01   -3.406e-03
  145     145.000s     3.252e-01     3.196e-01   -5.543e-03
  146     146.000s     3.241e-01     3.170e-01   -7.089e-03
  147     147.000s     3.233e-01     3.143e-01   -8.932e-03
  148     148.000s     3.210e-01     3.117e-01   -9.252e-03
  149     149.000s     3.153e-01     3.091e-01   -6.204e-03
  150     150.000s     3.074e-01     3.066e-01   -8.563e-04
  151     151.000s     2.997e-01     3.040e-01    4.290e-03
  152     152.000s     2.931e-01     3.015e-01    8.426e-03
  153     153.000s     2.869e-01     2.990e-01    1.215e-02
  154     154.000s     2.818e-01     2.965e-01    1.476e-02
  155     155.000s     2.799e-01     2.941e-01    1.418e-02
  156     156.000s     2.815e-01     2.916e-01    1.007e-02
  157     157.000s     2.840e-01     2.892e-01    5.239e-03
  158     158.000s     2.838e-01     2.868e-01    2.976e-03
  159     159.000s     2.808e-01     2.844e-01    3.614e-03
  160     160.000s     2.775e-01     2.821e-01    4.537e-03
  161     161.000s     2.766e-01     2.797e-01    3.156e-03
  162     162.000s     2.780e-01     2.774e-01   -6.147e-04
  163     163.000s     2.796e-01     2.751e-01   -4.530e-03
  164     164.000s     2.792e-01     2.728e-01   -6.377e-03
  165     165.000s     2.769e-01     2.705e-01   -6.393e-03
  166     166.000s     2.756e-01     2.683e-01   -7.283e-03
  167     167.000s     2.772e-01     2.661e-01   -1.117e-02
  168     168.000s     2.803e-01     2.638e-01   -1.649e-02
  169     169.000s     2.806e-01     2.617e-01   -1.895e-02
  170     170.000s     2.754e-01     2.595e-01   -1.594e-02
  171     171.000s     2.665e-01     2.573e-01   -9.134e-03
  172     172.000s     2.573e-01     2.552e-01   -2.067e-03
  173     173.000s     2.495e-01     2.531e-01    3.571e-03
  174     174.000s     2.432e-01     2.510e-01    7.780e-03
  175     175.000s     2.393e-01     2.489e-01    9.557e-03
  176     176.000s     2.399e-01     2.468e-01    6.908e-03
  177     177.000s     2.447e-01     2.448e-01    6.821e-05
  178     178.000s     2.501e-01     2.427e-01   -7.339e-03
  179     179.000s     2.524e-01     2.407e-01   -1.165e-02
  180     180.000s     2.512e-01     2.387e-01   -1.243e-02
  181     181.000s     2.480e-01     2.367e-01   -1.123e-02
  182     182.000s     2.430e-01     2.348e-01   -8.176e-03
  183     183.000s     2.349e-01     2.328e-01   -2.116e-03
  184     184.000s     2.247e-01     2.309e-01    6.219e-03
  185     185.000s     2.158e-01     2.290e-01    1.318e-02
  186     186.000s     2.116e-01     2.271e-01    1.544e-02
  187     187.000s     2.121e-01     2.252e-01    1.312e-02
  188     188.000s     2.145e-01     2.233e-01    8.872e-03
  189     189.000s     2.167e-01     2.215e-01    4.732e-03
  190     190.000s     2.186e-01     2.196e-01    9.848e-04
  191     191.000s     2.201e-01     2.178e-01   -2.322e-03
  192     192.000s     2.203e-01     2.160e-01   -4.318e-03
  193     193.000s     2.186e-01     2.142e-01   -4.350e-03
  194     194.000s     2.156e-01     2.124e-01   -3.214e-03
  195     195.000s     2.131e-01     2.107e-01   -2.428e-03
  196     196.000s     2.113e-01     2.089e-01   -2.383e-03
  197     197.000s     2.092e-01     2.072e-01   -2.001e-03
  198     198.000s     2.061e-01     2.055e-01   -6.161e-04
  199     199.000s     2.033e-01     2.038e-01    4.095e-04
  200     200.000s     2.031e-01     2.021e-01   -1.003e-03
  201     201.000s     2.049e-01     2.004e-01   -4.522e-03
  202     202.000s     2.055e-01     1.987e-01   -6.743e-03
  203     203.000s     2.020e-01     1.971e-01   -4.911e-03
  204     204.000s     1.964e-01     1.954e-01   -9.514e-04

============================================================

