SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/e3b/joachim/87Rb-CRN/16/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

363 points for Peak 1

Converged after 168 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    6.726e-01     9.993e-01  
T     =     200.430m      262.253s  

RSS   =    1.588e-02
SD    =    6.615e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.000e+00    5.414e-05
    2       2.000s     9.957e-01     9.917e-01   -3.958e-03
    3       3.000s     9.911e-01     9.879e-01   -3.232e-03
    4       4.000s     9.866e-01     9.842e-01   -2.462e-03
    5       5.000s     9.818e-01     9.804e-01   -1.364e-03
    6       6.000s     9.770e-01     9.767e-01   -3.290e-04
    7       7.000s     9.731e-01     9.730e-01   -1.718e-04
    8       8.000s     9.701e-01     9.693e-01   -8.148e-04
    9       9.000s     9.667e-01     9.656e-01   -1.162e-03
   10      10.000s     9.624e-01     9.619e-01   -5.335e-04
   11      11.000s     9.579e-01     9.582e-01    3.490e-04
   12      12.000s     9.545e-01     9.546e-01    9.178e-05
   13      13.000s     9.530e-01     9.509e-01   -2.012e-03
   14      14.000s     9.527e-01     9.473e-01   -5.411e-03
   15      15.000s     9.523e-01     9.437e-01   -8.610e-03
   16      16.000s     9.501e-01     9.401e-01   -9.946e-03
   17      17.000s     9.453e-01     9.366e-01   -8.730e-03
   18      18.000s     9.391e-01     9.330e-01   -6.101e-03
   19      19.000s     9.337e-01     9.294e-01   -4.275e-03
   20      20.000s     9.303e-01     9.259e-01   -4.384e-03
   21      21.000s     9.277e-01     9.224e-01   -5.362e-03
   22      22.000s     9.244e-01     9.189e-01   -5.508e-03
   23      23.000s     9.201e-01     9.154e-01   -4.743e-03
   24      24.000s     9.163e-01     9.119e-01   -4.431e-03
   25      25.000s     9.135e-01     9.084e-01   -5.090e-03
   26      26.000s     9.105e-01     9.050e-01   -5.531e-03
   27      27.000s     9.063e-01     9.015e-01   -4.790e-03
   28      28.000s     9.020e-01     8.981e-01   -3.878e-03
   29      29.000s     8.992e-01     8.947e-01   -4.505e-03
   30      30.000s     8.977e-01     8.913e-01   -6.477e-03
   31      31.000s     8.955e-01     8.879e-01   -7.655e-03
   32      32.000s     8.912e-01     8.845e-01   -6.693e-03
   33      33.000s     8.859e-01     8.811e-01   -4.775e-03
   34      34.000s     8.818e-01     8.778e-01   -4.010e-03
   35      35.000s     8.792e-01     8.744e-01   -4.801e-03
   36      36.000s     8.768e-01     8.711e-01   -5.675e-03
   37      37.000s     8.732e-01     8.678e-01   -5.415e-03
   38      38.000s     8.689e-01     8.645e-01   -4.435e-03
   39      39.000s     8.651e-01     8.612e-01   -3.881e-03
   40      40.000s     8.620e-01     8.579e-01   -4.121e-03
   41      41.000s     8.592e-01     8.547e-01   -4.591e-03
   42      42.000s     8.561e-01     8.514e-01   -4.696e-03
   43      43.000s     8.524e-01     8.482e-01   -4.260e-03
   44      44.000s     8.482e-01     8.449e-01   -3.244e-03
   45      45.000s     8.433e-01     8.417e-01   -1.612e-03
   46      46.000s     8.382e-01     8.385e-01    2.951e-04
   47      47.000s     8.337e-01     8.353e-01    1.639e-03
   48      48.000s     8.304e-01     8.321e-01    1.710e-03
   49      49.000s     8.283e-01     8.290e-01    6.661e-04
   50      50.000s     8.264e-01     8.258e-01   -5.362e-04
   51      51.000s     8.237e-01     8.227e-01   -1.023e-03
   52      52.000s     8.203e-01     8.195e-01   -7.941e-04
   53      53.000s     8.170e-01     8.164e-01   -6.080e-04
   54      54.000s     8.144e-01     8.133e-01   -1.080e-03
   55      55.000s     8.121e-01     8.102e-01   -1.923e-03
   56      56.000s     8.094e-01     8.071e-01   -2.232e-03
   57      57.000s     8.057e-01     8.041e-01   -1.607e-03
   58      58.000s     8.018e-01     8.010e-01   -8.056e-04
   59      59.000s     7.989e-01     7.980e-01   -9.837e-04
   60      60.000s     7.972e-01     7.949e-01   -2.315e-03
   61      61.000s     7.957e-01     7.919e-01   -3.771e-03
   62      62.000s     7.933e-01     7.889e-01   -4.372e-03
   63      63.000s     7.901e-01     7.859e-01   -4.171e-03
   64      64.000s     7.866e-01     7.829e-01   -3.679e-03
   65      65.000s     7.828e-01     7.799e-01   -2.843e-03
   66      66.000s     7.783e-01     7.769e-01   -1.342e-03
   67      67.000s     7.737e-01     7.740e-01    3.065e-04
   68      68.000s     7.701e-01     7.710e-01    9.212e-04
   69      69.000s     7.679e-01     7.681e-01    2.197e-04
   70      70.000s     7.658e-01     7.652e-01   -6.135e-04
   71      71.000s     7.628e-01     7.623e-01   -4.903e-04
   72      72.000s     7.592e-01     7.594e-01    1.369e-04
   73      73.000s     7.563e-01     7.565e-01    1.752e-04
   74      74.000s     7.539e-01     7.536e-01   -3.365e-04
   75      75.000s     7.512e-01     7.507e-01   -4.900e-04
   76      76.000s     7.482e-01     7.479e-01   -3.303e-04
   77      77.000s     7.461e-01     7.450e-01   -1.031e-03
   78      78.000s     7.451e-01     7.422e-01   -2.884e-03
   79      79.000s     7.438e-01     7.394e-01   -4.413e-03
   80      80.000s     7.409e-01     7.366e-01   -4.385e-03
   81      81.000s     7.375e-01     7.338e-01   -3.700e-03
   82      82.000s     7.350e-01     7.310e-01   -4.040e-03
   83      83.000s     7.334e-01     7.282e-01   -5.252e-03
   84      84.000s     7.310e-01     7.254e-01   -5.593e-03
   85      85.000s     7.271e-01     7.226e-01   -4.460e-03
   86      86.000s     7.232e-01     7.199e-01   -3.272e-03
   87      87.000s     7.203e-01     7.172e-01   -3.189e-03
   88      88.000s     7.178e-01     7.144e-01   -3.387e-03
   89      89.000s     7.142e-01     7.117e-01   -2.541e-03
