SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/e3b/joachim/87Rb-CRN/42/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

936 points for Peak 1

Converged after 10000 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    2.341e+00     1.102e+00  
T     =      29.776m      477.771s  

RSS   =    2.046e+00
SD    =    4.675e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.099e+00    9.929e-02
    2       2.000s     9.983e-01     1.097e+00    9.870e-02
    3       3.000s     9.965e-01     1.095e+00    9.823e-02
    4       4.000s     9.950e-01     1.092e+00    9.743e-02
    5       5.000s     9.938e-01     1.090e+00    9.630e-02
    6       6.000s     9.926e-01     1.088e+00    9.521e-02
    7       7.000s     9.912e-01     1.086e+00    9.441e-02
    8       8.000s     9.896e-01     1.083e+00    9.372e-02
    9       9.000s     9.883e-01     1.081e+00    9.269e-02
   10      10.000s     9.876e-01     1.079e+00    9.118e-02
   11      11.000s     9.870e-01     1.077e+00    8.950e-02
   12      12.000s     9.862e-01     1.074e+00    8.811e-02
   13      13.000s     9.849e-01     1.072e+00    8.709e-02
   14      14.000s     9.837e-01     1.070e+00    8.608e-02
   15      15.000s     9.827e-01     1.068e+00    8.482e-02
   16      16.000s     9.818e-01     1.065e+00    8.353e-02
   17      17.000s     9.805e-01     1.063e+00    8.261e-02
   18      18.000s     9.789e-01     1.061e+00    8.197e-02
   19      19.000s     9.775e-01     1.059e+00    8.111e-02
   20      20.000s     9.766e-01     1.056e+00    7.985e-02
   21      21.000s     9.756e-01     1.054e+00    7.860e-02
   22      22.000s     9.742e-01     1.052e+00    7.786e-02
   23      23.000s     9.724e-01     1.050e+00    7.747e-02
   24      24.000s     9.708e-01     1.048e+00    7.678e-02
   25      25.000s     9.699e-01     1.045e+00    7.556e-02
   26      26.000s     9.690e-01     1.043e+00    7.423e-02
   27      27.000s     9.678e-01     1.041e+00    7.329e-02
   28      28.000s     9.662e-01     1.039e+00    7.273e-02
   29      29.000s     9.646e-01     1.037e+00    7.217e-02
   30      30.000s     9.632e-01     1.035e+00    7.139e-02
   31      31.000s     9.620e-01     1.032e+00    7.038e-02
   32      32.000s     9.610e-01     1.030e+00    6.920e-02
   33      33.000s     9.601e-01     1.028e+00    6.796e-02
   34      34.000s     9.591e-01     1.026e+00    6.681e-02
   35      35.000s     9.579e-01     1.024e+00    6.584e-02
   36      36.000s     9.568e-01     1.022e+00    6.482e-02
   37      37.000s     9.559e-01     1.020e+00    6.357e-02
   38      38.000s     9.551e-01     1.017e+00    6.227e-02
   39      39.000s     9.539e-01     1.015e+00    6.135e-02
   40      40.000s     9.524e-01     1.013e+00    6.077e-02
   41      41.000s     9.511e-01     1.011e+00    5.995e-02
   42      42.000s     9.504e-01     1.009e+00    5.850e-02
   43      43.000s     9.500e-01     1.007e+00    5.683e-02
   44      44.000s     9.491e-01     1.005e+00    5.563e-02
   45      45.000s     9.476e-01     1.003e+00    5.500e-02
   46      46.000s     9.461e-01     1.000e+00    5.441e-02
   47      47.000s     9.449e-01     9.984e-01    5.345e-02
   48      48.000s     9.439e-01     9.963e-01    5.241e-02
   49      49.000s     9.425e-01     9.942e-01    5.174e-02
   50      50.000s     9.407e-01     9.921e-01    5.141e-02
   51      51.000s     9.391e-01     9.901e-01    5.098e-02
   52      52.000s     9.378e-01     9.880e-01    5.016e-02
   53      53.000s     9.368e-01     9.859e-01    4.909e-02
   54      54.000s     9.358e-01     9.839e-01    4.807e-02
   55      55.000s     9.346e-01     9.818e-01    4.718e-02
   56      56.000s     9.334e-01     9.798e-01    4.641e-02
   57      57.000s     9.320e-01     9.777e-01    4.574e-02
   58      58.000s     9.305e-01     9.757e-01    4.516e-02
   59      59.000s     9.291e-01     9.736e-01    4.455e-02
   60      60.000s     9.278e-01     9.716e-01    4.378e-02
   61      61.000s     9.267e-01     9.696e-01    4.289e-02
   62      62.000s     9.255e-01     9.675e-01    4.207e-02
   63      63.000s     9.240e-01     9.655e-01    4.148e-02
   64      64.000s     9.224e-01     9.635e-01    4.110e-02
   65      65.000s     9.208e-01     9.615e-01    4.069e-02
   66      66.000s     9.195e-01     9.595e-01    3.998e-02
   67      67.000s     9.185e-01     9.575e-01    3.891e-02
   68      68.000s     9.177e-01     9.555e-01    3.778e-02
   69      69.000s     9.165e-01     9.535e-01    3.699e-02
   70      70.000s     9.148e-01     9.515e-01    3.663e-02
   71      71.000s     9.132e-01     9.495e-01    3.632e-02
   72      72.000s     9.120e-01     9.475e-01    3.552e-02
   73      73.000s     9.115e-01     9.455e-01    3.402e-02
   74      74.000s     9.115e-01     9.435e-01    3.206e-02
   75      75.000s     9.115e-01     9.416e-01    3.011e-02
   76      76.000s     9.111e-01     9.396e-01    2.849e-02
   77      77.000s     9.103e-01     9.376e-01    2.732e-02
   78      78.000s     9.091e-01     9.357e-01    2.652e-02
   79      79.000s     9.078e-01     9.337e-01    2.592e-02
   80      80.000s     9.064e-01     9.318e-01    2.537e-02
   81      81.000s     9.049e-01     9.298e-01    2.488e-02
   82      82.000s     9.033e-01     9.279e-01    2.460e-02
