SIMFIT RESULTS
==============

Dataset : /opt/topspin3.5pl6/data/e3b/joachim/87Rb-CRN/9/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

387 points for Peak 1

Converged after 378 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -3.086e-01     1.312e+00  
T     =      90.024s      203.373s  

RSS   =    2.120e-03
SD    =    2.341e-03

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.000e+00    3.508e-04
    2       2.000s     9.973e-01     9.973e-01    5.233e-05
    3       3.000s     9.943e-01     9.943e-01    1.374e-05
    4       4.000s     9.908e-01     9.912e-01    4.719e-04
    5       5.000s     9.864e-01     9.882e-01    1.800e-03
    6       6.000s     9.817e-01     9.851e-01    3.454e-03
    7       7.000s     9.780e-01     9.821e-01    4.083e-03
    8       8.000s     9.760e-01     9.790e-01    3.019e-03
    9       9.000s     9.749e-01     9.759e-01    1.049e-03
   10      10.000s     9.736e-01     9.729e-01   -7.333e-04
   11      11.000s     9.720e-01     9.698e-01   -2.231e-03
   12      12.000s     9.706e-01     9.667e-01   -3.848e-03
   13      13.000s     9.688e-01     9.636e-01   -5.180e-03
   14      14.000s     9.657e-01     9.605e-01   -5.182e-03
   15      15.000s     9.611e-01     9.575e-01   -3.631e-03
   16      16.000s     9.559e-01     9.544e-01   -1.559e-03
   17      17.000s     9.513e-01     9.513e-01   -2.751e-05
   18      18.000s     9.474e-01     9.482e-01    7.803e-04
   19      19.000s     9.441e-01     9.451e-01    9.804e-04
   20      20.000s     9.416e-01     9.420e-01    3.832e-04
   21      21.000s     9.398e-01     9.389e-01   -9.092e-04
   22      22.000s     9.378e-01     9.358e-01   -2.003e-03
   23      23.000s     9.349e-01     9.327e-01   -2.188e-03
   24      24.000s     9.315e-01     9.296e-01   -1.975e-03
   25      25.000s     9.287e-01     9.265e-01   -2.223e-03
   26      26.000s     9.258e-01     9.233e-01   -2.500e-03
   27      27.000s     9.218e-01     9.202e-01   -1.525e-03
   28      28.000s     9.164e-01     9.171e-01    7.337e-04
   29      29.000s     9.113e-01     9.140e-01    2.685e-03
   30      30.000s     9.076e-01     9.109e-01    3.318e-03
   31      31.000s     9.043e-01     9.078e-01    3.533e-03
   32      32.000s     9.003e-01     9.047e-01    4.352e-03
   33      33.000s     8.967e-01     9.016e-01    4.894e-03
   34      34.000s     8.948e-01     8.985e-01    3.633e-03
   35      35.000s     8.942e-01     8.954e-01    1.136e-03
   36      36.000s     8.925e-01     8.923e-01   -2.041e-04
   37      37.000s     8.885e-01     8.891e-01    6.423e-04
   38      38.000s     8.840e-01     8.860e-01    1.998e-03
   39      39.000s     8.810e-01     8.829e-01    1.977e-03
   40      40.000s     8.789e-01     8.798e-01    9.393e-04
   41      41.000s     8.764e-01     8.767e-01    3.622e-04
   42      42.000s     8.733e-01     8.736e-01    3.208e-04
   43      43.000s     8.709e-01     8.705e-01   -3.420e-04
   44      44.000s     8.692e-01     8.674e-01   -1.768e-03
   45      45.000s     8.670e-01     8.644e-01   -2.643e-03
   46      46.000s     8.635e-01     8.613e-01   -2.221e-03
   47      47.000s     8.596e-01     8.582e-01   -1.410e-03
   48      48.000s     8.564e-01     8.551e-01   -1.286e-03
   49      49.000s     8.536e-01     8.520e-01   -1.604e-03
   50      50.000s     8.505e-01     8.489e-01   -1.576e-03
   51      51.000s     8.471e-01     8.459e-01   -1.276e-03
   52      52.000s     8.441e-01     8.428e-01   -1.300e-03
   53      53.000s     8.413e-01     8.397e-01   -1.587e-03
   54      54.000s     8.383e-01     8.366e-01   -1.631e-03
   55      55.000s     8.351e-01     8.336e-01   -1.564e-03
   56      56.000s     8.324e-01     8.305e-01   -1.885e-03
   57      57.000s     8.296e-01     8.275e-01   -2.137e-03
   58      58.000s     8.255e-01     8.244e-01   -1.092e-03
   59      59.000s     8.201e-01     8.214e-01    1.303e-03
   60      60.000s     8.151e-01     8.183e-01    3.191e-03
   61      61.000s     8.124e-01     8.153e-01    2.841e-03
   62      62.000s     8.115e-01     8.122e-01    7.865e-04
   63      63.000s     8.101e-01     8.092e-01   -9.136e-04
   64      64.000s     8.074e-01     8.062e-01   -1.168e-03
   65      65.000s     8.038e-01     8.032e-01   -6.660e-04
   66      66.000s     8.005e-01     8.001e-01   -3.739e-04
   67      67.000s     7.974e-01     7.971e-01   -2.965e-04
   68      68.000s     7.942e-01     7.941e-01   -7.286e-05
   69      69.000s     7.910e-01     7.911e-01    1.195e-04
   70      70.000s     7.881e-01     7.881e-01    2.326e-05
   71      71.000s     7.849e-01     7.851e-01    2.255e-04
   72      72.000s     7.804e-01     7.821e-01    1.741e-03
   73      73.000s     7.746e-01     7.791e-01    4.559e-03
   74      74.000s     7.690e-01     7.762e-01    7.201e-03
   75      75.000s     7.651e-01     7.732e-01    8.073e-03
   76      76.000s     7.632e-01     7.702e-01    7.038e-03
   77      77.000s     7.619e-01     7.673e-01    5.345e-03
   78      78.000s     7.602e-01     7.643e-01    4.098e-03
   79      79.000s     7.582e-01     7.614e-01    3.155e-03
   80      80.000s     7.567e-01     7.584e-01    1.717e-03
   81      81.000s     7.557e-01     7.555e-01   -2.168e-04
   82      82.000s     7.540e-01     7.525e-01   -1.484e-03
   83      83.000s     7.507e-01     7.496e-01   -1.128e-03
   84      84.000s     7.465e-01     7.467e-01    1.921e-04
   85      85.000s     7.430e-01     7.438e-01    7.498e-04
   86      86.000s     7.410e-01     7.409e-01   -1.822e-04
   87      87.000s     7.394e-01     7.379e-01   -1.413e-03
   88      88.000s     7.365e-01     7.350e-01   -1.426e-03
   89      89.000s     7.326e-01     7.322e-01   -4.809e-04
   90      90.000s     7.296e-01     7.293e-01   -3.752e-04
   91      91.000s     7.285e-01     7.264e-01   -2.089e-03
   92      92.000s     7.279e-01     7.235e-01   -4.400e-03
   93      93.000s     7.259e-01     7.207e-01   -5.258e-03
   94      94.000s     7.219e-01     7.178e-01   -4.131e-03
   95      95.000s     7.174e-01     7.149e-01   -2.447e-03
   96      96.000s     7.140e-01     7.121e-01   -1.875e-03
   97      97.000s     7.119e-01     7.092e-01   -2.662e-03
   98      98.000s     7.101e-01     7.064e-01   -3.699e-03
   99      99.000s     7.074e-01     7.036e-01   -3.818e-03
  100     100.000s     7.036e-01     7.008e-01   -2.804e-03
  101     101.000s     6.993e-01     6.980e-01   -1.365e-03
  102     102.000s     6.955e-01     6.952e-01   -3.522e-04
  103     103.000s     6.924e-01     6.924e-01    5.250e-07
  104     104.000s     6.894e-01     6.896e-01    1.157e-04
  105     105.000s     6.864e-01     6.868e-01    3.717e-04
  106     106.000s     6.835e-01     6.840e-01    5.007e-04
  107     107.000s     6.813e-01     6.812e-01   -5.540e-05
  108     108.000s     6.797e-01     6.785e-01   -1.206e-03
  109     109.000s     6.777e-01     6.757e-01   -2.021e-03
  110     110.000s     6.747e-01     6.730e-01   -1.737e-03
  111     111.000s     6.709e-01     6.702e-01   -7.256e-04
  112     112.000s     6.676e-01     6.675e-01   -7.769e-05
  113     113.000s     6.651e-01     6.647e-01   -3.067e-04
  114     114.000s     6.629e-01     6.620e-01   -8.520e-04
  115     115.000s     6.603e-01     6.593e-01   -9.653e-04
  116     116.000s     6.573e-01     6.566e-01   -7.130e-04
  117     117.000s     6.547e-01     6.539e-01   -7.949e-04
  118     118.000s     6.528e-01     6.512e-01   -1.536e-03
  119     119.000s     6.510e-01     6.485e-01   -2.418e-03
  120     120.000s     6.485e-01     6.459e-01   -2.664e-03
  121     121.000s     6.452e-01     6.432e-01   -2.047e-03
  122     122.000s     6.415e-01     6.405e-01   -9.715e-04
  123     123.000s     6.378e-01     6.379e-01    7.222e-05
  124     124.000s     6.343e-01     6.352e-01    9.057e-04
  125     125.000s     6.311e-01     6.326e-01    1.503e-03
  126     126.000s     6.283e-01     6.300e-01    1.684e-03
  127     127.000s     6.261e-01     6.273e-01    1.197e-03
  128     128.000s     6.246e-01     6.247e-01    1.499e-04
  129     129.000s     6.229e-01     6.221e-01   -7.793e-04
  130     130.000s     6.202e-01     6.195e-01   -7.056e-04
  131     131.000s     6.162e-01     6.169e-01    7.595e-04
  132     132.000s     6.113e-01     6.143e-01    3.043e-03
  133     133.000s     6.070e-01     6.118e-01    4.806e-03
  134     134.000s     6.044e-01     6.092e-01    4.809e-03
  135     135.000s     6.037e-01     6.066e-01    2.942e-03
  136     136.000s     6.035e-01     6.041e-01    5.441e-04
  137     137.000s     6.022e-01     6.015e-01   -6.048e-04
  138     138.000s     5.990e-01     5.990e-01    4.939e-05
  139     139.000s     5.953e-01     5.965e-01    1.219e-03
  140     140.000s     5.928e-01     5.940e-01    1.131e-03
  141     141.000s     5.919e-01     5.914e-01   -4.909e-04
  142     142.000s     5.911e-01     5.889e-01   -2.119e-03
  143     143.000s     5.886e-01     5.864e-01   -2.168e-03
  144     144.000s     5.846e-01     5.840e-01   -6.621e-04
  145     145.000s     5.804e-01     5.815e-01    1.053e-03
  146     146.000s     5.771e-01     5.790e-01    1.854e-03
  147     147.000s     5.749e-01     5.765e-01    1.642e-03
  148     148.000s     5.732e-01     5.741e-01    8.835e-04
  149     149.000s     5.716e-01     5.716e-01    3.415e-05
  150     150.000s     5.697e-01     5.692e-01   -4.994e-04
  151     151.000s     5.672e-01     5.668e-01   -4.408e-04
  152     152.000s     5.643e-01     5.643e-01    7.332e-06
  153     153.000s     5.616e-01     5.619e-01    3.256e-04
  154     154.000s     5.590e-01     5.595e-01    5.033e-04
  155     155.000s     5.559e-01     5.571e-01    1.245e-03
  156     156.000s     5.519e-01     5.547e-01    2.845e-03
  157     157.000s     5.481e-01     5.523e-01    4.226e-03
  158     158.000s     5.460e-01     5.499e-01    3.896e-03
  159     159.000s     5.457e-01     5.476e-01    1.862e-03
  160     160.000s     5.454e-01     5.452e-01   -1.530e-04
  161     161.000s     5.435e-01     5.429e-01   -6.618e-04
  162     162.000s     5.405e-01     5.405e-01    3.311e-05
  163     163.000s     5.375e-01     5.382e-01    6.551e-04
  164     164.000s     5.351e-01     5.358e-01    7.851e-04
  165     165.000s     5.324e-01     5.335e-01    1.162e-03
  166     166.000s     5.289e-01     5.312e-01    2.317e-03
  167     167.000s     5.253e-01     5.289e-01    3.617e-03
  168     168.000s     5.227e-01     5.266e-01    3.884e-03
  169     169.000s     5.217e-01     5.243e-01    2.608e-03
  170     170.000s     5.217e-01     5.220e-01    3.544e-04
  171     171.000s     5.215e-01     5.198e-01   -1.770e-03
  172     172.000s     5.204e-01     5.175e-01   -2.947e-03
  173     173.000s     5.184e-01     5.152e-01   -3.177e-03
  174     174.000s     5.161e-01     5.130e-01   -3.122e-03
  175     175.000s     5.140e-01     5.107e-01   -3.288e-03
  176     176.000s     5.119e-01     5.085e-01   -3.398e-03
  177     177.000s     5.092e-01     5.063e-01   -2.875e-03
  178     178.000s     5.059e-01     5.041e-01   -1.851e-03
  179     179.000s     5.030e-01     5.019e-01   -1.174e-03
  180     180.000s     5.009e-01     4.997e-01   -1.203e-03
  181     181.000s     4.987e-01     4.975e-01   -1.233e-03
  182     182.000s     4.958e-01     4.953e-01   -5.524e-04
  183     183.000s     4.927e-01     4.931e-01    4.144e-04
  184     184.000s     4.902e-01     4.909e-01    7.535e-04
  185     185.000s     4.882e-01     4.888e-01    5.222e-04
  186     186.000s     4.860e-01     4.866e-01    6.348e-04
