# Messungs_ID Temperature[K] Phase[degree] a a_error gamma gamma_error x0 x0_error
3 320.0 0.45644432736 66746593047.9 5182.08835124 17485.6662959 0.00192001751353 -11105.2999075 0.00135677404934
4 340.0 0.40231178367 53505297629.1 4971.29932879 16096.4519166 0.00211514546705 -10962.1926659 0.00149487301118
5 350.0 -0.240107056484 29380782290.8 4734.05216285 14600.0585567 0.0033270240564 -10677.8009017 0.00235166674515
6 350.0 -0.196339605554 29313091848.7 4716.03624107 14489.2233378 0.00329681098209 -10638.3907724 0.00233033090497
7 360.0 1.05303940964e-05 1.4566787207e+12 3789.88117905 9361.67620082 3.44456680919e-05 -16299.1545564 2.43542719839e-05
8 360.0 -1.05675574571e-05 1.45561754258e+12 3800.50161044 9414.17968603 3.47612664462e-05 -16358.7769736 2.45773680441e-05
9 360.0 -1.05645720552e-05 1.45578494791e+12 3800.14526973 9412.41108504 3.47474887427e-05 -16440.8884365 2.45676272972e-05
10 370.0 -3.76439406381e-06 2.64001581278e+12 2453.84777055 3925.2744233 5.15972040426e-06 -18296.8092391 3.64844540442e-06
11 380.0 4.39511774662e-06 2.32476453128e+12 2522.59421356 4148.27933536 6.36578280202e-06 -17074.9251078 4.50124777635e-06
16 390.0 1.20798431905e-05 1.06362361051e+12 3172.9637779 6562.71283954 2.76870763493e-05 -14925.7415877 1.95770299539e-05
19 375.0 3.67609718717e-06 2.57873388833e+12 2340.38933717 3570.68811139 4.58298840943e-06 -17833.4988991 3.2406435573e-06
22 385.0 -7.70906603812e-06 1.49482677431e+12 2845.46860299 5278.04345617 1.42086234822e-05 -16074.9504015 1.00468292053e-05
27 365.0 6.70043296672e-06 1.77914394141e+12 2943.47536448 5647.8539425 1.32144427395e-05 -17874.9519231 9.34381016407e-06
32 355.0 -9.83951646591e-06 1.85149128016e+12 4503.37424079 13214.0585671 4.54549726481e-05 -12345.9474803 3.21324071794e-05
37 345.0 -3.99019079136e-06 4.89088603734e+12 4853.00548168 15341.3258281 2.15288474631e-05 -10721.3785792 1.52164854942e-05
42 330.0 2.87150174661e-06 7.12462320989e+12 5100.57156625 16941.4968724 1.71535969413e-05 -11085.756305 1.2122239993e-05
45 335.0 3.05921311691e-06 6.58534935922e+12 5013.04139051 16366.9027557 1.76209988427e-05 -10377.4824163 1.2453276114e-05
48 320.0 2.72405713377e-06 7.60529290255e+12 5164.32556191 17366.2243057 1.66783105089e-05 -11045.9254732 1.17858284683e-05
51 310.0 -1.05018158035e-05 1.99473868105e+12 5244.60634512 17908.8800016 6.65948326365e-05 -12405.3368656 4.70566737063e-05
55 340.0 -8.07347668863e-07 2.44938888474e+13 4926.21892577 15806.3327727 4.49600218144e-06 -10903.1387148 3.17762188903e-06
