# t_m M M/M0 (M-M1)/M0
1.000000000000000082e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.015521127634569068e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.031283160672184683e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.047289838236359523e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.063544957486011146e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.080052374516253993e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.096816005273138056e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.113839826482620568e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.131127876593921339e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.148684256737554795e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.166513131698196108e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.184618730902684818e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.203005349423324184e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.221677348996793032e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.240639159058831744e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.259895277795028468e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.279450273207873449e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.299308784200417238e-05 1.620227939277903060e+05 4.878622208141120686e-01 1.000000000000000000e+00
1.319475521676705910e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.339955269659339733e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.360752886424333165e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.381873305653633617e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.403321537605484669e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.425102670302999301e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.447221870741134408e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.469684386112447426e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.492495545051829036e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.515660758900604291e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.539185522990205290e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.563075417945817392e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.587336111010208536e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.611973357388158737e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.636993001611702035e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.662400978926613715e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.688203316700362703e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.714406135851971963e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.741015652304015246e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.768038178457208620e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.795480124687830550e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.823348000868442158e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.851648417912153989e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.880388089340916658e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.909573832878096617e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.939212572065831012e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.969311337907421862e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
1.999877270535286910e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
2.030917620904734816e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
2.062439752514092561e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
2.094451143151468647e-05 1.620227939277902478e+05 4.878622208141119021e-01 9.999999999999997780e-01
2.126959386668691833e-05 1.620227939277901896e+05 4.878622208141117356e-01 9.999999999999996669e-01
2.159972194782717103e-05 1.620227939277901896e+05 4.878622208141117356e-01 9.999999999999996669e-01
2.193497398905059966e-05 1.620227939277901896e+05 4.878622208141117356e-01 9.999999999999996669e-01
2.227542951999556551e-05 1.620227939277901896e+05 4.878622208141117356e-01 9.999999999999996669e-01
2.262116930469026491e-05 1.620227939277901896e+05 4.878622208141117356e-01 9.999999999999996669e-01
2.297227536071151343e-05 1.620227939277901896e+05 4.878622208141117356e-01 9.999999999999996669e-01
2.332883097864158392e-05 1.620227939277901896e+05 4.878622208141117356e-01 9.999999999999996669e-01
2.369092074182632066e-05 1.620227939277901314e+05 4.878622208141115690e-01 9.999999999999994449e-01
2.405863054644066888e-05 1.620227939277901314e+05 4.878622208141115690e-01 9.999999999999994449e-01
2.443204762186486879e-05 1.620227939277901314e+05 4.878622208141115690e-01 9.999999999999994449e-01
2.481126055137770437e-05 1.620227939277901314e+05 4.878622208141115690e-01 9.999999999999994449e-01
2.519635929317013366e-05 1.620227939277901314e+05 4.878622208141115690e-01 9.999999999999994449e-01
2.558743520168589098e-05 1.620227939277901314e+05 4.878622208141115690e-01 9.999999999999994449e-01
2.598458104929247240e-05 1.620227939277901314e+05 4.878622208141115690e-01 9.999999999999994449e-01
2.638789104828934555e-05 1.620227939277901314e+05 4.878622208141115690e-01 9.999999999999994449e-01
2.679746087325689358e-05 1.620227939277901314e+05 4.878622208141115690e-01 9.999999999999994449e-01
2.721338768375308650e-05 1.620227939277900732e+05 4.878622208141113470e-01 9.999999999999993339e-01
2.763577014736157294e-05 1.620227939277900732e+05 4.878622208141113470e-01 9.999999999999993339e-01
2.806470846309838869e-05 1.620227939277900732e+05 4.878622208141113470e-01 9.999999999999993339e-01
2.850030438518105311e-05 1.620227939277900732e+05 4.878622208141113470e-01 9.999999999999993339e-01
2.894266124716751731e-05 1.620227939277900732e+05 4.878622208141113470e-01 9.999999999999993339e-01
2.939188398646884365e-05 1.620227939277900732e+05 4.878622208141113470e-01 9.999999999999993339e-01
2.984807916924327366e-05 1.620227939277900150e+05 4.878622208141111805e-01 9.999999999999991118e-01
3.031135501567576034e-05 1.620227939277900150e+05 4.878622208141111805e-01 9.999999999999991118e-01
3.078182142565080156e-05 1.620227939277899568e+05 4.878622208141110139e-01 9.999999999999990008e-01
3.125959000482277588e-05 1.620227939277899568e+05 4.878622208141110139e-01 9.999999999999990008e-01
3.174477409109193257e-05 1.620227939277899568e+05 4.878622208141110139e-01 9.999999999999990008e-01
3.223748878149026770e-05 1.620227939277899568e+05 4.878622208141110139e-01 9.999999999999990008e-01
3.273785095948577347e-05 1.620227939277898986e+05 4.878622208141108474e-01 9.999999999999987788e-01
3.324597932270938416e-05 1.620227939277898986e+05 4.878622208141108474e-01 9.999999999999987788e-01
3.376199441111340057e-05 1.620227939277898404e+05 4.878622208141106809e-01 9.999999999999985567e-01
3.428601863556583155e-05 1.620227939277898404e+05 4.878622208141106809e-01 9.999999999999985567e-01
3.481817630688966499e-05 1.620227939277898404e+05 4.878622208141106809e-01 9.999999999999985567e-01
3.535859366535175748e-05 1.620227939277897822e+05 4.878622208141105143e-01 9.999999999999984457e-01
3.590739891061055147e-05 1.620227939277897240e+05 4.878622208141103478e-01 9.999999999999982236e-01
3.646472223212745157e-05 1.620227939277897240e+05 4.878622208141103478e-01 9.999999999999982236e-01
3.703069584005140764e-05 1.620227939277897240e+05 4.878622208141103478e-01 9.999999999999982236e-01
3.760545399658167846e-05 1.620227939277896658e+05 4.878622208141101257e-01 9.999999999999981126e-01
3.818913304781854058e-05 1.620227939277896658e+05 4.878622208141101257e-01 9.999999999999981126e-01
3.878187145610719399e-05 1.620227939277896076e+05 4.878622208141099592e-01 9.999999999999978906e-01
3.938380983288488669e-05 1.620227939277895493e+05 4.878622208141097927e-01 9.999999999999976685e-01
3.999509097203669263e-05 1.620227939277895493e+05 4.878622208141097927e-01 9.999999999999976685e-01
4.061585988376979588e-05 1.620227939277894911e+05 4.878622208141096261e-01 9.999999999999975575e-01
4.124626382901347725e-05 1.620227939277894329e+05 4.878622208141094596e-01 9.999999999999973355e-01
4.188645235435271141e-05 1.620227939277893747e+05 4.878622208141092931e-01 9.999999999999972244e-01
4.253657732750391928e-05 1.620227939277893747e+05 4.878622208141092931e-01 9.999999999999972244e-01
4.319679297334173899e-05 1.620227939277893165e+05 4.878622208141090710e-01 9.999999999999970024e-01
4.386725591048494039e-05 1.620227939277892583e+05 4.878622208141089045e-01 9.999999999999968914e-01
4.454812518844988536e-05 1.620227939277892001e+05 4.878622208141087380e-01 9.999999999999966693e-01
4.523956232538058048e-05 1.620227939277891419e+05 4.878622208141085714e-01 9.999999999999964473e-01
4.594173134636476128e-05 1.620227939277890255e+05 4.878622208141082384e-01 9.999999999999961142e-01
4.665479882234468170e-05 1.620227939277890255e+05 4.878622208141082384e-01 9.999999999999961142e-01
4.737893390963143824e-05 1.620227939277889673e+05 4.878622208141080163e-01 9.999999999999960032e-01
4.811430839003264084e-05 1.620227939277888509e+05 4.878622208141076833e-01 9.999999999999956701e-01
4.886109671160326288e-05 1.620227939277887926e+05 4.878622208141075167e-01 9.999999999999954481e-01
4.961947603002898075e-05 1.620227939277887344e+05 4.878622208141073502e-01 9.999999999999952260e-01
5.038962625065150348e-05 1.620227939277886180e+05 4.878622208141070171e-01 9.999999999999948930e-01
5.117173007114609744e-05 1.620227939277885598e+05 4.878622208141067951e-01 9.999999999999947820e-01
5.196597302486197180e-05 1.620227939277884434e+05 4.878622208141064620e-01 9.999999999999943379e-01
5.277254352483532347e-05 1.620227939277883270e+05 4.878622208141061289e-01 9.999999999999940048e-01
5.359163290848514475e-05 1.620227939277882688e+05 4.878622208141059624e-01 9.999999999999938938e-01
5.442343548300271707e-05 1.620227939277881524e+05 4.878622208141055738e-01 9.999999999999935607e-01
5.526814857144603271e-05 1.620227939277880359e+05 4.878622208141052408e-01 9.999999999999931166e-01
5.612597255954966110e-05 1.620227939277878613e+05 4.878622208141046857e-01 9.999999999999926725e-01
5.699711094326075290e-05 1.620227939277877449e+05 4.878622208141043526e-01 9.999999999999923395e-01
5.788177037701280284e-05 1.620227939277876285e+05 4.878622208141040195e-01 9.999999999999918954e-01
5.878016072274911818e-05 1.620227939277874539e+05 4.878622208141034644e-01 9.999999999999914513e-01
5.969249509970739695e-05 1.620227939277873375e+05 4.878622208141031313e-01 9.999999999999910072e-01
6.061898993497572295e-05 1.620227939277871628e+05 4.878622208141026317e-01 9.999999999999905631e-01
6.155986501483513579e-05 1.620227939277869882e+05 4.878622208141020766e-01 9.999999999999900080e-01
6.251534353689711088e-05 1.620227939277868136e+05 4.878622208141015770e-01 9.999999999999894529e-01
6.348565216305223269e-05 1.620227939277866390e+05 4.878622208141010219e-01 9.999999999999890088e-01
6.447102107323869429e-05 1.620227939277864061e+05 4.878622208141003558e-01 9.999999999999882316e-01
6.547168402004742828e-05 1.620227939277862315e+05 4.878622208140998007e-01 9.999999999999876765e-01
6.648787838417262398e-05 1.620227939277860569e+05 4.878622208140993011e-01 9.999999999999872324e-01
6.751984523072507988e-05 1.620227939277858241e+05 4.878622208140985794e-01 9.999999999999864553e-01
6.856782936641737654e-05 1.620227939277855330e+05 4.878622208140976912e-01 9.999999999999856781e-01
6.963207939763889495e-05 1.620227939277853002e+05 4.878622208140970251e-01 9.999999999999849010e-01
7.071284778942996368e-05 1.620227939277850091e+05 4.878622208140961369e-01 9.999999999999840128e-01
7.181039092537356639e-05 1.620227939277847763e+05 4.878622208140954153e-01 9.999999999999833467e-01
7.292496916841444870e-05 1.620227939277844853e+05 4.878622208140945271e-01 9.999999999999824585e-01
7.405684692262442192e-05 1.620227939277841360e+05 4.878622208140934724e-01 9.999999999999814593e-01
7.520629269592406859e-05 1.620227939277838450e+05 4.878622208140926397e-01 9.999999999999805711e-01
7.637357916378027063e-05 1.620227939277834957e+05 4.878622208140915850e-01 9.999999999999794609e-01
7.755898323389002265e-05 1.620227939277830883e+05 4.878622208140903638e-01 9.999999999999782396e-01
7.876278611187062886e-05 1.620227939277827390e+05 4.878622208140893091e-01 9.999999999999772404e-01
7.998527336796708482e-05 1.620227939277823316e+05 4.878622208140880878e-01 9.999999999999760192e-01
8.122673500479720343e-05 1.620227939277819241e+05 4.878622208140868111e-01 9.999999999999747979e-01
8.248746552614581479e-05 1.620227939277815167e+05 4.878622208140855898e-01 9.999999999999735767e-01
8.376776400682923638e-05 1.620227939277809928e+05 4.878622208140840355e-01 9.999999999999719114e-01
8.506793416364153294e-05 1.620227939277805272e+05 4.878622208140826477e-01 9.999999999999705791e-01
8.638828442740453491e-05 1.620227939277800033e+05 4.878622208140810379e-01 9.999999999999690248e-01
8.772912801613356863e-05 1.620227939277794212e+05 4.878622208140793171e-01 9.999999999999672484e-01
8.909078300934142260e-05 1.620227939277788973e+05 4.878622208140777072e-01 9.999999999999656941e-01
9.047357242349293694e-05 1.620227939277782571e+05 4.878622208140758199e-01 9.999999999999636957e-01
9.187782428863340426e-05 1.620227939277776168e+05 4.878622208140738770e-01 9.999999999999618083e-01
9.330387172620360271e-05 1.620227939277769765e+05 4.878622208140719341e-01 9.999999999999598099e-01
9.475205302806547630e-05 1.620227939277762198e+05 4.878622208140696581e-01 9.999999999999575895e-01
9.622271173675135095e-05 1.620227939277754631e+05 4.878622208140673822e-01 9.999999999999552580e-01
9.771619672696181254e-05 1.620227939277747064e+05 4.878622208140651062e-01 9.999999999999530376e-01
9.923286228832544731e-05 1.620227939277738333e+05 4.878622208140624972e-01 9.999999999999503730e-01
1.007730682094461807e-04 1.620227939277730184e+05 4.878622208140599992e-01 9.999999999999479305e-01
1.023371798632519164e-04 1.620227939277720870e+05 4.878622208140572236e-01 9.999999999999451550e-01
1.039255682936713091e-04 1.620227939277711557e+05 4.878622208140543925e-01 9.999999999999423794e-01
1.055386103036522926e-04 1.620227939277701080e+05 4.878622208140512284e-01 9.999999999999391598e-01
1.071766885445503333e-04 1.620227939277690602e+05 4.878622208140481198e-01 9.999999999999360512e-01
1.088401916069005473e-04 1.620227939277678961e+05 4.878622208140446226e-01 9.999999999999324984e-01
1.105295141126022064e-04 1.620227939277667319e+05 4.878622208140410699e-01 9.999999999999290567e-01
1.122450568085305836e-04 1.620227939277654514e+05 4.878622208140372396e-01 9.999999999999251710e-01
1.139872266616052477e-04 1.620227939277641126e+05 4.878622208140331873e-01 9.999999999999211742e-01
1.157564369553303518e-04 1.620227939277627156e+05 4.878622208140289684e-01 9.999999999999169553e-01
1.175531073878369897e-04 1.620227939277612604e+05 4.878622208140246386e-01 9.999999999999125144e-01
1.193776641714435703e-04 1.620227939277597470e+05 4.878622208140200311e-01 9.999999999999079625e-01
1.212305401337652864e-04 1.620227939277581172e+05 4.878622208140151462e-01 9.999999999999030775e-01
1.231121748203889692e-04 1.620227939277563710e+05 4.878622208140098726e-01 9.999999999998978595e-01
1.250230145991456081e-04 1.620227939277546247e+05 4.878622208140046546e-01 9.999999999998925304e-01
1.269635127659972894e-04 1.620227939277527039e+05 4.878622208139988259e-01 9.999999999998867573e-01
1.289341296525715658e-04 1.620227939277507248e+05 4.878622208139928862e-01 9.999999999998808731e-01
1.309353327353609577e-04 1.620227939277486294e+05 4.878622208139865579e-01 9.999999999998745448e-01
1.329675967466212771e-04 1.620227939277464175e+05 4.878622208139798966e-01 9.999999999998678835e-01
1.350314037869872197e-04 1.620227939277440892e+05 4.878622208139729022e-01 9.999999999998608891e-01
1.371272434398400808e-04 1.620227939277415862e+05 4.878622208139653527e-01 9.999999999998533395e-01
1.392556128874461918e-04 1.620227939277390251e+05 4.878622208139576366e-01 9.999999999998455680e-01
1.414170170289023951e-04 1.620227939277362893e+05 4.878622208139494210e-01 9.999999999998373523e-01
1.436119685999077229e-04 1.620227939277334372e+05 4.878622208139408167e-01 9.999999999998288036e-01
1.458409882943986291e-04 1.620227939277304104e+05 4.878622208139317129e-01 9.999999999998196998e-01
1.481046048880673999e-04 1.620227939277272089e+05 4.878622208139221095e-01 9.999999999998100408e-01
1.504033553638025288e-04 1.620227939277238911e+05 4.878622208139121175e-01 9.999999999998000488e-01
1.527377850390712502e-04 1.620227939277203404e+05 4.878622208139014038e-01 9.999999999997892797e-01
1.551084476952840495e-04 1.620227939277166151e+05 4.878622208138901906e-01 9.999999999997780664e-01
1.575159057091621274e-04 1.620227939277127152e+05 4.878622208138784222e-01 9.999999999997664091e-01
1.599607301861487752e-04 1.620227939277085825e+05 4.878622208138659877e-01 9.999999999997539746e-01
1.624435010958866980e-04 1.620227939277042751e+05 4.878622208138530536e-01 9.999999999997409850e-01
1.649648074098020775e-04 1.620227939276996767e+05 4.878622208138391758e-01 9.999999999997271072e-01
1.675252472408215586e-04 1.620227939276948455e+05 4.878622208138246319e-01 9.999999999997125633e-01
1.701254279852589153e-04 1.620227939276897814e+05 4.878622208138093663e-01 9.999999999996973532e-01
1.727659664669036485e-04 1.620227939276844263e+05 4.878622208137932681e-01 9.999999999996811439e-01
1.754474890833459687e-04 1.620227939276788384e+05 4.878622208137764482e-01 9.999999999996643796e-01
1.781706319545730730e-04 1.620227939276729012e+05 4.878622208137585736e-01 9.999999999996465050e-01
1.809360410738716568e-04 1.620227939276666730e+05 4.878622208137398109e-01 9.999999999996277422e-01
1.837443724610726800e-04 1.620227939276600955e+05 4.878622208137199934e-01 9.999999999996079803e-01
1.865962923181746036e-04 1.620227939276531688e+05 4.878622208136991212e-01 9.999999999995871081e-01
1.894924771873821728e-04 1.620227939276458928e+05 4.878622208136772498e-01 9.999999999995651256e-01
1.924336141115979919e-04 1.620227939276382676e+05 4.878622208136542682e-01 9.999999999995422550e-01
1.954204007974053514e-04 1.620227939276301768e+05 4.878622208136298988e-01 9.999999999995178301e-01
1.984535457805803086e-04 1.620227939276216784e+05 4.878622208136043081e-01 9.999999999994922950e-01
2.015337685941733013e-04 1.620227939276127145e+05 4.878622208135773297e-01 9.999999999994652056e-01
2.046617999391989716e-04 1.620227939276032848e+05 4.878622208135489635e-01 9.999999999994368949e-01
2.078383818579757254e-04 1.620227939275933313e+05 4.878622208135189875e-01 9.999999999994069189e-01
2.110642679101554697e-04 1.620227939275828539e+05 4.878622208134874016e-01 9.999999999993753885e-01
2.143402233514856738e-04 1.620227939275718527e+05 4.878622208134543170e-01 9.999999999993421929e-01
2.176670253153459040e-04 1.620227939275602694e+05 4.878622208134194005e-01 9.999999999993073319e-01
2.210454629971021735e-04 1.620227939275480458e+05 4.878622208133825966e-01 9.999999999992705835e-01
2.244763378413223921e-04 1.620227939275351819e+05 4.878622208133438498e-01 9.999999999992318367e-01
2.279604637318979670e-04 1.620227939275216195e+05 4.878622208133030491e-01 9.999999999991909805e-01
2.314986671851160856e-04 1.620227939275073586e+05 4.878622208132600835e-01 9.999999999991480149e-01
2.350917875457286799e-04 1.620227939274922828e+05 4.878622208132147309e-01 9.999999999991026067e-01
2.387406771860646915e-04 1.620227939274765085e+05 4.878622208131672133e-01 9.999999999990550892e-01
2.424462017082328286e-04 1.620227939274598029e+05 4.878622208131169202e-01 9.999999999990047961e-01
2.462092401494625450e-04 1.620227939274422824e+05 4.878622208130641291e-01 9.999999999989520605e-01
2.500306851906324121e-04 1.620227939274237724e+05 4.878622208130083959e-01 9.999999999988963273e-01
2.539114433680347252e-04 1.620227939274042728e+05 4.878622208129497206e-01 9.999999999988375965e-01
2.578524352884273567e-04 1.620227939273837837e+05 4.878622208128879922e-01 9.999999999987759791e-01
