# t_m Re(M) Re(M_err) Im(M) Im(Merr) Re(M)/M0 Re(Merr)/M0 Im(M)/M0 Im(Merr)/M0
1.000000000000000082e-05 -1.611656501640079950e+05 2.495572641388264401e+03 1.868247983600131192e+04 2.495572641388264401e+03 7.889040835575539257e-01 -1.221580061013140088e-02 -9.145053315395977600e-02 -1.221580061013140088e-02
1.599999999999999928e-05 -1.511216740843910666e+05 2.375422987579947403e+03 1.726116055023778608e+04 2.375422987579947403e+03 7.397389312046752652e-01 -1.162766937726044184e-02 -8.449319089500513524e-02 -1.162766937726044184e-02
2.599999999999999840e-05 -1.353120651412582083e+05 2.330499407568495371e+03 1.423983480725456138e+04 2.330499407568495371e+03 6.623510694488153883e-01 -1.140776894759075975e-02 -6.970383463967744220e-02 -1.140776894759075975e-02
4.300000000000000165e-05 -1.117522758541405492e+05 2.381168947833854872e+03 1.181212796197547868e+04 2.381168947833854872e+03 5.470261602175466864e-01 -1.165579578945593296e-02 -5.782023635448273885e-02 -1.165579578945593296e-02
6.999999999999999387e-05 -8.009223181252427457e+04 2.423137096207763989e+03 6.903775393860621989e+03 2.423137096207763989e+03 3.920505931247706410e-01 -1.186122941379110125e-02 -3.379390456116631442e-02 -1.186122941379110125e-02
1.129999999999999955e-04 -3.656842352481493435e+04 2.373799776848919919e+03 3.975169762382688532e+03 2.373799776848919919e+03 1.790020306351313428e-01 -1.161972377859919574e-02 -1.945841223106089396e-02 -1.161972377859919574e-02
1.830000000000000029e-04 2.196676384169537050e+04 2.568330848656843500e+03 -2.194502149277842818e+03 2.568330848656843500e+03 -1.075270672108020464e-01 -1.257195123384121337e-02 1.074206386521777204e-02 -1.257195123384121337e-02
2.979999999999999793e-04 9.106257254681001359e+04 2.338309059852384053e+03 -8.857429514648410986e+03 2.338309059852384053e+03 -4.457502902654989496e-01 -1.144599710955737475e-02 4.335701997800670698e-02 -1.144599710955737475e-02
4.829999999999999767e-04 1.589992159968584310e+05 2.327096968714552531e+03 -1.453645219385912060e+04 2.327096968714552531e+03 -7.782994121559019263e-01 -1.139111404685230408e-02 7.115577348215644526e-02 -1.139111404685230408e-02
7.849999999999999990e-04 2.127283917975148652e+05 2.351557360161154520e+03 -1.825166223397256181e+04 2.351557360161154520e+03 -1.041303136288090458e+00 -1.151084739374106866e-02 8.934168573415855741e-02 -1.151084739374106866e-02
1.299999999999999920e-05 -1.534053078408397269e+05 2.421668698779716124e+03 1.808107173226194573e+04 2.421668698779716124e+03 7.509172933058977373e-01 -1.185404162454386720e-02 -8.850664710602232366e-02 -1.185404162454386720e-02
2.099999999999999884e-05 -1.441836727092759102e+05 2.395390297991382795e+03 1.669837064370102235e+04 2.395390297991382795e+03 7.057774908420029192e-01 -1.172540914193866309e-02 -8.173834049729315765e-02 -1.172540914193866309e-02
3.399999999999999973e-05 -1.253678704414547683e+05 2.421373777772973426e+03 1.127073859756351885e+04 2.421373777772973426e+03 6.136743458518023608e-01 -1.185259798946214013e-02 -5.517014137490993536e-02 -1.185259798946214013e-02
5.500000000000000196e-05 -9.650793163756022113e+04 2.325889823431733021e+03 9.126462343099161444e+03 2.325889823431733021e+03 4.724052630761348404e-01 -1.138520508398028694e-02 -4.467393271195374549e-02 -1.138520508398028694e-02
8.899999999999999491e-05 -6.061751360063206084e+04 2.239737069185056498e+03 5.520730963123343827e+03 2.239737069185056498e+03 2.967220618412136912e-01 -1.096348830025020184e-02 -2.702391729626316130e-02 -1.096348830025020184e-02
1.440000000000000036e-04 -7.992181108756791218e+03 2.310779608569189804e+03 -4.238952403968118574e+02 2.310779608569189804e+03 3.912163855519776995e-02 -1.131124074855048740e-02 2.074962535809246004e-03 -1.131124074855048740e-02
2.339999999999999958e-04 5.481954689400726056e+04 2.274828920144700533e+03 -6.194898070649708643e+03 2.274828920144700533e+03 -2.683410786321220876e-01 -1.113526252443186766e-02 3.032395786685931904e-02 -1.113526252443186766e-02
3.789999999999999966e-04 1.276685472365209716e+05 2.355501764536854807e+03 -1.096387039353436376e+04 2.355501764536854807e+03 -6.249361334394601952e-01 -1.153015520974296285e-02 5.366802489397114184e-02 -1.153015520974296285e-02
6.160000000000000111e-04 1.886730865566267748e+05 2.352555740406841778e+03 -1.621252296268668761e+04 2.352555740406841778e+03 -9.235526819173978108e-01 -1.151573445405425916e-02 7.936012144658893819e-02 -1.151573445405425916e-02
1.000000000000000021e-03 2.319555852009139489e+05 2.299431166332072735e+03 -1.840108578730040972e+04 2.299431166332072735e+03 -1.135420036358648188e+00 -1.125569024871526935e-02 9.007311238295163947e-02 -1.125569024871526935e-02
