# t_m M M/M0 (M-M1)/M0
9.999999999999999547e-07 9.117551919477710035e+05 9.930020579209605236e-01 9.916256678270108926e-01
1.039255682936713100e-06 9.114768571637740824e+05 9.926989206142132760e-01 9.913225305202635340e-01
1.080052374516253951e-06 9.111884928618783597e+05 9.923848600552580557e-01 9.910084699613084247e-01
1.122450568085305844e-06 9.108897410196017008e+05 9.920594863180878242e-01 9.906830962241381933e-01
1.166513131698196192e-06 9.105802310843942687e+05 9.917223958300683817e-01 9.903460057361186397e-01
1.212305401337652771e-06 9.102595795537109952e+05 9.913731709145909843e-01 9.899967808206413533e-01
1.259895277795028425e-06 9.099273895424110815e+05 9.910113793199230026e-01 9.896349892259733716e-01
1.309353327353609475e-06 9.095832503372102510e+05 9.906365737339568600e-01 9.892601836400071180e-01
1.360752886424333165e-06 9.092267369379153242e+05 9.902482912845638197e-01 9.888719011906141887e-01
1.414170170289023892e-06 9.088574095851769671e+05 9.898460530252650713e-01 9.884696629313153293e-01
1.469684386112447426e-06 9.084748132744969334e+05 9.894293634059313503e-01 9.880529733119817193e-01
1.527377850390712468e-06 9.080784772562407888e+05 9.889977097282420804e-01 9.876213196342923384e-01
1.587336111010208705e-06 9.076679145214057062e+05 9.885505615856293726e-01 9.871741714916797417e-01
1.649648074098020724e-06 9.072426212729129475e+05 9.880873702874575226e-01 9.867109801935078917e-01
1.714406135851971963e-06 9.068020763821963919e+05 9.876075682671876521e-01 9.862311781732380211e-01
1.781706319545728901e-06 9.063457408308775630e+05 9.871105684743002318e-01 9.857341783803506008e-01
1.851648417912154073e-06 9.058730571373311104e+05 9.865957637497616561e-01 9.852193736558119141e-01
1.924336141115980055e-06 9.053834487679614685e+05 9.860625261848394718e-01 9.846861360908898408e-01
1.999877270535287164e-06 9.048763195330282906e+05 9.855102064630896219e-01 9.841338163691399910e-01
2.078383818579755340e-06 9.043510529668874806e+05 9.849381331853706012e-01 9.835617430914209702e-01
2.159972194782717103e-06 9.038070116925277980e+05 9.843456121777534040e-01 9.829692220838037731e-01
2.244763378413223769e-06 9.032435367703216616e+05 9.837319257822395580e-01 9.823555356882898160e-01
2.332883097864158392e-06 9.026599470309310127e+05 9.830963321302215174e-01 9.817199420362717754e-01
2.424462017082330759e-06 9.020555383923457703e+05 9.824380643986627692e-01 9.810616743047130273e-01
2.519635929317013705e-06 9.014295831610714085e+05 9.817563300490135259e-01 9.803799399550637839e-01
2.618545958474232632e-06 9.007813293175181607e+05 9.810503100489207373e-01 9.796739199549711063e-01
2.721338768375308565e-06 9.001099997856953414e+05 9.803191580768446656e-01 9.789427679828950346e-01
2.828166780230035161e-06 8.994147916873598006e+05 9.795619997097443354e-01 9.781856096157945935e-01
2.939188398646884365e-06 8.986948755808239803e+05 9.787779315940549063e-01 9.774015415001051643e-01
3.054568246515431994e-06 8.979493946846866747e+05 9.779660206002456224e-01 9.765896305062958804e-01
3.174477409109193511e-06 8.971774640868174611e+05 9.771253029613158336e-01 9.757489128673660916e-01
3.299093687770942248e-06 8.963781699389935238e+05 9.762547833956659593e-01 9.748783933017163283e-01
3.428601863556582985e-06 8.955505686376672238e+05 9.753534342148628689e-01 9.739770441209132379e-01
3.563193971228583995e-06 8.946936859914229717e+05 9.744201944169084140e-01 9.730438043229587830e-01
3.703069584005141018e-06 8.938065163757792907e+05 9.734539687657255413e-01 9.720775786717757994e-01
3.848436109487433457e-06 8.928880218760826392e+05 9.724536268576751130e-01 9.710772367637254820e-01
3.999509097203661301e-06 8.919371314193530707e+05 9.714180021760402406e-01 9.700416120820906096e-01
4.156512558225988346e-06 8.909527398960514693e+05 9.703458911345334004e-01 9.689695010405836584e-01
4.319679297334173221e-06 8.899337072728683706e+05 9.692360521110257032e-01 9.678596620170759612e-01
4.489251258218607721e-06 8.888788576977637131e+05 9.680872044728364711e-01 9.667108143788867292e-01
4.665479882234468170e-06 8.877869785986340139e+05 9.668980275950821435e-01 9.655216375011325125e-01
4.848626481239077875e-06 8.866568197771392297e+05 9.656671598737540663e-01 9.642907697798043243e-01
5.038962625065150179e-06 8.854870924993872177e+05 9.643931977353726870e-01 9.630168076414230560e-01
5.236770544204655305e-06 8.842764685853561386e+05 9.630746946452690693e-01 9.616983045513194384e-01
5.442343548300271877e-06 8.830235794991244329e+05 9.617101601167439284e-01 9.603337700227942975e-01
5.655986461065001783e-06 8.817270154421875486e+05 9.602980587235900867e-01 9.589216686296404557e-01
5.878016072274912326e-06 8.803853244523581816e+05 9.588368091186951769e-01 9.574604190247455460e-01
6.108761607505039188e-06 8.789970115109877661e+05 9.573247830617072074e-01 9.559483929677575764e-01
6.348565216305210224e-06 8.775605376614922425e+05 9.557603044590118335e-01 9.543839143650622026e-01
6.597782479539533130e-06 8.760743191424407996e+05 9.541416484195703873e-01 9.527652583256207564e-01
6.856782936641737654e-06 8.745367265387490625e+05 9.524670403304755784e-01 9.510906502365259474e-01
7.125950633568410784e-06 8.729460839548219228e+05 9.507346549564125171e-01 9.493582648624628861e-01
7.405684692262442192e-06 8.713006682138198521e+05 9.489426155675716457e-01 9.475662254736220147e-01
7.696399902471150620e-06 8.695987080875620013e+05 9.470889931009278673e-01 9.457126030069782363e-01
7.998527336796707127e-06 8.678383835619462188e+05 9.451718053602022884e-01 9.437954152662525464e-01
8.312514989890631094e-06 8.660178251431541285e+05 9.431890162602424299e-01 9.418126261662926879e-01
8.638828442740453152e-06 8.641351132103129057e+05 9.411385351219997419e-01 9.397621450280501110e-01
8.977951553033313987e-06 8.621882774207233451e+05 9.390182160247575460e-01 9.376418259308079151e-01
9.330387172620360271e-06 8.601752961742142215e+05 9.368258572227532444e-01 9.354494671288035024e-01
9.696657893145519720e-06 8.580940961436651414e+05 9.345592006338661051e-01 9.331828105399164741e-01
1.007730682094461773e-05 8.559425518792427611e+05 9.322159314085872728e-01 9.308395413146375308e-01
1.047289838236357490e-05 8.537184854944240069e+05 9.297936775880635274e-01 9.284172874941137854e-01
1.088401916069005439e-05 8.514196664424370974e+05 9.272900098606176034e-01 9.259136197666678614e-01
1.131127876593921339e-05 8.490438113923290512e+05 9.247024414267716041e-01 9.233260513328219732e-01
1.175531073878369830e-05 8.465885842144744238e+05 9.220284279834648489e-01 9.206520378895151069e-01
1.221677348996793032e-05 8.440515960859708721e+05 9.192653678388406080e-01 9.178889777448909770e-01
1.269635127659972725e-05 8.414304057270267513e+05 9.164106021696990512e-01 9.150342120757493092e-01
1.319475521676705910e-05 8.387225197801192990e+05 9.134614154344417036e-01 9.120850253404920727e-01
1.371272434398400910e-05 8.359253933444153517e+05 9.104150359551151928e-01 9.090386458611654508e-01
1.425102670302996252e-05 8.330364306786620291e+05 9.072686366829361138e-01 9.058922465889864828e-01
1.481046048880673932e-05 8.300529860865112860e+05 9.040193361625081803e-01 9.026429460685584383e-01
1.539185522990205290e-05 8.269723649990017293e+05 9.006641997107631692e-01 8.992878096168135382e-01
1.599607301861487752e-05 8.237918252697034040e+05 8.972002408275177032e-01 8.958238507335680723e-01
1.662400978926613715e-05 8.205085786988292821e+05 8.936244228553984481e-01 8.922480327614487061e-01
1.727659664669034520e-05 8.171197928034157958e+05 8.899336609077638238e-01 8.885572708138141929e-01
1.795480124687830550e-05 8.136225928514914121e+05 8.861248240841387291e-01 8.847484339901890982e-01
1.865962923181746036e-05 8.100140641789595829e+05 8.821947379935556333e-01 8.808183478996060023e-01
1.939212572065831012e-05 8.062912548087269533e+05 8.781401876070740187e-01 8.767637975131243877e-01
2.015337685941735182e-05 8.024511783924064366e+05 8.739579204616203523e-01 8.725815303676706103e-01
2.094451143151468647e-05 7.984908174956991570e+05 8.696446502381310895e-01 8.682682601441813475e-01
2.176670253153459243e-05 7.944071272493075812e+05 8.651970607378007827e-01 8.638206706438510407e-01
2.262116930469026491e-05 7.901970393879498588e+05 8.606118102810138559e-01 8.592354201870642250e-01
2.350917875457284495e-05 7.858574667007045355e+05 8.558855365542622495e-01 8.545091464603125075e-01
2.443204762186486879e-05 7.813853079165299423e+05 8.510148619310141660e-01 8.496384718370644240e-01
2.539114433680346981e-05 7.767774530493379571e+05 8.459963992930905619e-01 8.446200091991408199e-01
2.638789104828934555e-05 7.720307892274431651e+05 8.408267583795782096e-01 8.394503682856284676e-01
2.742376573264952404e-05 7.671422070325706154e+05 8.355025526907091660e-01 8.341261625967594240e-01
2.850030438518105311e-05 7.621086073738170089e+05 8.300204069743633006e-01 8.286440168804135586e-01
2.961910329772553569e-05 7.569269089220586466e+05 8.243769653229592320e-01 8.230005752290096011e-01
3.078182142565080156e-05 7.515940561302226270e+05 8.185688999084153039e-01 8.171925098144656729e-01
3.199018284775060933e-05 7.461070278645752696e+05 8.125929203825752456e-01 8.112165302886255036e-01
3.324597932270938416e-05 7.404628466717200354e+05 8.064457839699918917e-01 8.050693938760422608e-01
3.455107294592217902e-05 7.346585887052947655e+05 8.001243062791968397e-01 7.987479161852472087e-01
3.590739891061055147e-05 7.286913943353816867e+05 7.936253728575185518e-01 7.922489827635689208e-01
