# t_m Re(M) Re(M_err) Im(M) Im(Merr) Re(M)/M0 Re(Merr)/M0 Im(M)/M0 Im(Merr)/M0
9.000000000000000228e-06 9.349006981069558533e+05 2.366358101553944380e+03 -7.056779014288542385e+03 2.366358101553944380e+03 -8.390381201325759548e+02 -2.123717157457046589e+00 6.333193044275915895e+00 -2.123717157457046589e+00
1.500000000000000038e-05 9.232208255368964747e+05 2.353053498904677781e+03 -3.461023788028804120e+03 2.353053498904677781e+03 -8.285558749653469022e+02 -2.111776778314582437e+00 3.106138329687710975e+00 -2.111776778314582437e+00
2.400000000000000061e-05 9.053285275917097460e+05 2.480695460810772147e+03 -5.117153571788890986e+03 2.480695460810772147e+03 -8.124982123032275467e+02 -2.226330625567642052e+00 4.592452355632167915e+00 -2.226330625567642052e+00
4.000000000000000327e-05 8.752491331514541525e+05 2.191457373701796314e+03 -4.414878015092905116e+03 2.191457373701796314e+03 -7.855030901293097259e+02 -1.966750349961843503e+00 3.962186527295127103e+00 -1.966750349961843503e+00
6.499999999999999431e-05 8.320491510229074629e+05 2.250029793961613450e+03 -2.452307368405428861e+03 2.250029793961613450e+03 -7.467327353009405897e+02 -2.019316888296794676e+00 2.200853383188682955e+00 -2.019316888296794676e+00
1.069999999999999988e-04 7.653117106799491448e+05 2.256913572113564442e+03 -5.490720807727921056e+02 2.256913572113564442e+03 -6.868383993557453095e+02 -2.025494819591228346e+00 4.927714862142295593e-01 -2.025494819591228346e+00
1.759999999999999954e-04 6.673911240130669903e+05 2.422826134296848977e+03 6.018642830639582826e+02 2.422826134296848977e+03 -5.989583655450736615e+02 -2.174395087354977996e+00 -5.401504969024548686e-01 -2.174395087354977996e+00
2.889999999999999774e-04 5.341602766241789795e+05 2.361734153843424338e+03 3.394130298123829562e+03 2.361734153843424338e+03 -4.793887043359277413e+02 -2.119567338762417652e+00 -3.046103945145454350e+00 -2.119567338762417652e+00
4.749999999999999990e-04 3.685705249580543023e+05 2.498562683706439657e+03 5.679283676161363474e+03 2.498562683706439657e+03 -3.307781468376911107e+02 -2.242365784318433697e+00 -5.096942925590700391e+00 -2.242365784318433697e+00
7.799999999999999859e-04 1.981997338773479278e+05 2.173283544154607625e+03 5.351973587235821469e+03 2.173283544154607625e+03 -1.778767867645787817e+02 -1.950440023303879444e+00 -4.803194464103194505e+00 -1.950440023303879444e+00
1.200000000000000030e-05 9.299895227606712142e+05 2.383487171394147481e+03 7.325345815117179882e+01 2.383487171394147481e+03 -8.346305254666057181e+02 -2.139089851677347109e+00 -6.574221619988350473e-02 -2.139089851677347109e+00
1.900000000000000105e-05 9.178280627152391244e+05 2.220881939101888747e+03 1.589859189169139427e+03 2.220881939101888747e+03 -8.237160737015697123e+02 -1.993157787766737687e+00 -1.426838666456282212e+00 -1.993157787766737687e+00
3.100000000000000135e-05 8.943527495886872057e+05 2.349884404473740688e+03 -2.257599505017933552e+02 2.349884404473740688e+03 -8.026478654575190603e+02 -2.108932635573818271e+00 2.026110418505406296e-01 -2.108932635573818271e+00
5.099999999999999960e-05 8.574385694315598812e+05 2.363397684023643706e+03 2.369856054830226640e+03 2.363397684023643706e+03 -7.695187808520779527e+02 -2.121060294365104681e+00 -2.126856438609778799e+00 -2.121060294365104681e+00
8.399999999999999535e-05 8.019082859505375382e+05 2.212452562550882703e+03 2.069247593019586930e+03 2.212452562550882703e+03 -7.196824455528441149e+02 -1.985592740195838646e+00 -1.857071680502036637e+00 -1.985592740195838646e+00
1.379999999999999933e-04 7.214913895090027945e+05 2.329309663230755177e+03 2.570535286366906803e+03 2.329309663230755177e+03 -6.475113136306789556e+02 -2.090467581210628811e+00 -2.306958481018269058e+00 -2.090467581210628811e+00
2.259999999999999910e-04 6.078138472604833078e+05 2.315774733405481129e+03 4.197745655698785413e+03 2.315774733405481129e+03 -5.454900064024138828e+02 -2.078320492113659324e+00 -3.767318423105145087e+00 -2.078320492113659324e+00
3.710000000000000190e-04 4.587003921569912927e+05 2.403273857977116222e+03 7.176629204755434330e+03 2.403273857977116222e+03 -4.116663037248553110e+02 -2.156847656701819549e+00 -6.440754070500936734e+00 -2.156847656701819549e+00
6.089999999999999494e-04 2.856215621367645799e+05 2.332782530662147110e+03 7.252277863150442499e+03 2.332782530662147110e+03 -2.563345808274754631e+02 -2.093584348763594782e+00 -6.508645888593298068e+00 -2.093584348763594782e+00
1.000000000000000021e-03 1.274727607880216674e+05 2.403680993718234276e+03 4.572989876416329025e+03 2.403680993718234276e+03 -1.144019956304014585e+02 -2.157213045675812513e+00 -4.104085960212537465e+00 -2.157213045675812513e+00
2.000000000000000042e-03 1.582344027893954626e+04 2.377062263102282486e+03 7.735331336366139112e+02 2.377062263102282486e+03 -1.420094092619090809e+01 -2.133323738777713974e+00 -6.942168164179449708e-01 -2.133323738777713974e+00
4.000000000000000083e-03 1.501331910176836573e+02 2.327421503684491199e+03 -4.255860611965221807e+01 2.327421503684491199e+03 -1.347388772048719874e-01 -2.088773029223005562e+00 3.819474404757647323e-02 -2.088773029223005562e+00
8.000000000000000167e-03 1.759976982166002983e+02 2.243664911304129873e+03 8.550913519750147316e+02 2.243664911304129873e+03 -1.579512970290058715e-01 -2.013604646140367826e+00 -7.674122417016956410e-01 -2.013604646140367826e+00
1.600000000000000033e-02 -3.788800742892547646e+02 2.394522408989394080e+03 4.642627481357607735e+02 2.394522408989394080e+03 3.400305785748581888e-01 -2.148993561264771923e+00 -4.166583084515445012e-01 -2.148993561264771923e+00
