# Messungs_ID Temperature[K] Phase[degree] a a_error gamma gamma_error x0 x0_error 
1570 377.56 0.00164354765147 600221757.284 4121.65595925 5537.21790959 0.0537733982828 -16925.6969289 0.0380235214038
1576 373.73 -0.00160175909053 728158977.813 4073.38971623 5408.33453954 0.0427865664782 -17362.2291692 0.0302546618465
1582 370.85 0.00490502692236 699921734.129 4154.24821694 5625.15177975 0.0472163537369 -17870.4525407 0.0333869921595
1588 367.97 -0.59813528629 576630750.1 4494.14421086 6583.31651939 0.0725618639501 -17488.3240938 0.0513089570392
1594 366.04 -0.0855638357692 482366218.458 4848.96032942 7663.75632957 0.108950937603 -17232.8782987 0.0770398788311
1600 364.12 -0.0832388134694 371422696.503 5273.85345863 9065.95742268 0.182047162684 -17330.2144137 0.128726597741
1606 362.19 0.170944344005 298096831.503 5672.15281539 10486.9315194 0.282196742513 -14513.9083783 0.199542785949
1612 360.25 -5.94176389833e-05 256339668.343 6227.76608862 12642.1088138 0.434357447075 -12683.8764677 0.307135904364
1618 358.32 -0.3666621309 266233073.214 6818.82719774 15156.6451744 0.548967559155 -12045.0485129 0.388176098317
1624 355.46 0.231523542614 377447054.814 7047.19684772 16186.9446422 0.427411807746 -7953.11903418 0.30222333403
1630 352.59 -0.1501780256 633876881.167 6988.93578719 15920.8237884 0.248248941035 -6237.24446818 0.175537155678
1636 349.72 -0.454657533508 1020610158.6 7273.16555381 17242.1182218 0.173767722488 -5820.14127084 0.122871129346
1642 346.85 -0.150583112135 1417606456.59 7428.65357514 17987.2621521 0.133300980445 -6113.79046005 0.0942569799846
1648 343.99 0.153486110831 1757635267.16 7508.1794404 18374.4388759 0.111002716719 -6039.03744778 0.0784898430149
1655 349.64 -0.174180312598 997781886.701 7276.05752573 17255.8551428 0.177955568465 -5746.99317888 0.125832354842
1661 346.85 -0.121032218416 1408543906.76 7389.78855715 17799.4799174 0.132063775849 -5952.42640016 0.093382185042
1667 343.98 -0.000128079653029 1766631380.16 7525.28158973 18458.2856023 0.111193968969 -6149.66515628 0.0786250662275
1673 341.12 0.0589965646818 2057954983.24 7635.34319307 19001.788874 0.0997020535075 -6355.22592384 0.070499075146
