#i	t	cos	sin
0	0	1	0
1	5e-07	0.9928	0.0494093
2	1e-06	0.972751	0.0956132
3	1.5e-06	0.942713	0.136447
4	2e-06	0.905756	0.170923
5	2.5e-06	0.864633	0.199026
6	3e-06	0.821511	0.221342
7	3.5e-06	0.777926	0.238724
8	4e-06	0.734876	0.252048
9	4.5e-06	0.69297	0.262099
10	5e-06	0.652555	0.269519
11	5.5e-06	0.613795	0.274812
12	6e-06	0.576758	0.278361
13	6.5e-06	0.541451	0.280461
14	7e-06	0.507848	0.281336
15	7.5e-06	0.475901	0.281163
16	8e-06	0.445557	0.280086
17	8.5e-06	0.416757	0.278227
18	9e-06	0.389435	0.275677
19	9.5e-06	0.363534	0.272517
20	1e-05	0.338999	0.268823
21	1.05e-05	0.315774	0.264667
22	1.1e-05	0.293801	0.260112
23	1.15e-05	0.273028	0.255209
24	1.2e-05	0.253401	0.250012
25	1.25e-05	0.234864	0.244558
26	1.3e-05	0.217372	0.238891
27	1.35e-05	0.200875	0.233046
28	1.4e-05	0.185327	0.227059
29	1.45e-05	0.170681	0.220963
30	1.5e-05	0.156894	0.214782
31	1.55e-05	0.143922	0.20854
32	1.6e-05	0.131733	0.202266
33	1.65e-05	0.120293	0.195984
34	1.7e-05	0.109563	0.189706
35	1.75e-05	0.0995098	0.183452
36	1.8e-05	0.0901025	0.177236
37	1.85e-05	0.0813047	0.171079
38	1.9e-05	0.0730835	0.164997
39	1.95e-05	0.0654015	0.159003
40	2e-05	0.0582359	0.1531
41	2.05e-05	0.0515654	0.147293
42	2.1e-05	0.045359	0.141593
43	2.15e-05	0.0395923	0.136007
44	2.2e-05	0.034247	0.130542
45	2.25e-05	0.029292	0.125205
46	2.3e-05	0.0247094	0.119994
47	2.35e-05	0.0204816	0.114909
48	2.4e-05	0.0165871	0.109956
49	2.45e-05	0.0130043	0.105137
50	2.5e-05	0.00971954	0.100456
51	2.55e-05	0.00671114	0.0959131
52	2.6e-05	0.00395855	0.0915074
53	2.65e-05	0.00144965	0.0872415
54	2.7e-05	-0.000826566	0.0831163
55	2.75e-05	-0.00288658	0.0791301
56	2.8e-05	-0.00473691	0.0752875
57	2.85e-05	-0.0064005	0.0715909
58	2.9e-05	-0.00789621	0.0680336
59	2.95e-05	-0.00923882	0.0646103
60	3e-05	-0.0104396	0.0613181
61	3.05e-05	-0.0115097	0.0581514
62	3.1e-05	-0.0124519	0.0551033
63	3.15e-05	-0.0132698	0.0521663
64	3.2e-05	-0.013973	0.0493424
65	3.25e-05	-0.0145648	0.0466319
66	3.3e-05	-0.0150575	0.0440283
67	3.35e-05	-0.0154508	0.0415368
68	3.4e-05	-0.0157584	0.0391581
69	3.45e-05	-0.0159888	0.0368879
70	3.5e-05	-0.0161538	0.0347199
71	3.55e-05	-0.0162558	0.0326486
72	3.6e-05	-0.0163045	0.0306694
73	3.65e-05	-0.0162991	0.0287731
74	3.7e-05	-0.0162394	0.0269723
75	3.75e-05	-0.0161383	0.0252671
76	3.8e-05	-0.0160015	0.0236463
77	3.85e-05	-0.0158345	0.0221077
78	3.9e-05	-0.0156336	0.0206479
79	3.95e-05	-0.0154091	0.0192677
80	4e-05	-0.0151639	0.0179583
81	4.05e-05	-0.0148955	0.0167125
82	4.1e-05	-0.0146055	0.0155291
83	4.15e-05	-0.0143012	0.0144084
84	4.2e-05	-0.0139865	0.0133508
85	4.25e-05	-0.0136603	0.012348
86	4.3e-05	-0.0133251	0.0114036
87	4.35e-05	-0.0129872	0.010508
88	4.4e-05	-0.0126471	0.0096621
89	4.45e-05	-0.0123036	0.00886636
90	4.5e-05	-0.0119506	0.0081162
91	4.55e-05	-0.0115957	0.00740974
92	4.6e-05	-0.0112368	0.00674241
93	4.65e-05	-0.0108668	0.00612009
94	4.7e-05	-0.0104961	0.00554307
95	4.75e-05	-0.0101318	0.00501202
96	4.8e-05	-0.00977401	0.00451709
97	4.85e-05	-0.00942512	0.00405493
98	4.9e-05	-0.00908047	0.00362694
99	4.95e-05	-0.00874455	0.00322567
100	5e-05	-0.00841573	0.00284936
101	5.05e-05	-0.00808622	0.00249617
102	5.1e-05	-0.00776039	0.00216962
103	5.15e-05	-0.00743844	0.00187283
104	5.2e-05	-0.0071261	0.0016055
105	5.25e-05	-0.00682487	0.00135835
106	5.3e-05	-0.00653526	0.00112052
107	5.35e-05	-0.00624913	0.000900601
108	5.4e-05	-0.00596197	0.000703089
109	5.45e-05	-0.00568688	0.000527713
110	5.5e-05	-0.00542843	0.000371127
111	5.55e-05	-0.00518115	0.000229069
112	5.6e-05	-0.00494318	9.93107e-05
113	5.65e-05	-0.00471752	-1.60595e-05
114	5.7e-05	-0.00450039	-0.000127072
115	5.75e-05	-0.00428469	-0.000231971
116	5.8e-05	-0.00407547	-0.000327419
117	5.85e-05	-0.00387293	-0.000415176
118	5.9e-05	-0.00367505	-0.000492256
119	5.95e-05	-0.00348282	-0.000559852
120	6e-05	-0.00329622	-0.000619047
121	6.05e-05	-0.00312105	-0.000670434
122	6.1e-05	-0.00296141	-0.000716372
123	6.15e-05	-0.00281874	-0.0007567
124	6.2e-05	-0.00268715	-0.000796326
125	6.25e-05	-0.00256079	-0.000839844
126	6.3e-05	-0.00243861	-0.000881413
127	6.35e-05	-0.0023186	-0.000922911
128	6.4e-05	-0.00219507	-0.000954677
129	6.45e-05	-0.00207315	-0.000979476
130	6.5e-05	-0.00194989	-0.000997847
131	6.55e-05	-0.0018304	-0.00100974
132	6.6e-05	-0.00170975	-0.00101332
133	6.65e-05	-0.00159253	-0.00101046
134	6.7e-05	-0.00147406	-0.00100097
135	6.75e-05	-0.00136525	-0.000983572
136	6.8e-05	-0.00126978	-0.000960257
137	6.85e-05	-0.00118536	-0.000932196
138	6.9e-05	-0.00111376	-0.000910927
139	6.95e-05	-0.00104134	-0.000894088
140	7e-05	-0.000966864	-0.000880441
141	7.05e-05	-0.000889823	-0.000865061
142	7.1e-05	-0.000813281	-0.000845782
143	7.15e-05	-0.000733706	-0.000825086
144	7.2e-05	-0.000655087	-0.000798786
145	7.25e-05	-0.000582813	-0.000763724
146	7.3e-05	-0.000522249	-0.000724964
147	7.35e-05	-0.000470691	-0.000685093
148	7.4e-05	-0.000427008	-0.000646231
149	7.45e-05	-0.000391384	-0.000613446
150	7.5e-05	-0.000360902	-0.000583164
151	7.55e-05	-0.000331613	-0.000553057
152	7.6e-05	-0.000306068	-0.000528038
153	7.65e-05	-0.000284015	-0.000510988
154	7.7e-05	-0.000264354	-0.000495901
155	7.75e-05	-0.000247579	-0.000483822
156	7.8e-05	-0.000232222	-0.000473938
157	7.85e-05	-0.000217033	-0.000466383
158	7.9e-05	-0.000203091	-0.000456507
159	7.95e-05	-0.000185912	-0.000447965
160	8e-05	-0.000164008	-0.000438048
161	8.05e-05	-0.000136385	-0.000424564
162	8.1e-05	-0.000114529	-0.000406865
163	8.15e-05	-0.000101408	-0.000386555
164	8.2e-05	-9.52716e-05	-0.000367811
165	8.25e-05	-9.43697e-05	-0.000351559
166	8.3e-05	-9.60765e-05	-0.000338241
167	8.35e-05	-9.36972e-05	-0.000328191
168	8.4e-05	-8.75116e-05	-0.000320168
169	8.45e-05	-7.55941e-05	-0.000310128
170	8.5e-05	-6.33027e-05	-0.00029411
171	8.55e-05	-5.49849e-05	-0.00027666
172	8.6e-05	-4.51916e-05	-0.000264531
173	8.65e-05	-3.403e-05	-0.000257062
174	8.7e-05	-2.54594e-05	-0.000248464
175	8.75e-05	-1.59741e-05	-0.000237568
176	8.8e-05	-5.93209e-06	-0.00022291
177	8.85e-05	3.41586e-06	-0.000209084
178	8.9e-05	1.34917e-05	-0.000191234
179	8.95e-05	1.77968e-05	-0.000172384
180	9e-05	1.56413e-05	-0.000158262
181	9.05e-05	1.03555e-05	-0.000143741
182	9.1e-05	-7.6978e-07	-0.000134145
183	9.15e-05	-1.41314e-05	-0.000131581
184	9.2e-05	-2.46027e-05	-0.000133696
185	9.25e-05	-2.9822e-05	-0.000134012
186	9.3e-05	-3.01252e-05	-0.000133711
187	9.35e-05	-2.64559e-05	-0.000130728
188	9.4e-05	-1.65455e-05	-0.000124037
189	9.45e-05	-8.08504e-06	-0.000114659
190	9.5e-05	-6.38451e-06	-0.000103904
191	9.55e-05	-8.43814e-06	-9.61381e-05
192	9.6e-05	-8.74664e-06	-9.40747e-05
193	9.65e-05	-7.73628e-06	-9.31808e-05
194	9.7e-05	-4.47953e-06	-9.2891e-05
195	9.75e-05	-1.4428e-06	-8.3755e-05
196	9.8e-05	6.29003e-06	-7.08422e-05
197	9.85e-05	1.34171e-05	-5.64334e-05
198	9.9e-05	1.63007e-05	-4.62238e-05
199	9.95e-05	1.35668e-05	-3.93319e-05
200	0.0001	1.05777e-05	-3.61537e-05
201	0.0001005	6.00261e-06	-3.23572e-05
202	0.000101	5.16337e-06	-3.09649e-05
203	0.0001015	4.75977e-06	-2.64334e-05
204	0.000102	4.50729e-07	-1.98741e-05
205	0.0001025	-1.48586e-06	-1.11551e-05
206	0.000103	-1.97299e-06	-8.14916e-06
207	0.0001035	-1.63813e-06	-9.43663e-06
208	0.000104	-3.35518e-07	-6.82901e-06
209	0.0001045	-5.87292e-06	-2.64591e-06
210	0.000105	-1.66836e-05	2.51231e-06
211	0.0001055	-2.99126e-05	6.35241e-06
212	0.000106	-4.59188e-05	7.35365e-06
213	0.0001065	-5.58722e-05	-1.54169e-06
214	0.000107	-5.95454e-05	-1.43056e-05
215	0.0001075	-5.99454e-05	-2.69722e-05
216	0.000108	-5.91832e-05	-3.98784e-05
217	0.0001085	-5.97593e-05	-5.03429e-05
218	0.000109	-6.03357e-05	-5.46541e-05
219	0.0001095	-5.47883e-05	-5.39528e-05
220	0.00011	-4.68729e-05	-5.03981e-05
221	0.0001105	-4.02035e-05	-4.35197e-05
222	0.000111	-3.99042e-05	-3.79113e-05
223	0.0001115	-3.73359e-05	-3.41898e-05
224	0.000112	-3.56932e-05	-2.53408e-05
225	0.0001125	-3.05124e-05	-1.42527e-05
226	0.000113	-2.99136e-05	-3.92576e-06
227	0.0001135	-2.64376e-05	2.26116e-06
228	0.000114	-1.9811e-05	8.09895e-06
229	0.0001145	-1.75944e-05	1.36069e-05
230	0.000115	-1.5962e-05	2.12748e-05
231	0.0001155	-1.18776e-05	2.56259e-05
232	0.000116	-7.75845e-06	2.80185e-05
233	0.0001165	-1.63581e-06	2.67855e-05
234	0.000117	7.87387e-06	2.1278e-05
235	0.0001175	1.57337e-05	2.02968e-05
236	0.000118	1.4392e-05	2.43398e-05
237	0.0001185	5.28318e-06	2.35847e-05
238	0.000119	-3.39695e-06	2.33094e-05
239	0.0001195	-1.00793e-05	2.54827e-05
240	0.00012	-1.52917e-05	2.62222e-05
241	0.0001205	-1.9502e-05	2.04465e-05
