#i	t	cos	sin
0	0	0.33	0
1	5e-07	0.327604	0.016309
2	1e-06	0.320877	0.0315289
3	1.5e-06	0.310719	0.0448989
4	2e-06	0.298147	0.0560458
5	2.5e-06	0.284102	0.0649357
6	3e-06	0.269349	0.0717617
7	3.5e-06	0.254446	0.0768226
8	4e-06	0.239763	0.0804381
9	4.5e-06	0.225531	0.0829052
10	5e-06	0.211881	0.0844784
11	5.5e-06	0.19887	0.08535
12	6e-06	0.186521	0.0856714
13	6.5e-06	0.174829	0.08556
14	7e-06	0.163774	0.0850992
15	7.5e-06	0.153335	0.0843549
16	8e-06	0.143484	0.0833795
17	8.5e-06	0.134195	0.0822127
18	9e-06	0.125438	0.0808866
19	9.5e-06	0.117187	0.0794292
20	1e-05	0.109419	0.0778623
21	1.05e-05	0.102105	0.0762047
22	1.1e-05	0.0952211	0.0744719
23	1.15e-05	0.0887425	0.0726804
24	1.2e-05	0.0826433	0.0708435
25	1.25e-05	0.0769014	0.0689715
26	1.3e-05	0.0715013	0.067074
27	1.35e-05	0.0664262	0.0651583
28	1.4e-05	0.0616584	0.0632341
29	1.45e-05	0.0571807	0.0613083
30	1.5e-05	0.052977	0.0593873
31	1.55e-05	0.0490301	0.0574743
32	1.6e-05	0.0453284	0.0555733
33	1.65e-05	0.0418582	0.0536903
34	1.7e-05	0.0386069	0.0518315
35	1.75e-05	0.0355636	0.0499993
36	1.8e-05	0.0327176	0.048199
37	1.85e-05	0.0300565	0.0464326
38	1.9e-05	0.0275682	0.0447027
39	1.95e-05	0.0252425	0.0430137
40	2e-05	0.0230736	0.0413628
41	2.05e-05	0.0210515	0.0397524
42	2.1e-05	0.0191675	0.0381827
43	2.15e-05	0.0174131	0.0366549
44	2.2e-05	0.0157806	0.0351704
45	2.25e-05	0.0142588	0.0337268
46	2.3e-05	0.0128406	0.0323258
47	2.35e-05	0.0115213	0.030966
48	2.4e-05	0.0102984	0.0296452
49	2.45e-05	0.0091666	0.0283635
50	2.5e-05	0.00812093	0.0271236
51	2.55e-05	0.00715502	0.0259259
52	2.6e-05	0.00626342	0.0247662
53	2.65e-05	0.00543998	0.0236447
54	2.7e-05	0.00468257	0.0225619
55	2.75e-05	0.00398842	0.0215164
56	2.8e-05	0.00335084	0.0205121
57	2.85e-05	0.0027653	0.0195481
58	2.9e-05	0.00223026	0.0186223
59	2.95e-05	0.00173961	0.0177326
60	3e-05	0.00128796	0.0168747
61	3.05e-05	0.000878722	0.0160462
62	3.1e-05	0.000509656	0.015248
63	3.15e-05	0.000176202	0.0144825
64	3.2e-05	-0.000126261	0.01375
65	3.25e-05	-0.00039808	0.0130485
66	3.3e-05	-0.000638137	0.012377
67	3.35e-05	-0.000852882	0.0117375
68	3.4e-05	-0.00104645	0.0111287
69	3.45e-05	-0.00121925	0.0105453
70	3.5e-05	-0.00137004	0.0099868
71	3.55e-05	-0.00150197	0.00945041
72	3.6e-05	-0.00161543	0.0089366
73	3.65e-05	-0.00171226	0.00844643
74	3.7e-05	-0.00179318	0.00797926
75	3.75e-05	-0.00186332	0.00753516
76	3.8e-05	-0.0019188	0.00711484
77	3.85e-05	-0.00196209	0.00672184
78	3.9e-05	-0.00199756	0.00634888
79	3.95e-05	-0.00202455	0.00599392
80	4e-05	-0.00204745	0.00565793
81	4.05e-05	-0.00206695	0.00533696
82	4.1e-05	-0.00208361	0.00502933
83	4.15e-05	-0.00209279	0.00473171
84	4.2e-05	-0.0020937	0.00444568
85	4.25e-05	-0.00208735	0.00417207
86	4.3e-05	-0.00207367	0.00390915
87	4.35e-05	-0.00205576	0.00366197
88	4.4e-05	-0.00203304	0.00342781
89	4.45e-05	-0.00200589	0.00320872
90	4.5e-05	-0.00197501	0.00300255
91	4.55e-05	-0.00194303	0.00280753
92	4.6e-05	-0.001909	0.00262375
93	4.65e-05	-0.00187247	0.00244711
94	4.7e-05	-0.0018339	0.00227865
95	4.75e-05	-0.00179004	0.00211725
96	4.8e-05	-0.00174115	0.00196415
97	4.85e-05	-0.00168839	0.00182045
98	4.9e-05	-0.00163255	0.00168653
99	4.95e-05	-0.00157682	0.00156322
100	5e-05	-0.0015203	0.00144756
101	5.05e-05	-0.00146421	0.00134013
102	5.1e-05	-0.00141094	0.00124156
103	5.15e-05	-0.00135975	0.00115112
104	5.2e-05	-0.00131144	0.00106413
105	5.25e-05	-0.00126614	0.000980145
106	5.3e-05	-0.00122201	0.00089958
107	5.35e-05	-0.00117741	0.000823517
108	5.4e-05	-0.00113266	0.000753023
109	5.45e-05	-0.00108683	0.000686645
110	5.5e-05	-0.00103968	0.000628245
111	5.55e-05	-0.000995721	0.000575891
112	5.6e-05	-0.000954354	0.000528925
113	5.65e-05	-0.000915124	0.000486816
114	5.7e-05	-0.000875621	0.000451392
115	5.75e-05	-0.000839433	0.000415536
116	5.8e-05	-0.00080469	0.000381619
117	5.85e-05	-0.00077156	0.000348904
118	5.9e-05	-0.00073894	0.00032042
119	5.95e-05	-0.000707993	0.000295
