#i	t	cos	sin
0	3e-05	0.999987	-0.00029264
1	9.4e-05	0.987783	-0.0629776
2	0.000158	0.953443	-0.118417
3	0.000222	0.902245	-0.161557
4	0.000286	0.840767	-0.190476
5	0.00035	0.775039	-0.205992
6	0.000414	0.709559	-0.210512
7	0.000478	0.647152	-0.206943
8	0.000542	0.589296	-0.19798
9	0.000606	0.536559	-0.185805
10	0.00067	0.488961	-0.17203
11	0.000734	0.44623	-0.157769
12	0.000798	0.407967	-0.143745
13	0.000862	0.373728	-0.130394
14	0.000926	0.34308	-0.117958
15	0.00099	0.315617	-0.106544
16	0.001054	0.290971	-0.0961749
17	0.001118	0.268813	-0.0868209
18	0.001182	0.248854	-0.0784219
19	0.001246	0.23084	-0.070903
20	0.00131	0.214549	-0.0641848
21	0.001374	0.199788	-0.0581879
22	0.001438	0.186383	-0.0528366
23	0.001502	0.174187	-0.0480599
24	0.001566	0.163067	-0.0437926
25	0.00163	0.15291	-0.0399762
26	0.001694	0.143615	-0.0365592
27	0.001758	0.135092	-0.0334956
28	0.001822	0.127262	-0.0307442
29	0.001886	0.120057	-0.028268
30	0.00195	0.113415	-0.0260352
31	0.002014	0.107282	-0.0240178
32	0.002078	0.101611	-0.0221909
33	0.002142	0.0963595	-0.0205333
34	0.002206	0.0914903	-0.0190275
35	0.00227	0.0869691	-0.0176589
36	0.002334	0.0827642	-0.0164141
37	0.002398	0.0788471	-0.0152802
38	0.002462	0.075193	-0.0142458
39	0.002526	0.0717794	-0.0133009
40	0.00259	0.068586	-0.0124367
41	0.002654	0.0655947	-0.0116447
42	0.002718	0.062789	-0.0109178
43	0.002782	0.0601545	-0.0102498
44	0.002846	0.0576771	-0.00963529
45	0.00291	0.055344	-0.00906849
46	0.002974	0.0531443	-0.00854361
47	0.003038	0.0510694	-0.00805571
48	0.003102	0.049112	-0.00760173
49	0.003166	0.0472644	-0.00718015
50	0.00323	0.0455181	-0.0067895
51	0.003294	0.0438649	-0.00642747
52	0.003358	0.0422975	-0.00609096
53	0.003422	0.0408103	-0.00577705
54	0.003486	0.0393985	-0.0054837
55	0.00355	0.0380576	-0.00520941
56	0.003614	0.0367832	-0.00495284
57	0.003678	0.0355715	-0.00471302
58	0.003742	0.0344181	-0.0044893
59	0.003806	0.0333185	-0.00428046
60	0.00387	0.0322689	-0.00408442
61	0.003934	0.031267	-0.00389962
62	0.003998	0.0303107	-0.00372594
63	0.004062	0.0293965	-0.00356353
64	0.004126	0.0285207	-0.00341137
65	0.00419	0.0276803	-0.00326727
66	0.004254	0.0268742	-0.00312887
67	0.004318	0.0261023	-0.00299485
68	0.004382	0.0253647	-0.00286556
69	0.004446	0.0246604	-0.0027424
70	0.00451	0.0239874	-0.00262659
71	0.004574	0.0233429	-0.00251837
72	0.004638	0.0227248	-0.00241731
73	0.004702	0.0221314	-0.00232263
74	0.004766	0.0215612	-0.00223333
75	0.00483	0.0210132	-0.00214861
76	0.004894	0.0204868	-0.00206822
77	0.004958	0.0199808	-0.00199243
78	0.005022	0.0194937	-0.00192183
79	0.005086	0.019023	-0.00185677
80	0.00515	0.0185661	-0.00179632
81	0.005214	0.0181213	-0.00173827
82	0.005278	0.0176892	-0.00168056
83	0.005342	0.0172716	-0.00162295
84	0.005406	0.0168691	-0.00156686
85	0.00547	0.016481	-0.00151367
86	0.005534	0.016106	-0.00146341
87	0.005598	0.0157434	-0.00141507
88	0.005662	0.0153941	-0.00136821
89	0.005726	0.0150585	-0.00132392
90	0.00579	0.0147354	-0.00128365
91	0.005854	0.0144225	-0.00124735
92	0.005918	0.0141181	-0.00121352
93	0.005982	0.0138223	-0.00118075
94	0.006046	0.0135353	-0.00114865
95	0.00611	0.013257	-0.00111736
96	0.006174	0.0129871	-0.00108714
97	0.006238	0.0127246	-0.00105804
98	0.006302	0.0124683	-0.00102912
99	0.006366	0.0122184	-0.000998648
100	0.00643	0.0119764	-0.000965758
101	0.006494	0.0117445	-0.000931767
102	0.006558	0.0115226	-0.000899423
103	0.006622	0.0113086	-0.000870719
104	0.006686	0.0110999	-0.000845534
105	0.00675	0.0108945	-0.000822051
106	0.006814	0.0106926	-0.000798152
107	0.006878	0.0104952	-0.000772591
108	0.006942	0.010304	-0.000745485
109	0.007006	0.0101202	-0.00071831
110	0.00707	0.00994326	-0.000693001
111	0.007134	0.00977175	-0.000670605
112	0.007198	0.00960401	-0.000650642
113	0.007262	0.00943939	-0.000631701
114	0.007326	0.00927849	-0.000612405
115	0.00739	0.00912267	-0.000592392
116	0.007454	0.00897312	-0.00057272
117	0.007518	0.00882964	-0.000555211
118	0.007582	0.00869058	-0.000540865
119	0.007646	0.00855428	-0.000529036
120	0.00771	0.00842037	-0.000518442
121	0.007774	0.00828929	-0.000508517
122	0.007838	0.0081611	-0.000499451
123	0.007902	0.00803531	-0.000491312
124	0.007966	0.00791145	-0.000484043
125	0.00803	0.00778882	-0.000477762
126	0.008094	0.00766628	-0.000472071
127	0.008158	0.00754319	-0.000465562
128	0.008222	0.00742037	-0.000456706
129	0.008286	0.0072995	-0.000445146
130	0.00835	0.00718193	-0.000431706
131	0.008414	0.00706818	-0.000417622
132	0.008478	0.00695812	-0.000404165
133	0.008542	0.00685101	-0.000392301
134	0.008606	0.00674592	-0.000382367
135	0.00867	0.00664215	-0.000374176
136	0.008734	0.00653925	-0.000367085
137	0.008798	0.00643744	-0.000360052
138	0.008862	0.00633769	-0.00035233
139	0.008926	0.006241	-0.000344009
140	0.00899	0.00614764	-0.000335594
141	0.009054	0.00605727	-0.000327287
142	0.009118	0.00596958	-0.000319013
143	0.009182	0.00588441	-0.000310696
144	0.009246	0.00580173	-0.0003024
145	0.00931	0.0057214	-0.000294383
146	0.009374	0.0056429	-0.000286738
147	0.009438	0.00556573	-0.000278743
148	0.009502	0.00549043	-0.000269187
149	0.009566	0.00541864	-0.000257827
150	0.00963	0.00535165	-0.000246095
151	0.009694	0.0052892	-0.000236109
152	0.009758	0.00522977	-0.00022939
153	0.009822	0.00517137	-0.000226424
154	0.009886	0.00511216	-0.000226748
155	0.00995	0.0050509	-0.000229046
156	0.010014	0.00498747	-0.000231728
157	0.010078	0.00492271	-0.000233798
158	0.010142	0.00485754	-0.000235247
159	0.010206	0.00479234	-0.000236438
160	0.01027	0.00472712	-0.000237533
161	0.010334	0.00466182	-0.000238281
162	0.010398	0.00459668	-0.000238007
163	0.010462	0.00453265	-0.000235932
164	0.010526	0.00447124	-0.000232038
165	0.01059	0.00441341	-0.000227367
166	0.010654	0.00435877	-0.000223049
167	0.010718	0.00430615	-0.000219181
168	0.010782	0.0042547	-0.000214847
169	0.010846	0.00420449	-0.000208963
170	0.01091	0.00415625	-0.000201146
171	0.010974	0.00411052	-0.000191955
172	0.011038	0.00406706	-0.000182355
173	0.011102	0.00402512	-0.000173012
174	0.011166	0.00398396	-0.00016424
175	0.01123	0.00394297	-0.000156269
176	0.011294	0.00390151	-0.000149106
177	0.011358	0.0038593	-0.00014232
178	0.011422	0.00381683	-0.000135334
179	0.011486	0.0037752	-0.000128035
180	0.01155	0.00373562	-0.000121062
181	0.011614	0.0036987	-0.000115618
182	0.011678	0.00366415	-0.000112915
183	0.011742	0.00363089	-0.000113637
184	0.011806	0.0035975	-0.000117615
185	0.01187	0.00356289	-0.000123814
186	0.011934	0.00352676	-0.000130933
187	0.011998	0.00348939	-0.0001381
188	0.012062	0.003451	-0.000144913
189	0.012126	0.00341163	-0.000150937
190	0.01219	0.00337151	-0.000155633
191	0.012254	0.00333107	-0.000158669
192	0.012318	0.00329061	-0.00015993
193	0.012382	0.00325032	-0.000159249
194	0.012446	0.00321053	-0.000156496
195	0.01251	0.00317159	-0.000151775
196	0.012574	0.00313381	-0.000145411
197	0.012638	0.00309758	-0.000137849
198	0.012702	0.00306341	-0.00012989
199	0.012766	0.00303151	-0.000122824
200	0.01283	0.00300121	-0.000117692
201	0.012894	0.00297142	-0.000114244
202	0.012958	0.00294208	-0.000111136
203	0.013022	0.00291445	-0.000107575
204	0.013086	0.0028895	-0.000104429
205	0.01315	0.00286642	-0.000103061
206	0.013214	0.00284326	-0.000103509
207	0.013278	0.00281887	-0.000104363
208	0.013342	0.00279364	-0.000104237
209	0.013406	0.00276873	-0.000102864
210	0.01347	0.0027448	-0.000101032
211	0.013534	0.00272152	-9.95069e-05
