#i	t	cos	sin
0	0	0.5	0
1	5e-07	0.496317	0.0246867
2	1e-06	0.485762	0.0476418
3	1.5e-06	0.46951	0.0675288
4	2e-06	0.449072	0.0835851
5	2.5e-06	0.425985	0.0956154
6	3e-06	0.401597	0.10387
7	3.5e-06	0.376955	0.10886
8	4e-06	0.352793	0.1112
9	4.5e-06	0.329581	0.111493
10	5e-06	0.307583	0.110274
11	5.5e-06	0.286921	0.107985
12	6e-06	0.267628	0.104964
13	6.5e-06	0.249679	0.101475
14	7e-06	0.233019	0.0977119
15	7.5e-06	0.217573	0.0938137
16	8e-06	0.20326	0.0898809
17	8.5e-06	0.189999	0.0859809
18	9e-06	0.177712	0.0821612
19	9.5e-06	0.166322	0.0784509
20	1e-05	0.155758	0.0748695
21	1.05e-05	0.145953	0.0714279
22	1.1e-05	0.136848	0.0681285
23	1.15e-05	0.128387	0.0649721
24	1.2e-05	0.12052	0.0619585
25	1.25e-05	0.113199	0.0590844
26	1.3e-05	0.106383	0.056345
27	1.35e-05	0.100032	0.0537357
28	1.4e-05	0.0941115	0.0512503
29	1.45e-05	0.088589	0.0488874
30	1.5e-05	0.0834327	0.0466416
31	1.55e-05	0.0786126	0.0445043
32	1.6e-05	0.0741058	0.0424706
33	1.65e-05	0.0698881	0.0405349
34	1.7e-05	0.0659353	0.0386926
35	1.75e-05	0.0622278	0.0369355
36	1.8e-05	0.0587497	0.0352598
37	1.85e-05	0.0554859	0.0336622
38	1.9e-05	0.0524213	0.0321412
39	1.95e-05	0.0495432	0.0306916
40	2e-05	0.0468384	0.0293077
41	2.05e-05	0.0442965	0.0279867
42	2.1e-05	0.0419059	0.0267268
43	2.15e-05	0.0396595	0.0255243
44	2.2e-05	0.0375467	0.024378
45	2.25e-05	0.035558	0.0232855
46	2.3e-05	0.0336877	0.0222438
47	2.35e-05	0.0319274	0.0212516
48	2.4e-05	0.0302698	0.0203072
49	2.45e-05	0.02871	0.0194085
50	2.5e-05	0.0272415	0.018554
51	2.55e-05	0.025856	0.0177423
52	2.6e-05	0.0245469	0.01697
53	2.65e-05	0.0233077	0.0162366
54	2.7e-05	0.0221331	0.0155359
55	2.75e-05	0.0210219	0.0148659
56	2.8e-05	0.0199705	0.0142252
57	2.85e-05	0.0189758	0.0136138
58	2.9e-05	0.0180326	0.0130299
59	2.95e-05	0.0171391	0.0124703
60	3e-05	0.0162917	0.0119315
61	3.05e-05	0.0154895	0.0114131
62	3.1e-05	0.0147309	0.0109167
63	3.15e-05	0.0140131	0.0104439
64	3.2e-05	0.0133333	0.00999277
65	3.25e-05	0.0126885	0.00956305
66	3.3e-05	0.0120768	0.00915443
67	3.35e-05	0.0114938	0.00876601
68	3.4e-05	0.0109372	0.00839316
69	3.45e-05	0.010408	0.00803511
70	3.5e-05	0.00990469	0.00769062
71	3.55e-05	0.00942617	0.00735956
72	3.6e-05	0.00897258	0.00703965
73	3.65e-05	0.00854482	0.00673005
74	3.7e-05	0.00814023	0.00643402
75	3.75e-05	0.00775822	0.00615086
76	3.8e-05	0.00739823	0.00588055
77	3.85e-05	0.00705885	0.00562315
78	3.9e-05	0.00673794	0.00537936
79	3.95e-05	0.00643254	0.00515046
80	4e-05	0.00613984	0.00493335
81	4.05e-05	0.00586173	0.00472724
82	4.1e-05	0.00559688	0.00453329
83	4.15e-05	0.00534088	0.00434999
84	4.2e-05	0.00509287	0.00417572
85	4.25e-05	0.00485265	0.00400935
86	4.3e-05	0.00462055	0.00384721
87	4.35e-05	0.00439773	0.00368754
88	4.4e-05	0.00418604	0.00353057
89	4.45e-05	0.00398757	0.00337955
90	4.5e-05	0.00380132	0.00323776
91	4.55e-05	0.00362257	0.00310556
92	4.6e-05	0.00345122	0.00298278
93	4.65e-05	0.00328616	0.00286781
94	4.7e-05	0.00312607	0.00275678
95	4.75e-05	0.00297084	0.00264682
96	4.8e-05	0.00282181	0.0025361
97	4.85e-05	0.0026808	0.0024244
98	4.9e-05	0.00255198	0.00231288
99	4.95e-05	0.0024382	0.00220246
100	5e-05	0.00233634	0.00209656
101	5.05e-05	0.0022399	0.00199864
102	5.1e-05	0.00214812	0.00190854
103	5.15e-05	0.0020625	0.0018243
104	5.2e-05	0.00198065	0.00174612
105	5.25e-05	0.00190101	0.00166983
106	5.3e-05	0.00182327	0.0015961
107	5.35e-05	0.00174979	0.00152574
108	5.4e-05	0.00168132	0.00145993
109	5.45e-05	0.00161477	0.00139617
110	5.5e-05	0.00155052	0.00133528
111	5.55e-05	0.00148793	0.00127521
112	5.6e-05	0.0014266	0.00121671
113	5.65e-05	0.00136854	0.00115951
114	5.7e-05	0.0013155	0.00110453
115	5.75e-05	0.0012643	0.00105345
116	5.8e-05	0.00121398	0.00100551
117	5.85e-05	0.00116457	0.000958691
118	5.9e-05	0.0011158	0.000911964
119	5.95e-05	0.00106961	0.000864009
120	6e-05	0.00102812	0.000816043
121	6.05e-05	0.000990471	0.00076934
122	6.1e-05	0.000959179	0.000724306
123	6.15e-05	0.000935702	0.000681555
124	6.2e-05	0.000916223	0.000646125
125	6.25e-05	0.000897532	0.000617184
126	6.3e-05	0.000876542	0.000594765
127	6.35e-05	0.000852189	0.000576504
128	6.4e-05	0.000823942	0.000558877
129	6.45e-05	0.000794137	0.00054181
130	6.5e-05	0.000764718	0.000527275
131	6.55e-05	0.000737675	0.000514571
132	6.6e-05	0.000711375	0.000502174
133	6.65e-05	0.000687553	0.000490963
134	6.7e-05	0.000666779	0.000481502
135	6.75e-05	0.000647978	0.000474907
136	6.8e-05	0.000627903	0.000470415
137	6.85e-05	0.000603476	0.000466858
138	6.9e-05	0.000573469	0.000462233
139	6.95e-05	0.00054121	0.000453795
140	7e-05	0.000509356	0.000440634
141	7.05e-05	0.000478917	0.000423888
142	7.1e-05	0.000450668	0.0004062
