#i	t	cos	sin
0	3e-05	0.599602	-0.00899301
1	9.4e-05	0.589853	-0.0461292
2	0.000158	0.570006	-0.0791992
3	0.000222	0.543934	-0.107004
4	0.000286	0.514695	-0.129711
5	0.00035	0.484294	-0.148099
6	0.000414	0.453874	-0.162989
7	0.000478	0.424036	-0.175067
8	0.000542	0.395067	-0.184832
9	0.000606	0.367122	-0.192617
10	0.00067	0.340264	-0.198685
11	0.000734	0.31452	-0.203239
12	0.000798	0.289894	-0.206434
13	0.000862	0.266393	-0.208396
14	0.000926	0.244003	-0.209248
15	0.00099	0.222707	-0.209095
16	0.001054	0.202497	-0.208031
17	0.001118	0.183371	-0.206147
18	0.001182	0.165311	-0.203544
19	0.001246	0.148284	-0.200314
20	0.00131	0.132258	-0.196523
21	0.001374	0.117197	-0.192242
22	0.001438	0.103069	-0.187536
23	0.001502	0.0898563	-0.182462
24	0.001566	0.0775375	-0.177076
25	0.00163	0.0660754	-0.171432
26	0.001694	0.0554359	-0.165585
27	0.001758	0.0455855	-0.159577
28	0.001822	0.0364849	-0.153454
29	0.001886	0.0280969	-0.147253
30	0.00195	0.0203977	-0.141012
31	0.002014	0.0133545	-0.134759
32	0.002078	0.00692977	-0.128523
33	0.002142	0.0010957	-0.122331
34	0.002206	-0.00417347	-0.116201
35	0.00227	-0.00891651	-0.110163
36	0.002334	-0.013162	-0.104225
37	0.002398	-0.0169388	-0.0983973
38	0.002462	-0.0202755	-0.0926938
39	0.002526	-0.0231922	-0.0871334
40	0.00259	-0.0257255	-0.0817354
41	0.002654	-0.0279087	-0.0765072
42	0.002718	-0.0297568	-0.0714572
43	0.002782	-0.0312884	-0.0665945
44	0.002846	-0.0325339	-0.0619097
45	0.00291	-0.0335222	-0.0574123
46	0.002974	-0.0342758	-0.0530961
47	0.003038	-0.0348082	-0.048961
48	0.003102	-0.0351375	-0.0450054
49	0.003166	-0.0352796	-0.0412315
50	0.00323	-0.0352574	-0.037649
51	0.003294	-0.0350892	-0.0342501
52	0.003358	-0.0347802	-0.0310281
53	0.003422	-0.0343429	-0.0279816
54	0.003486	-0.0337962	-0.0251106
55	0.00355	-0.0331544	-0.0224109
56	0.003614	-0.0324383	-0.0198778
57	0.003678	-0.031649	-0.0175009
58	0.003742	-0.0307945	-0.0152744
59	0.003806	-0.0298903	-0.0131962
60	0.00387	-0.0289505	-0.0112614
61	0.003934	-0.0279728	-0.00946634
62	0.003998	-0.0269614	-0.00780743
63	0.004062	-0.0259348	-0.00627619
64	0.004126	-0.0249	-0.00486449
65	0.00419	-0.0238622	-0.00356095
66	0.004254	-0.0228168	-0.00236638
67	0.004318	-0.0217718	-0.0012715
68	0.004382	-0.0207384	-0.00027225
69	0.004446	-0.0197071	0.000631563
70	0.00451	-0.0186863	0.00144155
71	0.004574	-0.0176778	0.0021659
72	0.004638	-0.0166901	0.00281364
73	0.004702	-0.0157277	0.00339413
74	0.004766	-0.014789	0.0039001
75	0.00483	-0.0138807	0.00433967
76	0.004894	-0.0130003	0.0047192
77	0.004958	-0.0121478	0.00504215
78	0.005022	-0.0113173	0.00531353
79	0.005086	-0.0105137	0.00553046
80	0.00515	-0.00974329	0.00570322
81	0.005214	-0.00900814	0.00582552
82	0.005278	-0.00831059	0.00590691
83	0.005342	-0.00764648	0.00595268
84	0.005406	-0.00701211	0.0059714
85	0.00547	-0.00640684	0.00596427
86	0.005534	-0.00583698	0.00592878
87	0.005598	-0.00529113	0.00587042
88	0.005662	-0.00477908	0.00579492
89	0.005726	-0.00429157	0.00569973
90	0.00579	-0.00383149	0.00558799
91	0.005854	-0.00340376	0.00546737
92	0.005918	-0.00299996	0.00533914
93	0.005982	-0.0026208	0.00519534
94	0.006046	-0.00226603	0.00503556
95	0.00611	-0.00194052	0.00487807
96	0.006174	-0.00164597	0.00472056
97	0.006238	-0.00138181	0.00456045
98	0.006302	-0.00113245	0.0043985
99	0.006366	-0.000894562	0.00423398
100	0.00643	-0.000678072	0.00407261
101	0.006494	-0.000470603	0.00390494
102	0.006558	-0.000273496	0.00372694
103	0.006622	-9.1316e-05	0.00354341
104	0.006686	6.95272e-05	0.00335029
105	0.00675	0.000207365	0.00315735
106	0.006814	0.000318029	0.00297066
107	0.006878	0.000412514	0.00279219
108	0.006942	0.000501297	0.00262913
109	0.007006	0.000585219	0.00246608
110	0.00707	0.000656037	0.00231509
111	0.007134	0.000718416	0.00216567
112	0.007198	0.00077492	0.00201767
113	0.007262	0.000823513	0.00187877
114	0.007326	0.000856183	0.00174179
115	0.00739	0.000885147	0.00160355
116	0.007454	0.000900287	0.00147817
117	0.007518	0.000915576	0.00136904
118	0.007582	0.000935885	0.00126465
119	0.007646	0.000948553	0.00116082
120	0.00771	0.000950771	0.00106249
121	0.007774	0.000949043	0.000967061
122	0.007838	0.000941537	0.000875253
123	0.007902	0.000936407	0.000791426
124	0.007966	0.000936616	0.000709259
125	0.00803	0.000932768	0.000628038
126	0.008094	0.00091978	0.000546459
127	0.008158	0.000897664	0.000471155
128	0.008222	0.000873383	0.000403047
129	0.008286	0.000843912	0.000333632
130	0.00835	0.000806061	0.000273924
131	0.008414	0.000774713	0.000217321
132	0.008478	0.000749675	0.000164524
133	0.008542	0.000727172	0.00011959
134	0.008606	0.00069892	7.98034e-05
135	0.00867	0.00067242	4.86936e-05
136	0.008734	0.000644997	1.6995e-05
137	0.008798	0.000616483	-9.18738e-06
138	0.008862	0.000590601	-3.09347e-05
139	0.008926	0.000559704	-4.9996e-05
140	0.00899	0.000528183	-7.13867e-05
141	0.009054	0.000498106	-8.23837e-05
142	0.009118	0.000473184	-8.96149e-05
143	0.009182	0.000451373	-9.78521e-05
144	0.009246	0.000429049	-0.00011125
145	0.00931	0.000400035	-0.000123476
146	0.009374	0.000363581	-0.000135197
147	0.009438	0.000331932	-0.000141658
148	0.009502	0.000310206	-0.000147282
149	0.009566	0.000289278	-0.000158919
150	0.00963	0.000265934	-0.000164631
151	0.009694	0.000244652	-0.000157876
152	0.009758	0.000225861	-0.000147572
153	0.009822	0.000210502	-0.000141181
154	0.009886	0.000192048	-0.000135741
155	0.00995	0.000165582	-0.000125509
156	0.010014	0.00014415	-0.000117675
157	0.010078	0.000126924	-0.000113737
158	0.010142	0.000117044	-0.00011376
159	0.010206	0.000111236	-0.0001225
160	0.01027	9.26269e-05	-0.000130277
161	0.010334	7.6953e-05	-0.000137632
162	0.010398	6.46483e-05	-0.000144399
163	0.010462	5.11015e-05	-0.000152332
164	0.010526	4.42467e-05	-0.000154228
165	0.01059	3.45241e-05	-0.00015713
166	0.010654	2.58557e-05	-0.000163105
167	0.010718	1.12753e-05	-0.000171133
168	0.010782	-6.08183e-06	-0.000172687
169	0.010846	-7.33994e-06	-0.000174491
170	0.01091	-7.7773e-06	-0.000179564
171	0.010974	-1.49243e-05	-0.000181962
172	0.011038	-2.20521e-05	-0.000179976
173	0.011102	-2.35618e-05	-0.000172191
174	0.011166	-2.92291e-05	-0.000161741
175	0.01123	-3.72441e-05	-0.000152469
176	0.011294	-4.12435e-05	-0.000148496
177	0.011358	-4.56229e-05	-0.000145689
178	0.011422	-5.64594e-05	-0.000143576
179	0.011486	-7.08826e-05	-0.000137731
180	0.01155	-8.25607e-05	-0.000131418
181	0.011614	-9.12742e-05	-0.000125579
182	0.011678	-9.8741e-05	-0.000112986
183	0.011742	-0.00010032	-9.82722e-05
184	0.011806	-0.000100722	-8.10899e-05
185	0.01187	-9.91861e-05	-6.33803e-05
186	0.011934	-9.06917e-05	-5.50723e-05
187	0.011998	-7.95363e-05	-4.57588e-05
188	0.012062	-7.20191e-05	-3.3638e-05
189	0.012126	-5.74296e-05	-2.96594e-05
190	0.01219	-3.81683e-05	-3.54782e-05
191	0.012254	-2.31743e-05	-4.08883e-05
192	0.012318	-1.18963e-05	-4.44671e-05
193	0.012382	-4.94926e-06	-4.66981e-05
194	0.012446	-4.89756e-06	-5.28505e-05
195	0.01251	-9.32913e-06	-5.56994e-05
196	0.012574	-1.48967e-05	-5.35832e-05
197	0.012638	-2.09356e-05	-5.05167e-05
198	0.012702	-2.72492e-05	-3.97967e-05
199	0.012766	-2.99922e-05	-3.41327e-05
200	0.01283	-3.13918e-05	-3.26467e-05
201	0.012894	-3.58018e-05	-2.86154e-05
202	0.012958	-3.38585e-05	-2.58179e-05
203	0.013022	-2.65233e-05	-2.38805e-05
204	0.013086	-2.46296e-05	-2.76134e-05
205	0.01315	-2.11417e-05	-3.42904e-05
206	0.013214	-3.09734e-05	-4.60992e-05
207	0.013278	-5.16416e-05	-6.06799e-05
208	0.013342	-7.38906e-05	-6.55348e-05
209	0.013406	-9.36255e-05	-6.37786e-05
210	0.01347	-0.000102036	-5.75736e-05
211	0.013534	-0.000112949	-4.61225e-05
212	0.013598	-0.000120892	-3.10306e-05
213	0.013662	-0.000123261	-2.07503e-05
214	0.013726	-0.000121546	-1.40897e-05
215	0.01379	-0.000122686	-2.46169e-06
216	0.013854	-0.000123722	4.98628e-06
217	0.013918	-0.000120041	6.16184e-06
218	0.013982	-0.000112627	3.52936e-06
219	0.014046	-0.000109258	-1.24595e-05
220	0.01411	-0.00010639	-3.28391e-05
221	0.014174	-0.000107658	-5.40285e-05
222	0.014238	-0.000107856	-7.051e-05
223	0.014302	-0.000109174	-8.37236e-05
224	0.014366	-0.000110232	-8.63119e-05
225	0.01443	-0.000112149	-7.29481e-05
226	0.014494	-0.000109415	-4.98131e-05
227	0.014558	-0.000103627	-3.19275e-05
228	0.014622	-9.49207e-05	-1.78218e-05
229	0.014686	-7.6315e-05	-1.11988e-06
230	0.01475	-5.08967e-05	1.10759e-05
231	0.014814	-3.56811e-05	1.73844e-05
232	0.014878	-2.90466e-05	2.06855e-05
233	0.014942	-1.84367e-05	1.63977e-05
234	0.015006	-1.01936e-05	1.50537e-05
235	0.01507	-2.80129e-06	1.13589e-05
236	0.015134	-1.10917e-06	1.42065e-05
237	0.015198	-1.93309e-06	2.85303e-05
238	0.015262	-2.63564e-06	4.88204e-05
239	0.015326	7.93951e-06	7.00582e-05
240	0.01539	2.14348e-05	7.59505e-05
241	0.015454	3.87577e-05	7.75839e-05
242	0.015518	5.07175e-05	7.93052e-05
243	0.015582	5.38217e-05	8.03244e-05
244	0.015646	5.86184e-05	7.66943e-05
245	0.01571	5.3723e-05	6.39363e-05
246	0.015774	4.27575e-05	4.86494e-05
247	0.015838	3.18997e-05	4.04176e-05
248	0.015902	2.08167e-05	3.99786e-05
249	0.015966	1.25441e-05	4.49497e-05
250	0.01603	9.55519e-06	5.2337e-05
251	0.016094	8.92892e-06	5.86212e-05
252	0.016158	1.84737e-05	5.99723e-05
253	0.016222	2.30363e-05	5.29255e-05
254	0.016286	1.85246e-05	4.35742e-05
255	0.01635	1.42365e-05	4.58625e-05
256	0.016414	1.33652e-05	4.68983e-05
257	0.016478	1.53177e-05	4.98773e-05
258	0.016542	2.21667e-05	4.63779e-05
259	0.016606	2.86771e-05	4.16609e-05
260	0.01667	3.00359e-05	3.57239e-05
261	0.016734	3.0099e-05	2.79242e-05
262	0.016798	2.93662e-05	2.1784e-05
263	0.016862	2.82309e-05	1.73715e-05
264	0.016926	3.3232e-05	1.03264e-05
265	0.01699	3.67034e-05	2.27182e-06
266	0.017054	3.78213e-05	-6.34576e-06
267	0.017118	3.75566e-05	-1.61599e-05
268	0.017182	3.32498e-05	-1.25436e-05
269	0.017246	2.80225e-05	-5.0998e-06
270	0.01731	2.2172e-05	-2.14312e-06
271	0.017374	1.95293e-05	2.37059e-06
272	0.017438	1.65607e-05	2.34687e-06
273	0.017502	9.77024e-06	2.75952e-06
274	0.017566	3.66898e-08	6.31495e-06
275	0.01763	-1.24575e-05	3.01255e-06
276	0.017694	-2.31177e-05	-2.83706e-06
277	0.017758	-2.55016e-05	-7.49029e-06
278	0.017822	-2.238e-05	-5.91871e-06
279	0.017886	-1.30161e-05	-3.06389e-06
280	0.01795	7.27411e-08	2.01617e-07
281	0.018014	1.09754e-05	5.03534e-06
282	0.018078	2.40717e-05	1.92589e-05
283	0.018142	3.95158e-05	2.52676e-05
284	0.018206	5.52711e-05	3.06801e-05
285	0.01827	6.59778e-05	3.97879e-05
286	0.018334	7.05125e-05	4.69537e-05
287	0.018398	6.91147e-05	5.55477e-05
288	0.018462	6.47028e-05	5.9093e-05
289	0.018526	6.33335e-05	6.80358e-05
290	0.01859	6.11472e-05	6.52463e-05
291	0.018654	5.54809e-05	6.03993e-05
292	0.018718	4.79001e-05	5.8381e-05
293	0.018782	4.04608e-05	6.22314e-05
294	0.018846	3.47782e-05	7.26083e-05
295	0.01891	3.0194e-05	8.40587e-05
296	0.018974	3.80933e-05	9.03514e-05
297	0.019038	5.29736e-05	8.82744e-05
298	0.019102	6.97707e-05	8.26086e-05
299	0.019166	8.42206e-05	6.44846e-05
300	0.01923	9.95719e-05	3.83592e-05
301	0.019294	0.000108224	1.77823e-05
302	0.019358	0.000112527	6.8354e-06
303	0.019422	0.000116612	-5.98976e-07
304	0.019486	0.000117232	-3.92968e-06
305	0.01955	0.000116802	7.7634e-07
306	0.019614	0.000118559	1.04288e-05
307	0.019678	0.000118554	1.25608e-05
308	0.019742	0.000120249	8.35185e-06
309	0.019806	0.000119164	3.71632e-06
310	0.01987	0.000111875	-4.65473e-06
311	0.019934	9.84567e-05	-1.61045e-05
312	0.019998	8.55096e-05	-2.59877e-05
313	0.020062	7.58791e-05	-3.18126e-05
314	0.020126	7.0046e-05	-3.37046e-05
315	0.02019	6.31878e-05	-3.1056e-05
316	0.020254	6.16822e-05	-3.33698e-05
317	0.020318	6.33844e-05	-4.05166e-05
318	0.020382	6.82537e-05	-5.13073e-05
319	0.020446	7.29577e-05	-6.4742e-05
320	0.02051	7.09806e-05	-8.02341e-05
321	0.020574	5.94652e-05	-8.70397e-05
322	0.020638	4.55601e-05	-9.28762e-05
323	0.020702	3.1906e-05	-8.58555e-05
324	0.020766	2.2883e-05	-7.4912e-05
325	0.02083	1.79836e-05	-5.37184e-05
326	0.020894	1.54236e-05	-3.72011e-05
327	0.020958	1.61514e-05	-2.98032e-05
328	0.021022	1.09189e-05	-3.06513e-05
329	0.021086	7.37765e-06	-3.41775e-05
330	0.02115	9.23201e-06	-3.19977e-05
331	0.021214	9.6617e-06	-3.23371e-05
332	0.021278	1.32976e-05	-3.74023e-05
333	0.021342	1.53666e-05	-4.15253e-05
334	0.021406	2.21987e-05	-4.03476e-05
335	0.02147	2.88913e-05	-4.16736e-05
336	0.021534	3.64203e-05	-4.79601e-05
337	0.021598	4.90008e-05	-5.92815e-05
338	0.021662	4.87979e-05	-6.6382e-05
339	0.021726	4.46384e-05	-7.19209e-05
340	0.02179	3.73894e-05	-7.7024e-05
341	0.021854	2.24455e-05	-8.32619e-05
342	0.021918	3.86319e-06	-8.65359e-05
343	0.021982	-1.60396e-05	-8.21695e-05
344	0.022046	-3.03298e-05	-7.7017e-05
345	0.02211	-3.98211e-05	-7.40053e-05
346	0.022174	-4.84607e-05	-6.95427e-05
347	0.022238	-5.15985e-05	-6.14539e-05
348	0.022302	-5.36586e-05	-5.10791e-05
349	0.022366	-5.70734e-05	-3.5917e-05
350	0.02243	-6.30802e-05	-1.92627e-05
351	0.022494	-6.74161e-05	-6.87596e-06
352	0.022558	-7.25827e-05	4.83665e-06
353	0.022622	-8.4229e-05	1.52693e-05
354	0.022686	-9.12484e-05	2.71622e-05
355	0.02275	-8.72143e-05	4.38215e-05
356	0.022814	-8.33125e-05	6.00487e-05
357	0.022878	-8.01957e-05	8.50682e-05
358	0.022942	-7.85309e-05	0.000105598
359	0.023006	-6.82744e-05	0.000120955
360	0.02307	-5.02191e-05	0.000133798
361	0.023134	-3.5534e-05	0.000148205
362	0.023198	-2.271e-05	0.000153226
363	0.023262	-1.24214e-05	0.000156094
364	0.023326	2.0974e-06	0.000153573
365	0.02339	1.9204e-05	0.000144877
366	0.023454	3.43111e-05	0.00013498
367	0.023518	4.40803e-05	0.000122928
368	0.023582	5.05324e-05	0.00011382
369	0.023646	5.0216e-05	0.000105391
370	0.02371	5.16048e-05	9.03796e-05
371	0.023774	5.08929e-05	7.25165e-05
372	0.023838	4.72824e-05	5.94282e-05
373	0.023902	4.24902e-05	5.11037e-05
374	0.023966	3.46102e-05	3.75103e-05
375	0.02403	2.30207e-05	2.83927e-05
376	0.024094	1.44408e-05	2.69663e-05
377	0.024158	8.35843e-06	2.8957e-05
378	0.024222	5.67629e-06	3.75746e-05
379	0.024286	8.64538e-06	4.4256e-05
380	0.02435	1.62682e-05	5.39591e-05
381	0.024414	2.3807e-05	5.68423e-05
382	0.024478	3.0033e-05	4.9492e-05
383	0.024542	2.57139e-05	3.93496e-05
384	0.024606	7.92227e-06	2.76982e-05
385	0.02467	-9.49786e-06	2.72598e-05
386	0.024734	-2.16911e-05	3.99465e-05
387	0.024798	-2.8494e-05	5.38625e-05
388	0.024862	-2.72052e-05	6.2718e-05
389	0.024926	-2.54515e-05	6.41259e-05
390	0.02499	-2.5183e-05	6.31143e-05
391	0.025054	-2.42494e-05	6.03259e-05
392	0.025118	-1.66516e-05	6.15865e-05
393	0.025182	-2.09619e-06	5.52925e-05
394	0.025246	3.33727e-06	4.95527e-05
395	0.02531	-6.21252e-07	4.97296e-05
396	0.025374	-5.02374e-06	5.40071e-05
397	0.025438	1.17985e-06	5.59683e-05
398	0.025502	2.12591e-05	4.89508e-05
399	0.025566	3.91806e-05	3.19586e-05
400	0.02563	4.75566e-05	1.96567e-05
401	0.025694	4.75537e-05	7.07084e-06
402	0.025758	4.58159e-05	-6.09981e-06
403	0.025822	3.541e-05	-1.5403e-05
404	0.025886	2.11237e-05	-1.33108e-05
405	0.02595	1.73208e-05	4.11645e-07
406	0.026014	1.85794e-05	7.31809e-06
407	0.026078	2.41452e-05	7.991e-06
408	0.026142	2.67989e-05	1.97301e-06
409	0.026206	3.14347e-05	-3.32363e-06
410	0.02627	4.30995e-05	-1.03052e-05
411	0.026334	5.67939e-05	-1.25157e-05
412	0.026398	6.55519e-05	-1.56607e-05
413	0.026462	6.79261e-05	-2.30621e-05
414	0.026526	6.15185e-05	-2.50752e-05
415	0.02659	5.7838e-05	-2.34243e-05
416	0.026654	5.54353e-05	-2.33976e-05
417	0.026718	5.16805e-05	-2.61199e-05
418	0.026782	5.08518e-05	-2.72618e-05
419	0.026846	5.22162e-05	-3.34356e-05
420	0.02691	5.16982e-05	-3.54508e-05
421	0.026974	5.19342e-05	-4.10511e-05
422	0.027038	4.48862e-05	-5.18461e-05
423	0.027102	3.75641e-05	-6.29891e-05
424	0.027166	3.17145e-05	-7.11922e-05
425	0.02723	3.62714e-05	-7.64779e-05
426	0.027294	3.92036e-05	-8.32926e-05
427	0.027358	3.85319e-05	-8.92031e-05
428	0.027422	3.38342e-05	-9.44832e-05
429	0.027486	1.76074e-05	-9.83541e-05
430	0.02755	-2.31046e-06	-9.60148e-05
431	0.027614	-1.39728e-05	-8.13941e-05
432	0.027678	-3.11882e-05	-6.84599e-05
433	0.027742	-4.5408e-05	-5.95115e-05
434	0.027806	-5.27206e-05	-5.46794e-05
435	0.02787	-5.74494e-05	-5.39043e-05
436	0.027934	-6.18608e-05	-5.29753e-05
437	0.027998	-6.70503e-05	-4.91908e-05
438	0.028062	-6.85435e-05	-4.96201e-05
439	0.028126	-6.98001e-05	-5.2606e-05
440	0.02819	-7.15908e-05	-5.75727e-05
441	0.028254	-7.36934e-05	-6.00311e-05
442	0.028318	-7.4575e-05	-5.73493e-05
443	0.028382	-7.29509e-05	-5.79703e-05
444	0.028446	-7.34789e-05	-5.66227e-05
445	0.02851	-7.4594e-05	-4.88561e-05
446	0.028574	-7.3935e-05	-4.32867e-05
447	0.028638	-6.97269e-05	-3.78303e-05
448	0.028702	-6.60037e-05	-3.58955e-05
449	0.028766	-5.88314e-05	-2.33242e-05
450	0.02883	-5.28093e-05	-9.47557e-06
451	0.028894	-4.50665e-05	6.776e-06
452	0.028958	-3.20056e-05	1.11817e-05
453	0.029022	-1.88111e-05	7.54255e-06
454	0.029086	-1.73933e-05	7.79402e-06
455	0.02915	-1.12599e-05	8.84541e-06
456	0.029214	-1.50932e-05	8.45679e-06
457	0.029278	-1.65705e-05	1.56084e-05
458	0.029342	-1.20258e-05	2.68697e-05
459	0.029406	-5.03167e-07	3.47942e-05
460	0.02947	1.26097e-05	3.94981e-05
461	0.029534	1.98233e-05	3.78587e-05
462	0.029598	2.30889e-05	3.62265e-05
463	0.029662	3.07335e-05	3.49949e-05
464	0.029726	3.43322e-05	3.87432e-05
465	0.02979	3.42535e-05	4.53021e-05
466	0.029854	3.36166e-05	5.15106e-05
467	0.029918	3.26884e-05	5.11539e-05
468	0.029982	2.17919e-05	5.43914e-05
469	0.030046	1.58363e-05	6.1592e-05
470	0.03011	1.22848e-05	6.00546e-05
471	0.030174	4.5754e-06	5.96272e-05
472	0.030238	-6.58255e-06	5.80447e-05
473	0.030302	-1.17821e-05	5.94138e-05
474	0.030366	-1.33644e-05	6.49182e-05
475	0.03043	-7.38988e-06	6.67964e-05
476	0.030494	7.62174e-07	6.11688e-05
477	0.030558	6.18942e-06	4.89441e-05
478	0.030622	7.18689e-06	3.95259e-05
479	0.030686	4.80451e-06	3.17068e-05
480	0.03075	1.49405e-06	2.65375e-05
481	0.030814	-1.72307e-06	2.07896e-05
482	0.030878	-8.43975e-06	1.99888e-05
