#i	t	cos	sin
0	3e-05	0.999327	-0.0149793
1	9.4e-05	0.981808	-0.0766029
2	0.000158	0.943468	-0.129713
3	0.000222	0.890163	-0.17015
4	0.000286	0.828396	-0.196866
5	0.00035	0.763712	-0.211189
6	0.000414	0.70001	-0.215639
7	0.000478	0.639623	-0.212961
8	0.000542	0.583704	-0.205571
9	0.000606	0.532636	-0.195356
10	0.00067	0.486361	-0.183678
11	0.000734	0.4446	-0.171462
12	0.000798	0.406981	-0.159302
13	0.000862	0.373109	-0.147558
14	0.000926	0.3426	-0.136436
15	0.00099	0.315101	-0.126039
16	0.001054	0.290284	-0.116404
17	0.001118	0.267853	-0.107532
18	0.001182	0.247544	-0.0993901
19	0.001246	0.229125	-0.0919262
20	0.00131	0.212395	-0.0850912
21	0.001374	0.197181	-0.0788391
22	0.001438	0.183319	-0.0731264
23	0.001502	0.170661	-0.0679056
24	0.001566	0.159083	-0.0631264
25	0.00163	0.148473	-0.0587421
26	0.001694	0.138737	-0.0547152
27	0.001758	0.129791	-0.0510156
28	0.001822	0.121557	-0.0476092
29	0.001886	0.113969	-0.0444682
30	0.00195	0.106969	-0.0415676
31	0.002014	0.100501	-0.0388928
32	0.002078	0.0945116	-0.0364297
33	0.002142	0.0889568	-0.0341525
34	0.002206	0.0837988	-0.0320448
35	0.00227	0.0790063	-0.0300905
36	0.002334	0.0745503	-0.0282776
37	0.002398	0.0704039	-0.0265918
38	0.002462	0.0665407	-0.0250255
39	0.002526	0.0629328	-0.0235701
40	0.00259	0.0595607	-0.0222148
41	0.002654	0.056405	-0.0209497
42	0.002718	0.0534481	-0.0197659
43	0.002782	0.0506761	-0.0186574
44	0.002846	0.0480824	-0.0176228
45	0.00291	0.0456545	-0.0166615
46	0.002974	0.0433744	-0.0157669
47	0.003038	0.0412324	-0.014932
48	0.003102	0.0392194	-0.014155
49	0.003166	0.0373219	-0.0134282
50	0.00323	0.0355322	-0.012743
51	0.003294	0.0338444	-0.0120967
52	0.003358	0.0322513	-0.0114856
53	0.003422	0.030745	-0.0109078
54	0.003486	0.0293222	-0.0103621
55	0.00355	0.0279782	-0.00984692
56	0.003614	0.0267076	-0.00935954
57	0.003678	0.0255068	-0.00890085
58	0.003742	0.0243696	-0.00847248
59	0.003806	0.02329	-0.00807282
60	0.00387	0.0222621	-0.00769671
61	0.003934	0.0212788	-0.00734424
62	0.003998	0.0203384	-0.00701143
63	0.004062	0.0194379	-0.00669468
64	0.004126	0.0185767	-0.00638649
65	0.00419	0.0177593	-0.00608087
66	0.004254	0.0169884	-0.0057769
67	0.004318	0.0162686	-0.00548006
68	0.004382	0.0155985	-0.00519556
69	0.004446	0.0149714	-0.00493205
70	0.00451	0.0143806	-0.00469224
71	0.004574	0.0138176	-0.00447867
72	0.004638	0.0132727	-0.00428416
73	0.004702	0.0127452	-0.00410092
74	0.004766	0.0122387	-0.00392622
75	0.00483	0.0117524	-0.00375482
76	0.004894	0.0112867	-0.00358525
77	0.004958	0.0108457	-0.00341966
78	0.005022	0.0104327	-0.00326165
79	0.005086	0.0100412	-0.00311179
80	0.00515	0.00967168	-0.00297221
81	0.005214	0.00932417	-0.00284532
82	0.005278	0.00899329	-0.00273574
83	0.005342	0.00867276	-0.00264453
84	0.005406	0.00835584	-0.00256265
85	0.00547	0.00804134	-0.00248426
86	0.005534	0.00773949	-0.00240336
87	0.005598	0.00745359	-0.00232545
88	0.005662	0.00718279	-0.00225364
89	0.005726	0.00692083	-0.00218956
90	0.00579	0.00666572	-0.00212755
91	0.005854	0.0064174	-0.0020687
92	0.005918	0.00617542	-0.00200926
93	0.005982	0.00594227	-0.00194943
94	0.006046	0.0057178	-0.00189118
95	0.00611	0.00549989	-0.00183114
96	0.006174	0.00528956	-0.00176766
97	0.006238	0.0050908	-0.00169806
98	0.006302	0.00490362	-0.00162415
99	0.006366	0.0047306	-0.00154873
100	0.00643	0.0045735	-0.00147662
101	0.006494	0.00442666	-0.00141314
102	0.006558	0.00428642	-0.00136034
103	0.006622	0.00414406	-0.00131846
104	0.006686	0.0039998	-0.00128111
105	0.00675	0.00385278	-0.00124238
106	0.006814	0.00370788	-0.00120165
107	0.006878	0.00356868	-0.00116136
108	0.006942	0.00343824	-0.00112171
109	0.007006	0.00331453	-0.00108625
110	0.00707	0.0031968	-0.00105192
111	0.007134	0.00308753	-0.00101935
112	0.007198	0.00298492	-0.000989831
113	0.007262	0.00288688	-0.000961946
114	0.007326	0.00279039	-0.000935362
115	0.00739	0.00269724	-0.000906845
116	0.007454	0.0026124	-0.000876456
117	0.007518	0.00253802	-0.000847075
118	0.007582	0.00247116	-0.000823573
119	0.007646	0.00240841	-0.000803989
120	0.00771	0.00235156	-0.000786434
121	0.007774	0.00229975	-0.000773795
122	0.007838	0.00224691	-0.000767454
123	0.007902	0.00218963	-0.000765482
124	0.007966	0.00212789	-0.000761706
125	0.00803	0.00206446	-0.000750716
126	0.008094	0.00200355	-0.000731486
127	0.008158	0.00194966	-0.000706894
128	0.008222	0.00190434	-0.000680602
129	0.008286	0.00186088	-0.000657801
130	0.00835	0.00181867	-0.00063858
131	0.008414	0.00177585	-0.000625868
132	0.008478	0.00172712	-0.000615413
133	0.008542	0.00167539	-0.000602747
134	0.008606	0.00162281	-0.000587813
135	0.00867	0.0015733	-0.000568353
136	0.008734	0.00152692	-0.000544812
137	0.008798	0.00148245	-0.000517508
138	0.008862	0.00143909	-0.000487875
139	0.008926	0.00139682	-0.000453865
140	0.00899	0.00135902	-0.000419665
141	0.009054	0.00132441	-0.000389058
142	0.009118	0.00128759	-0.000364819
143	0.009182	0.00124463	-0.000343112
144	0.009246	0.00119313	-0.000322586
145	0.00931	0.00114131	-0.000301135
146	0.009374	0.00109688	-0.000280266
147	0.009438	0.0010567	-0.00026765
148	0.009502	0.00101905	-0.000263576
149	0.009566	0.00097857	-0.000265837
150	0.00963	0.00093447	-0.000266357
151	0.009694	0.000889772	-0.000262888
152	0.009758	0.000846685	-0.000253466
153	0.009822	0.000811355	-0.000240793
154	0.009886	0.00078569	-0.000233152
155	0.00995	0.000763059	-0.000230917
156	0.010014	0.000741416	-0.000233329
157	0.010078	0.000718616	-0.000235163
158	0.010142	0.000695886	-0.000231987
159	0.010206	0.000678885	-0.000223731
160	0.01027	0.000666995	-0.000217967
161	0.010334	0.000657651	-0.00021564
162	0.010398	0.000647517	-0.000216695
163	0.010462	0.000633104	-0.000221588
164	0.010526	0.000612511	-0.000226434
165	0.01059	0.000587204	-0.00022427
166	0.010654	0.000563754	-0.000213273
167	0.010718	0.000546008	-0.000195177
168	0.010782	0.000536728	-0.00017698
169	0.010846	0.000534777	-0.000163483
170	0.01091	0.000533488	-0.000155483
171	0.010974	0.000529517	-0.000153705
172	0.011038	0.000517733	-0.000156024
173	0.011102	0.000499704	-0.000156693
174	0.011166	0.000477127	-0.000151569
175	0.01123	0.000456397	-0.00013987
176	0.011294	0.000443793	-0.000122264
177	0.011358	0.000443728	-0.000102958
178	0.011422	0.000455694	-9.17574e-05
179	0.011486	0.000469741	-9.10414e-05
180	0.01155	0.000479478	-9.66067e-05
181	0.011614	0.000480077	-0.000102427
182	0.011678	0.0004753	-0.000103646
183	0.011742	0.000470172	-0.000100136
184	0.011806	0.000467476	-9.40529e-05
185	0.01187	0.000467925	-8.9429e-05
186	0.011934	0.000472895	-8.68171e-05
187	0.011998	0.000481818	-8.77279e-05
188	0.012062	0.000489792	-9.61303e-05
189	0.012126	0.000491772	-0.000109058
190	0.01219	0.000483562	-0.000124617
191	0.012254	0.00046379	-0.000137719
192	0.012318	0.000443282	-0.000143883
193	0.012382	0.000428225	-0.000142159
194	0.012446	0.000417784	-0.0001395
195	0.01251	0.000405814	-0.000134801
196	0.012574	0.000389319	-0.000125178
197	0.012638	0.000371536	-0.000107704
198	0.012702	0.000359766	-8.30575e-05
199	0.012766	0.000361064	-5.94611e-05
200	0.01283	0.000368801	-4.55638e-05
201	0.012894	0.000378243	-4.01747e-05
202	0.012958	0.000384316	-4.48687e-05
203	0.013022	0.000384454	-5.79053e-05
204	0.013086	0.000373952	-7.42206e-05
205	0.01315	0.000354815	-9.18892e-05
206	0.013214	0.000327579	-0.000104496
207	0.013278	0.000297727	-0.000110185
208	0.013342	0.000269242	-0.000108544
209	0.013406	0.000245143	-0.000104699
210	0.01347	0.000226562	-9.90961e-05
211	0.013534	0.000212085	-9.41113e-05
212	0.013598	0.000200353	-9.58942e-05
213	0.013662	0.000187031	-0.000105157
214	0.013726	0.000170639	-0.000119315
215	0.01379	0.000146877	-0.000136722
216	0.013854	0.000119782	-0.00014964
217	0.013918	9.12256e-05	-0.00015553
218	0.013982	6.34123e-05	-0.000157021
219	0.014046	3.65717e-05	-0.00015338
220	0.01411	1.14622e-05	-0.000143625
221	0.014174	-7.44142e-06	-0.000130494
222	0.014238	-1.87845e-05	-0.000116354
223	0.014302	-2.37747e-05	-0.000104156
224	0.014366	-2.58781e-05	-9.26871e-05
225	0.01443	-2.73713e-05	-8.66744e-05
226	0.014494	-2.82186e-05	-8.52079e-05
227	0.014558	-3.05407e-05	-8.84668e-05
228	0.014622	-3.60754e-05	-9.2334e-05
229	0.014686	-4.5308e-05	-9.46858e-05
230	0.01475	-5.41118e-05	-9.47e-05
231	0.014814	-6.24281e-05	-9.377e-05
232	0.014878	-6.84875e-05	-9.03145e-05
233	0.014942	-7.06659e-05	-8.23215e-05
234	0.015006	-7.00895e-05	-6.95795e-05
235	0.01507	-6.27997e-05	-5.01634e-05
236	0.015134	-4.33057e-05	-2.87322e-05
237	0.015198	-1.73717e-05	-1.35661e-05
238	0.015262	1.26235e-05	-6.24419e-06
239	0.015326	4.01648e-05	-9.04936e-06
240	0.01539	6.03589e-05	-2.08906e-05
241	0.015454	7.09653e-05	-3.92657e-05
242	0.015518	7.04095e-05	-5.65166e-05
243	0.015582	5.84029e-05	-6.63755e-05
244	0.015646	4.28649e-05	-6.72602e-05
245	0.01571	2.99251e-05	-6.18736e-05
246	0.015774	1.96381e-05	-5.2865e-05
247	0.015838	1.51168e-05	-4.0694e-05
248	0.015902	1.32292e-05	-2.7916e-05
249	0.015966	1.26417e-05	-1.16379e-05
250	0.01603	1.41884e-05	6.56592e-06
251	0.016094	2.09955e-05	2.00642e-05
252	0.016158	3.13749e-05	2.42396e-05
253	0.016222	3.94265e-05	2.02772e-05
254	0.016286	3.70428e-05	1.21184e-05
255	0.01635	2.43847e-05	9.69056e-06
256	0.016414	7.7057e-06	1.6555e-05
257	0.016478	-4.19161e-06	3.07084e-05
258	0.016542	-8.04955e-06	4.87695e-05
259	0.016606	-2.50571e-06	6.68827e-05
260	0.01667	1.03455e-05	8.07476e-05
261	0.016734	2.96502e-05	8.46076e-05
262	0.016798	4.90645e-05	7.90318e-05
263	0.016862	6.33239e-05	6.40341e-05
264	0.016926	7.05717e-05	4.47833e-05
265	0.01699	7.10343e-05	2.38446e-05
266	0.017054	6.54595e-05	5.08018e-07
267	0.017118	5.63992e-05	-2.03524e-05
268	0.017182	4.16267e-05	-3.42702e-05
269	0.017246	2.34212e-05	-4.16721e-05
270	0.01731	4.72366e-06	-4.42633e-05
271	0.017374	-1.22491e-05	-4.11698e-05
272	0.017438	-2.68603e-05	-3.33169e-05
273	0.017502	-3.78352e-05	-1.92339e-05
