#i	t	cos	sin
0	3e-05	0.00050004	-7.50017e-06
1	9.4e-05	0.000498517	-3.95136e-05
2	0.000158	0.000494955	-7.1305e-05
3	0.000222	0.000489364	-0.000102816
4	0.000286	0.000481788	-0.00013384
5	0.00035	0.000472245	-0.000164328
6	0.000414	0.000460781	-0.000194123
7	0.000478	0.000447416	-0.000223169
8	0.000542	0.000432188	-0.000251357
9	0.000606	0.000415258	-0.000278403
10	0.00067	0.000396596	-0.000304369
11	0.000734	0.000376301	-0.00032911
12	0.000798	0.000354471	-0.000352496
13	0.000862	0.000331274	-0.00037436
14	0.000926	0.000306633	-0.000394773
15	0.00099	0.000280686	-0.000413605
16	0.001054	0.000253694	-0.000430669
17	0.001118	0.000225621	-0.000445998
18	0.001182	0.000196645	-0.000459487
19	0.001246	0.000166876	-0.0004711
20	0.00131	0.000136423	-0.000480786
21	0.001374	0.000105535	-0.000488482
22	0.001438	7.42293e-05	-0.000494195
23	0.001502	4.24943e-05	-0.000497914
24	0.001566	1.05825e-05	-0.000499599
25	0.00163	-2.13581e-05	-0.000499238
26	0.001694	-5.32381e-05	-0.000496835
27	0.001758	-8.4864e-05	-0.000492408
28	0.001822	-0.000116161	-0.000485961
29	0.001886	-0.000147043	-0.000477509
30	0.00195	-0.000177201	-0.000467142
31	0.002014	-0.000206685	-0.000454849
32	0.002078	-0.000235251	-0.000440731
33	0.002142	-0.000262824	-0.000424844
34	0.002206	-0.000289497	-0.000407112
35	0.00227	-0.000314947	-0.000387739
36	0.002334	-0.000339067	-0.000366813
37	0.002398	-0.000361864	-0.000344315
38	0.002462	-0.000383142	-0.000320446
39	0.002526	-0.000402819	-0.000295306
40	0.00259	-0.000420818	-0.000269005
41	0.002654	-0.000437106	-0.000241597
42	0.002718	-0.000451664	-0.000213096
43	0.002782	-0.000464352	-0.00018376
44	0.002846	-0.000475143	-0.000153659
45	0.00291	-0.000483984	-0.000122966
46	0.002974	-0.000490831	-9.18046e-05
47	0.003038	-0.00049567	-6.02733e-05
48	0.003102	-0.000498496	-2.84375e-05
49	0.003166	-0.000499279	3.5096e-06
50	0.00323	-0.000498019	3.54786e-05
51	0.003294	-0.000494722	6.72241e-05
52	0.003358	-0.000489399	9.86943e-05
53	0.003422	-0.00048207	0.00012977
54	0.003486	-0.000472765	0.000160361
55	0.00355	-0.00046158	0.000190124
56	0.003614	-0.000448469	0.000219227
57	0.003678	-0.000433521	0.000247437
58	0.003742	-0.000416749	0.000274716
59	0.003806	-0.000398289	0.000300821
60	0.00387	-0.000378234	0.000325662
61	0.003934	-0.000356536	0.000349254
62	0.003998	-0.000333534	0.000371263
63	0.004062	-0.000309137	0.000391791
64	0.004126	-0.000283385	0.000410784
65	0.00419	-0.00025655	0.000428041
66	0.004254	-0.00022868	0.000443541
67	0.004318	-0.000199835	0.000457252
68	0.004382	-0.000170278	0.000469046
69	0.004446	-0.000139939	0.000478952
