#i	t	cos	sin
0	3e-05	1	0
1	9.4e-05	0.987905	-0.0627026
2	0.000158	0.953655	-0.118189
3	0.000222	0.902519	-0.161389
4	0.000286	0.841073	-0.190371
5	0.00035	0.775355	-0.205939
6	0.000414	0.709868	-0.210501
7	0.000478	0.647443	-0.206961
8	0.000542	0.589567	-0.198017
9	0.000606	0.536807	-0.185853
10	0.00067	0.489187	-0.172084
11	0.000734	0.446436	-0.157826
12	0.000798	0.408155	-0.143804
13	0.000862	0.3739	-0.130456
14	0.000926	0.343236	-0.118024
15	0.00099	0.315757	-0.106613
16	0.001054	0.291093	-0.0962445
17	0.001118	0.268919	-0.086889
18	0.001182	0.248946	-0.0784865
19	0.001246	0.230919	-0.070963
20	0.00131	0.214618	-0.064239
21	0.001374	0.199846	-0.0582355
22	0.001438	0.186435	-0.0528763
23	0.001502	0.174234	-0.0480907
24	0.001566	0.163113	-0.0438144
25	0.00163	0.152958	-0.03999
26	0.001694	0.143665	-0.0365658
27	0.001758	0.135147	-0.0334956
28	0.001822	0.127323	-0.0307385
29	0.001886	0.120124	-0.0282588
30	0.00195	0.11349	-0.0260252
31	0.002014	0.107364	-0.0240106
32	0.002078	0.101699	-0.0221913
33	0.002142	0.0964495	-0.0205457
34	0.002206	0.0915768	-0.0190539
35	0.00227	0.0870466	-0.0176981
36	0.002334	0.0828292	-0.0164625
37	0.002398	0.0788982	-0.0153333
38	0.002462	0.0752308	-0.0142993
39	0.002526	0.0718061	-0.013351
40	0.00259	0.068605	-0.0124806
41	0.002654	0.0656099	-0.0116814
42	0.002718	0.0628038	-0.0109477
43	0.002782	0.0601713	-0.0102742
44	0.002846	0.0576973	-0.00965549
45	0.00291	0.0553682	-0.00908639
46	0.002974	0.0531717	-0.00856133
47	0.003038	0.0510976	-0.00807481
48	0.003102	0.0491375	-0.00762216
49	0.003166	0.0472846	-0.00720007
50	0.00323	0.0455322	-0.00680634
51	0.003294	0.0438735	-0.00643895
52	0.003358	0.0423026	-0.00609575
53	0.003422	0.0408141	-0.00577511
54	0.003486	0.0394026	-0.00547609
55	0.00355	0.038062	-0.00519757
56	0.003614	0.0367869	-0.00493748
57	0.003678	0.0355729	-0.00469337
58	0.003742	0.0344174	-0.00446362
59	0.003806	0.0333177	-0.00424776
60	0.00387	0.0322706	-0.00404582
61	0.003934	0.0312728	-0.0038576
62	0.003998	0.0303209	-0.00368265
63	0.004062	0.0294114	-0.00352037
64	0.004126	0.0285409	-0.00336962
65	0.00419	0.0277064	-0.00322846
66	0.004254	0.026906	-0.00309467
67	0.004318	0.0261391	-0.00296667
68	0.004382	0.025405	-0.00284417
69	0.004446	0.0247023	-0.00272767
70	0.00451	0.0240289	-0.00261749
71	0.004574	0.0233828	-0.0025137
72	0.004638	0.0227621	-0.00241643
73	0.004702	0.0221647	-0.00232557
74	0.004766	0.0215887	-0.00224017
75	0.00483	0.021033	-0.00215882
76	0.004894	0.0204977	-0.00208057
77	0.004958	0.0199827	-0.00200534
78	0.005022	0.0194875	-0.00193371
79	0.005086	0.0190106	-0.00186615
80	0.00515	0.0185497	-0.00180201
81	0.005214	0.0181037	-0.00173962
82	0.005278	0.0176726	-0.00167758
83	0.005342	0.0172568	-0.0016156
84	0.005406	0.0168569	-0.00155411
85	0.00547	0.0164727	-0.00149429
86	0.005534	0.0161035	-0.00143786
87	0.005598	0.0157472	-0.00138581
88	0.005662	0.0154016	-0.0013376
89	0.005726	0.0150655	-0.00129207
90	0.00579	0.0147385	-0.00124822
91	0.005854	0.0144203	-0.0012049
92	0.005918	0.0141117	-0.00116096
93	0.005982	0.013814	-0.00111641
94	0.006046	0.0135282	-0.00107274
95	0.00611	0.0132537	-0.00103161
96	0.006174	0.012989	-0.00099374
97	0.006238	0.0127327	-0.000958961
98	0.006302	0.0124836	-0.000926694
99	0.006366	0.0122414	-0.000896231
100	0.00643	0.0120059	-0.000866974
101	0.006494	0.0117778	-0.000839048
102	0.006558	0.0115572	-0.000813537
103	0.006622	0.0113429	-0.000791512
104	0.006686	0.0111333	-0.000772875
105	0.00675	0.0109275	-0.000756598
106	0.006814	0.0107252	-0.000741772
107	0.006878	0.0105262	-0.000727752
108	0.006942	0.0103303	-0.00071345
109	0.007006	0.0101382	-0.000697456
110	0.00707	0.00995165	-0.000679311
111	0.007134	0.00977207	-0.000660226
112	0.007198	0.00959912	-0.000642051
113	0.007262	0.00943112	-0.000625623
114	0.007326	0.00926655	-0.000610284
115	0.00739	0.0091051	-0.000594803
116	0.007454	0.00894755	-0.000578543
117	0.007518	0.00879474	-0.000561837
118	0.007582	0.00864687	-0.000545453
119	0.007646	0.00850358	-0.000529851
120	0.00771	0.00836455	-0.000514974
121	0.007774	0.00822986	-0.000500682
122	0.007838	0.00809981	-0.000487345
123	0.007902	0.0079741	-0.000475866
124	0.007966	0.00785142	-0.000466791
125	0.00803	0.00773014	-0.000459358
126	0.008094	0.00760965	-0.000451751
127	0.008158	0.00749076	-0.000442431
128	0.008222	0.00737487	-0.000431101
129	0.008286	0.00726299	-0.000418564
130	0.00835	0.0071554	-0.000406097
131	0.008414	0.00705175	-0.000395016
132	0.008478	0.00695116	-0.000386326
133	0.008542	0.00685245	-0.000380329
134	0.008606	0.00675471	-0.00037652
135	0.00867	0.00665758	-0.000374035
136	0.008734	0.0065611	-0.000372106
137	0.008798	0.00646532	-0.000370046
138	0.008862	0.00637048	-0.000367135
139	0.008926	0.00627717	-0.000362945
140	0.00899	0.00618604	-0.000357706
141	0.009054	0.00609721	-0.000352008
142	0.009118	0.0060105	-0.000346215
143	0.009182	0.00592582	-0.000340468
144	0.009246	0.0058432	-0.000335085
145	0.00931	0.0057623	-0.000330456
146	0.009374	0.00568252	-0.000326615
147	0.009438	0.00560338	-0.000323195
148	0.009502	0.00552468	-0.000319674
149	0.009566	0.00544645	-0.000315507
150	0.00963	0.00536899	-0.000310256
151	0.009694	0.00529273	-0.000303692
152	0.009758	0.00521818	-0.000295809
153	0.009822	0.00514582	-0.000286981
154	0.009886	0.00507569	-0.000277882
155	0.00995	0.00500728	-0.000268802
156	0.010014	0.00494026	-0.000259456
157	0.010078	0.00487471	-0.00024972
158	0.010142	0.00481031	-0.000239732
159	0.010206	0.00474649	-0.000229048
160	0.01027	0.0046835	-0.000216811
161	0.010334	0.00462238	-0.000202965
162	0.010398	0.00456388	-0.000188409
163	0.010462	0.00450817	-0.000174096
164	0.010526	0.00445548	-0.000160823
165	0.01059	0.00440607	-0.000149727
166	0.010654	0.00435947	-0.000142203
167	0.010718	0.00431431	-0.000139069
168	0.010782	0.00426891	-0.000139944
169	0.010846	0.00422217	-0.000143478
170	0.01091	0.00417381	-0.000148117
171	0.010974	0.00412413	-0.000152619
172	0.011038	0.00407367	-0.000156077
173	0.011102	0.00402322	-0.000157947
174	0.011166	0.00397367	-0.00015824
175	0.01123	0.0039256	-0.000157417
176	0.011294	0.00387918	-0.000155959
177	0.011358	0.00383449	-0.000154193
178	0.011422	0.00379156	-0.0001525
179	0.011486	0.00375012	-0.000151356
180	0.01155	0.00370946	-0.000150998
181	0.011614	0.00366872	-0.000151128
182	0.011678	0.00362728	-0.000150894
183	0.011742	0.00358522	-0.000149136
184	0.011806	0.0035435	-0.000144974
185	0.01187	0.00350355	-0.000138407
186	0.011934	0.00346651	-0.00013034
187	0.011998	0.00343284	-0.000122161
188	0.012062	0.00340211	-0.000115275
189	0.012126	0.00337314	-0.000110466
190	0.01219	0.00334481	-0.000107465
191	0.012254	0.00331701	-0.000105591
192	0.012318	0.0032904	-0.000104988
193	0.012382	0.003265	-0.000106906
194	0.012446	0.00323928	-0.000112507
195	0.01251	0.00321073	-0.000121306
196	0.012574	0.00317761	-0.000130803
197	0.012638	0.00314034	-0.000137853
198	0.012702	0.00310105	-0.00014055
199	0.012766	0.00306199	-0.000138841
200	0.01283	0.00302443	-0.000133717
201	0.012894	0.00298881	-0.000126189
202	0.012958	0.0029555	-0.000117072
203	0.013022	0.00292506	-0.000107514
