#i	t	cos	sin
0	3e-05	1	-4.9747e-07
1	9.4e-05	0.987906	-0.0627013
2	0.000158	0.953658	-0.118186
3	0.000222	0.902525	-0.161388
4	0.000286	0.841082	-0.190373
5	0.00035	0.775364	-0.205947
6	0.000414	0.709875	-0.210512
7	0.000478	0.647449	-0.206973
8	0.000542	0.589572	-0.198028
9	0.000606	0.536814	-0.185865
10	0.00067	0.489195	-0.172097
11	0.000734	0.446443	-0.157841
12	0.000798	0.408158	-0.14382
13	0.000862	0.373899	-0.130471
14	0.000926	0.34323	-0.118034
15	0.00099	0.315747	-0.106617
16	0.001054	0.291082	-0.0962424
17	0.001118	0.268908	-0.0868809
18	0.001182	0.248937	-0.0784734
19	0.001246	0.230914	-0.0709468
20	0.00131	0.214617	-0.0642217
21	0.001374	0.199849	-0.0582184
22	0.001438	0.186439	-0.0528596
23	0.001502	0.174238	-0.0480737
24	0.001566	0.163115	-0.0437959
25	0.00163	0.152955	-0.0399683
26	0.001694	0.143658	-0.0365398
27	0.001758	0.135135	-0.0334654
28	0.001822	0.127307	-0.0307054
29	0.001886	0.120105	-0.0282236
30	0.00195	0.113466	-0.0259883
31	0.002014	0.107338	-0.023972
32	0.002078	0.101671	-0.0221511
33	0.002142	0.0964221	-0.0205037
34	0.002206	0.0915506	-0.0190097
35	0.00227	0.087023	-0.0176506
36	0.002334	0.0828103	-0.0164112
37	0.002398	0.0788861	-0.0152795
38	0.002462	0.0752261	-0.0142453
39	0.002526	0.0718074	-0.0132994
40	0.00259	0.0686096	-0.012433
41	0.002654	0.0656145	-0.0116381
42	0.002718	0.0628057	-0.0109076
43	0.002782	0.0601683	-0.010235
44	0.002846	0.0576891	-0.00961449
45	0.00291	0.0553565	-0.00904092
46	0.002974	0.05316	-0.00851021
47	0.003038	0.0510898	-0.00801878
48	0.003102	0.0491369	-0.00756343
49	0.003166	0.047293	-0.00714158
50	0.00323	0.0455501	-0.00675097
51	0.003294	0.0439004	-0.00638929
52	0.003358	0.042337	-0.00605418
53	0.003422	0.0408531	-0.00574316
54	0.003486	0.0394431	-0.00545342
55	0.00355	0.0381025	-0.00518207
56	0.003614	0.0368282	-0.00492724
57	0.003678	0.0356169	-0.00468861
58	0.003742	0.0344644	-0.00446627
59	0.003806	0.0333655	-0.00425926
60	0.00387	0.0323163	-0.00406553
61	0.003934	0.0313139	-0.00388311
62	0.003998	0.0303561	-0.0037107
63	0.004062	0.0294408	-0.00354757
64	0.004126	0.0285656	-0.00339304
65	0.00419	0.0277286	-0.00324655
66	0.004254	0.0269281	-0.00310812
67	0.004318	0.0261619	-0.00297832
68	0.004382	0.0254268	-0.00285703
69	0.004446	0.02472	-0.00274279
70	0.00451	0.0240398	-0.00263363
71	0.004574	0.0233859	-0.00252806
72	0.004638	0.0227582	-0.00242534
73	0.004702	0.0221574	-0.00232595
74	0.004766	0.0215829	-0.00223167
75	0.00483	0.0210324	-0.0021442
76	0.004894	0.0205029	-0.00206342
77	0.004958	0.0199926	-0.00198783
78	0.005022	0.0195011	-0.00191645
79	0.005086	0.0190276	-0.00184934
