#i	t	cos	sin
0	3e-05	0.0125884	-0.0172085
1	3.05e-05	0.0115472	-0.0167101
2	3.1e-05	0.0105688	-0.01621
3	3.15e-05	0.00964963	-0.0157088
4	3.2e-05	0.00878713	-0.0152079
5	3.25e-05	0.007979	-0.0147079
6	3.3e-05	0.00722326	-0.0142109
7	3.35e-05	0.0065171	-0.0137183
8	3.4e-05	0.00585813	-0.0132306
9	3.45e-05	0.00524269	-0.0127516
10	3.5e-05	0.00466847	-0.0122796
11	3.55e-05	0.00413349	-0.0118158
12	3.6e-05	0.00363544	-0.0113625
13	3.65e-05	0.00317148	-0.0109186
14	3.7e-05	0.0027414	-0.010483
15	3.75e-05	0.00234236	-0.0100573
16	3.8e-05	0.00197223	-0.00964218
17	3.85e-05	0.00163014	-0.00923728
18	3.9e-05	0.00131588	-0.00884221
19	3.95e-05	0.00102691	-0.00845537
20	4e-05	0.000762094	-0.00807821
21	4.05e-05	0.000520442	-0.0077117
22	4.1e-05	0.000299468	-0.00735655
23	4.15e-05	9.78908e-05	-0.00701249
24	4.2e-05	-8.60987e-05	-0.00667839
25	4.25e-05	-0.000251297	-0.00635514
26	4.3e-05	-0.000399159	-0.0060424
27	4.35e-05	-0.000530683	-0.00574239
28	4.4e-05	-0.000648014	-0.00545533
29	4.45e-05	-0.000752935	-0.00517889
30	4.5e-05	-0.000846942	-0.00491279
31	4.55e-05	-0.000931191	-0.00465644
32	4.6e-05	-0.00100461	-0.00441072
33	4.65e-05	-0.0010677	-0.00417621
34	4.7e-05	-0.00112238	-0.00395238
35	4.75e-05	-0.00117027	-0.00373745
36	4.8e-05	-0.00121185	-0.00353011
37	4.85e-05	-0.00124559	-0.00333028
38	4.9e-05	-0.00127214	-0.00313899
39	4.95e-05	-0.00129029	-0.00295553
40	5e-05	-0.00130203	-0.00278085
41	5.05e-05	-0.0013094	-0.00261387
42	5.1e-05	-0.00131136	-0.00245414
43	5.15e-05	-0.00130998	-0.00230156
44	5.2e-05	-0.00130482	-0.00215574
45	5.25e-05	-0.00129871	-0.00201631
46	5.3e-05	-0.00128825	-0.00188387
47	5.35e-05	-0.00127519	-0.00175831
48	5.4e-05	-0.00126045	-0.00163914
49	5.45e-05	-0.00124471	-0.00152768
50	5.5e-05	-0.00122739	-0.00142068
51	5.55e-05	-0.00120836	-0.00131809
52	5.6e-05	-0.0011874	-0.001219
53	5.65e-05	-0.0011655	-0.00112603
54	5.7e-05	-0.00114154	-0.00104018
55	5.75e-05	-0.00111662	-0.000958984
56	5.8e-05	-0.00109163	-0.00088272
57	5.85e-05	-0.00106644	-0.000811317
58	5.9e-05	-0.00104011	-0.000745698
59	5.95e-05	-0.00101326	-0.000685549
60	6e-05	-0.000986805	-0.000629968
61	6.05e-05	-0.000961144	-0.000576597
62	6.1e-05	-0.000934894	-0.000525657
