#i	t	cos	sin
0	0	1	0
1	5e-07	0.992633	0.0493748
2	1e-06	0.97152	0.0952858
3	1.5e-06	0.939014	0.135056
4	2e-06	0.898134	0.167163
5	2.5e-06	0.851962	0.191217
6	3e-06	0.803193	0.20772
7	3.5e-06	0.753918	0.217696
8	4e-06	0.705605	0.222375
9	4.5e-06	0.659189	0.222966
10	5e-06	0.615197	0.220535
11	5.5e-06	0.573874	0.215961
12	6e-06	0.535283	0.209926
13	6.5e-06	0.499381	0.202953
14	7e-06	0.466056	0.195431
15	7.5e-06	0.43516	0.187639
16	8e-06	0.406531	0.179774
17	8.5e-06	0.380007	0.171974
18	9e-06	0.35543	0.164336
19	9.5e-06	0.332647	0.156918
20	1e-05	0.311517	0.149759
21	1.05e-05	0.291908	0.14288
22	1.1e-05	0.273696	0.136289
23	1.15e-05	0.256769	0.129986
24	1.2e-05	0.241028	0.123969
25	1.25e-05	0.22638	0.118229
26	1.3e-05	0.212737	0.112758
27	1.35e-05	0.200025	0.107543
28	1.4e-05	0.188177	0.102573
29	1.45e-05	0.177126	0.0978425
30	1.5e-05	0.166812	0.0933448
31	1.55e-05	0.157176	0.0890677
32	1.6e-05	0.148165	0.0850021
33	1.65e-05	0.139727	0.0811362
34	1.7e-05	0.131818	0.0774529
35	1.75e-05	0.124402	0.0739385
36	1.8e-05	0.117449	0.0705851
37	1.85e-05	0.110928	0.0673873
38	1.9e-05	0.104808	0.0643406
39	1.95e-05	0.0990643	0.061434
40	2e-05	0.0936722	0.0586638
41	2.05e-05	0.0886076	0.0560242
42	2.1e-05	0.0838451	0.0535109
43	2.15e-05	0.0793674	0.0511186
44	2.2e-05	0.0751512	0.0488423
45	2.25e-05	0.0711793	0.0466754
46	2.3e-05	0.067438	0.0446118
47	2.35e-05	0.0639134	0.0426458
48	2.4e-05	0.0605881	0.0407745
49	2.45e-05	0.057451	0.0389914
50	2.5e-05	0.0544923	0.0372925
51	2.55e-05	0.051699	0.0356721
52	2.6e-05	0.0490596	0.034123
53	2.65e-05	0.046565	0.0326444
54	2.7e-05	0.0442079	0.0312309
55	2.75e-05	0.0419821	0.0298802
56	2.8e-05	0.0398784	0.0285917
57	2.85e-05	0.037888	0.0273654
58	2.9e-05	0.0359991	0.0261975
59	2.95e-05	0.0342066	0.0250798
60	3e-05	0.0325051	0.0240067
61	3.05e-05	0.030892	0.0229756
62	3.1e-05	0.0293621	0.0219874
63	3.15e-05	0.0279111	0.0210429
64	3.2e-05	0.0265359	0.0201371
65	3.25e-05	0.0252332	0.01927
66	3.3e-05	0.0240019	0.0184407
67	3.35e-05	0.0228369	0.0176514
68	3.4e-05	0.0217331	0.0168998
69	3.45e-05	0.0206827	0.0161809
70	3.5e-05	0.0196839	0.0154922
71	3.55e-05	0.0187339	0.014831
72	3.6e-05	0.0178318	0.0141932
73	3.65e-05	0.0169799	0.0135779
74	3.7e-05	0.016174	0.0129864
75	3.75e-05	0.0154133	0.0124195
76	3.8e-05	0.0146957	0.0118787
77	3.85e-05	0.0140191	0.0113642
78	3.9e-05	0.0133781	0.0108764
79	3.95e-05	0.0127657	0.010417
80	4e-05	0.0121794	0.00998157
81	4.05e-05	0.0116209	0.00956682
82	4.1e-05	0.0110888	0.0091745
83	4.15e-05	0.0105781	0.00880079
84	4.2e-05	0.0100901	0.00844376
85	4.25e-05	0.00962242	0.00810251
86	4.3e-05	0.00917543	0.0077752
87	4.35e-05	0.00874615	0.00745895
88	4.4e-05	0.00833643	0.00715111
89	4.45e-05	0.00794863	0.00685487
90	4.5e-05	0.00758428	0.00657193
91	4.55e-05	0.00723866	0.00630497
92	4.6e-05	0.00691031	0.00605415
93	4.65e-05	0.00659831	0.00581874
94	4.7e-05	0.00629934	0.00559732
95	4.75e-05	0.00600838	0.00538717
96	4.8e-05	0.00572368	0.00518301
97	4.85e-05	0.00544844	0.00497984
98	4.9e-05	0.00518991	0.0047761
99	4.95e-05	0.00495189	0.00457105
100	5e-05	0.00473164	0.00436789
101	5.05e-05	0.00452551	0.00417284
102	5.1e-05	0.00433323	0.00398849
103	5.15e-05	0.00415511	0.00381358
104	5.2e-05	0.00398661	0.00365013
105	5.25e-05	0.00382518	0.00349341
106	5.3e-05	0.00367039	0.00334285
107	5.35e-05	0.00352213	0.00320026
108	5.4e-05	0.00338193	0.00306376
109	5.45e-05	0.00324576	0.00293065
110	5.5e-05	0.00311437	0.00280383
111	5.55e-05	0.00298739	0.00268098
112	5.6e-05	0.00286448	0.00256191
113	5.65e-05	0.00274739	0.00244619
114	5.7e-05	0.00263881	0.0023364
115	5.75e-05	0.00253407	0.00223521
116	5.8e-05	0.00243122	0.00214137
117	5.85e-05	0.00232877	0.00204705
118	5.9e-05	0.00222878	0.00195191
119	5.95e-05	0.00213556	0.00185705
120	6e-05	0.00204888	0.0017646
121	6.05e-05	0.00196949	0.00167633
122	6.1e-05	0.00189648	0.00159402
123	6.15e-05	0.00183245	0.00151598
124	6.2e-05	0.00177372	0.0014456
125	6.25e-05	0.0017184	0.00138179
126	6.3e-05	0.00166478	0.00132535
127	6.35e-05	0.00161113	0.00127541
128	6.4e-05	0.00155573	0.00122636
129	6.45e-05	0.00150138	0.00118068
130	6.5e-05	0.00145109	0.00114106
131	6.55e-05	0.00140467	0.00110663
132	6.6e-05	0.00135672	0.00107679
133	6.65e-05	0.00130904	0.00105024
134	6.7e-05	0.00126081	0.00102697
135	6.75e-05	0.0012115	0.00100469
136	6.8e-05	0.00116061	0.000981599
137	6.85e-05	0.0011082	0.000956367
138	6.9e-05	0.00105525	0.000927706
139	6.95e-05	0.00100317	0.000894698
140	7e-05	0.000954697	0.000858119
141	7.05e-05	0.000910866	0.000819894
142	7.1e-05	0.000873627	0.000783455
143	7.15e-05	0.000837251	0.000751861
144	7.2e-05	0.000798652	0.000723343
145	7.25e-05	0.000758436	0.000694444
146	7.3e-05	0.000718525	0.00066559
147	7.35e-05	0.000677732	0.000637987
148	7.4e-05	0.000638049	0.000608868
149	7.45e-05	0.000601894	0.000577944
150	7.5e-05	0.000568995	0.000547543
151	7.55e-05	0.000539858	0.000518956
152	7.6e-05	0.000513717	0.000492121
153	7.65e-05	0.000490638	0.000464924
154	7.7e-05	0.000473348	0.000439069
155	7.75e-05	0.000460612	0.000417537
156	7.8e-05	0.00044845	0.000401522
157	7.85e-05	0.000434156	0.000391066
158	7.9e-05	0.000414887	0.000381769
159	7.95e-05	0.000393278	0.000370199
160	8e-05	0.000372343	0.000356559
161	8.05e-05	0.00034916	0.000342225
162	8.1e-05	0.000323834	0.000324641
163	8.15e-05	0.000302417	0.000305859
164	8.2e-05	0.000283271	0.000285351
165	8.25e-05	0.000264663	0.000263554
166	8.3e-05	0.000246416	0.000243037
167	8.35e-05	0.000232797	0.000222248
168	8.4e-05	0.000222899	0.000201916
169	8.45e-05	0.000216539	0.000181728
170	8.5e-05	0.000212817	0.00016223
171	8.55e-05	0.000210595	0.000144734
172	8.6e-05	0.000209023	0.000128573
173	8.65e-05	0.00020686	0.000114228
174	8.7e-05	0.000204541	0.000100901
175	8.75e-05	0.000200873	9.17612e-05
176	8.8e-05	0.000195217	8.59984e-05
177	8.85e-05	0.000187741	8.53453e-05
178	8.9e-05	0.000178927	8.59897e-05
179	8.95e-05	0.000168705	8.75158e-05
180	9e-05	0.000157605	8.80489e-05
181	9.05e-05	0.000147753	8.76288e-05
182	9.1e-05	0.000136862	8.61094e-05
183	9.15e-05	0.000127512	8.00878e-05
184	9.2e-05	0.000119928	7.04549e-05
185	9.25e-05	0.00011437	5.78304e-05
186	9.3e-05	0.000115297	4.58746e-05
187	9.35e-05	0.000120968	3.73191e-05
188	9.4e-05	0.000127989	3.34065e-05
189	9.45e-05	0.000133807	3.37035e-05
190	9.5e-05	0.000136468	3.77505e-05
191	9.55e-05	0.000136895	4.39077e-05
192	9.6e-05	0.00013384	4.84748e-05
193	9.65e-05	0.000129372	5.24448e-05
194	9.7e-05	0.000125501	5.37204e-05
195	9.75e-05	0.000118848	5.62981e-05
196	9.8e-05	0.000110234	5.77309e-05
197	9.85e-05	9.93184e-05	5.70992e-05
198	9.9e-05	8.49489e-05	5.36738e-05
199	9.95e-05	7.34812e-05	4.69366e-05
200	0.0001	6.75502e-05	4.10166e-05
201	0.0001005	6.57549e-05	3.57834e-05
202	0.000101	6.49321e-05	3.11143e-05
203	0.0001015	6.46877e-05	2.99588e-05
204	0.000102	6.23953e-05	2.93389e-05
205	0.0001025	5.8835e-05	2.78574e-05
206	0.000103	5.82591e-05	2.44595e-05
207	0.0001035	6.06226e-05	1.9265e-05
208	0.000104	6.54173e-05	1.19287e-05
209	0.0001045	7.39676e-05	4.3608e-06
210	0.000105	8.6955e-05	-6.19176e-07
211	0.0001055	0.000101593	-8.5099e-07
212	0.000106	0.000113456	3.00358e-06
213	0.0001065	0.000121869	8.14772e-06
214	0.000107	0.000128104	1.41191e-05
215	0.0001075	0.000131231	1.82586e-05
216	0.000108	0.000132763	1.78031e-05
217	0.0001085	0.000134863	1.5882e-05
218	0.000109	0.000136591	1.41567e-05
219	0.0001095	0.000139337	1.38043e-05
220	0.00011	0.000141585	1.50823e-05
221	0.0001105	0.000142735	1.50044e-05
222	0.000111	0.000141972	1.49205e-05
223	0.0001115	0.000139453	1.51674e-05
224	0.000112	0.000133643	1.63261e-05
225	0.0001125	0.000127415	1.90271e-05
226	0.000113	0.000118238	2.01426e-05
227	0.0001135	0.000109537	2.23774e-05
228	0.000114	0.000104825	2.43715e-05
229	0.0001145	0.000105756	2.68742e-05
230	0.000115	0.000110327	2.90851e-05
231	0.0001155	0.000119032	3.42131e-05
232	0.000116	0.000131297	3.94378e-05
233	0.0001165	0.000145659	4.59164e-05
234	0.000117	0.000160222	5.59215e-05
235	0.0001175	0.000173717	6.75181e-05
236	0.000118	0.000181544	8.07211e-05
237	0.0001185	0.000180752	9.54493e-05
238	0.000119	0.000174564	0.000111108
239	0.0001195	0.000162482	0.000126352
240	0.00012	0.000144178	0.000136049
241	0.0001205	0.000123518	0.000140656
242	0.000121	0.000103345	0.00014323
243	0.0001215	8.61747e-05	0.000144347
244	0.000122	7.49383e-05	0.000144254
245	0.0001225	6.61078e-05	0.000143703
246	0.000123	6.04622e-05	0.000146077
247	0.0001235	5.58162e-05	0.000148039
248	0.000124	5.17702e-05	0.000148574
249	0.0001245	5.00732e-05	0.000151993
250	0.000125	4.6971e-05	0.00015458
251	0.0001255	4.26651e-05	0.000153877
252	0.000126	3.98108e-05	0.000152272
253	0.0001265	4.01177e-05	0.000152677
254	0.000127	4.42155e-05	0.000152785
255	0.0001275	4.69906e-05	0.000153909
256	0.000128	4.711e-05	0.000156131
257	0.0001285	4.70941e-05	0.000159678
258	0.000129	4.48828e-05	0.000160956
259	0.0001295	4.10096e-05	0.000157837
260	0.00013	3.74049e-05	0.000152984
261	0.0001305	3.31198e-05	0.000144717
262	0.000131	3.11673e-05	0.000134086
263	0.0001315	2.79161e-05	0.000125119
264	0.000132	2.61847e-05	0.000115237
265	0.0001325	2.50269e-05	0.00010419
266	0.000133	2.56473e-05	9.58539e-05
267	0.0001335	2.56488e-05	9.06474e-05
268	0.000134	2.35083e-05	8.67097e-05
269	0.0001345	1.68446e-05	8.22675e-05
270	0.000135	7.29784e-06	7.5515e-05
271	0.0001355	-2.70077e-06	6.60406e-05
272	0.000136	-1.16012e-05	5.33302e-05
273	0.0001365	-1.72984e-05	3.85357e-05
274	0.000137	-1.91054e-05	2.50641e-05
275	0.0001375	-1.83543e-05	1.5485e-05
276	0.000138	-1.49876e-05	9.24824e-06
277	0.0001385	-1.35003e-05	6.92303e-06
278	0.000139	-1.65076e-05	7.25549e-06
279	0.0001395	-1.95083e-05	8.70632e-06
280	0.00014	-2.32106e-05	1.06762e-05
281	0.0001405	-2.78005e-05	1.33253e-05
282	0.000141	-3.14469e-05	1.74868e-05
283	0.0001415	-3.57832e-05	2.30647e-05
284	0.000142	-4.47632e-05	2.90488e-05
285	0.0001425	-5.53704e-05	2.87931e-05
286	0.000143	-6.46016e-05	2.56565e-05
287	0.0001435	-6.99742e-05	1.74147e-05
288	0.000144	-7.03169e-05	6.53075e-06
289	0.0001445	-6.35304e-05	-2.0831e-06
